てき１体を中心に　火とんの|ダメージを　あたえる=Fire damage [AREA].
てき全体に　水とんの|ダメージを　あたえる=Water damage [ALL].
てき１体を中心に　雷とんの|ダメージを　あたえる=Lightning damage [AREA].
てき全体に　風とんの|ダメージを　あたえる=Wind damage [ALL].
１人の　スタミナを|すこし　かいふくする=Heals stamina (Lv 1).
じぶんの　スタミナを|すこし　かいふくする=Heals own stamina (Lv 1).
１人の　スタミナを|あるていど　かいふくする=Heals stamina (Lv 2).
じぶんの　スタミナを|あるていど　かいふくする=Heals own stamina (Lv 2).
１人の　スタミナを|かなり　かいふくする=Heals stamina (Lv 3).
１人の　スタミナを|かんぜんに　かいふくする=Heals stamina (FULL).
１人を　こうどうふのうから|ふっきする=Recovers from KO.
１人を　こうどうふのうから|ふっきする２=Recovers from KO 2.
１人を　こうどうふのうから|かんぜんに　ふっきする=Fully recovers from KO.
１人を　こうどうふのうから|かんぜんに　ふっきする２=Fully recovers from KO 2.
１人の　どくを|ちりょうする=Heals poison status.
クナイをさして　どくぬきをする=Heals poison status.
１人の　くらやみを|ちりょうする=Heals blind status.
１人の　術ふうじを|ちりょうする=Heals sealed jutsu status.
全体の　すべてのいじょうを|ちりょうする=Heals all status effects.
全体の　ぼうぎょ力を|アップする=Raises DEF [ALL].
ナイスガイな　ポーズで|こうげきに　たえる=Withstand attacks with a nice-guy pose.
じぶんの　ぼうぎょ力を|アップする=Raises own DEF.
１人の　こうげき力を|アップする=Raises ATK.
じぶんの　こうげき力を|アップする=Raises own ATK.
てき１体を中心に|くらやみじょうたい　にする=Blinds [AREA].
てき１体を中心に　ねむらせる=Sleeps [AREA].
かわりみをつくり　てきの|こうげきを　うけにくくする=Higher rate of dodging attacks.
せんとうから|だっしゅつする=
てき１体を中心に|どくじょうたい　にする=Poisons [AREA].
てき１体を中心に|おいろけで　メロメロにする=They have a crush on you!
てき全体を|おいろけで　メロメロにする=
影分身をつくりだし|れんぞくこうげきをする=Attack with clones.
てき１体に|ダメージを　あたえる=Damages an enemy.
てき１体に　れんぞくで|ダメージを　あたえる=Combo attack.
てき全体に|ダメージを　あたえる=
ガマをよびだして　てきに|大ダメージを　あたえる=
巨大狐に化けて　てき全体に|大ダメージを　あたえる=
てき１体を中心に|大ダメージを　あたえる=Big damage [AREA].
チャクラを　しょうひせずに|術がつかえる=
写輪眼で　てきのこうげきを|コピーする=Copies the enemy’s attack.
ふうましゅりけんで　てきに|ダメージを　あたえる=Shuriken attack.
全体の　スタミナを|すこし　かいふくする=Heals stamina (Lv 1) [ALL].
全体の　スタミナを|あるていど　かいふくする=Heals stamina (Lv 2) [ALL].
全体の　スタミナを|かなり　かいふくする=Heals stamina (Lv 3) [ALL].
全体の　スタミナを|かんぜんに　かいふくする=Heals stamina (FULL) [ALL].
きばくふだを　しかける=
てきに　れんぞくで|ダメージを　あたえる=Combo attack [AREA].
全体の　スタミナと|いじょうを　かいふくする=
全体に　きばくふだで|ダメージを　あたえる=Paper bomb attack [ALL].
チャクラのオーラを|まとわせる=
てき全体の　術をふうじる=Seal jutsu [ALL].
てき１体の|うごきを　ふうじる=Immobilizes an enemy.
てき１体を中心に|うごきを　ふうじる=Immobilizes an enemy [AREA].
てき１体を|こうどうふのうにする=KOs an enemy.
てき１体を中心に|こうどうふのうにする=
てき１体を中心に|ダメージを　あたえる=Damages an enemy [AREA].
こうはんいに|大ダメージを　あたえる=
すばやさを　アップする=Raises AGI.
てき１体を　どくと|くらやみじょうたい　にする=
クリティカルの　かくりつと|かいひりつを　アップする=Raises critical and dodge rate.
てき１体を　こうげきして|術をふうじる=Damages an enemy + seal jutsu.
てきの　こうげきを|はねかえす=Reflects an enemy’s attack.
てき１体に|大ダメージを　あたえる=Big damage.
全のうりょくがアップするが|ダメージを　うけつづける=
てき１体に　すなをとばし|ダメージを　あたえる=
てき全体に|大ダメージを　あたえる=
てき全体を|こうどうふのうにする=
てきから　うける　ダメージを|おおはばに　へらす=Greatly reduces damage from enemies.
てき１体を　つかまえて|ダメージを　あたえる=
こうげきしてきた　てきに|ダメージを　はねかえす=Reflect incoming damage.
てき全体に　かとんの|大ダメージを　あたえる=
てき１体を|さくらんじょうたい　にする=
てき全体に　水とんの|大ダメージを　あたえる=Big water damage [ALL].
てき１体に　ひんしの|ダメージを　あたえる=Causes fatal damage to one enemy.
てき全体に　雷とんの|大ダメージを　あたえる=Big lightning damage [ALL].
てき全体の|うごきを　ふうじる=Immobilizes enemy [ALL].
てき１体を|どくじょうたい　にする=
全体の　どく　くらやみ|術ふうじを　ちりょうする=
てき１体に　のりうつり|てき全体を　こうげきする=
てき１体を　こうげきして|どくじょうたい　にする=Damages an enemy + poison.
てき１体を　こうげきして|うごきを　ふうじる=
てき１体を　こうげきして|術を　ふうじる=
ランダムで　てきの　スタミナと|チャクラを　うばう=
全体のスタミナ　チャクラを|かんぜんに　かいふくする=Heals stamina + chakra (FULL) [ALL].
全体の　こうげき力を|アップする=Raises ATK [ALL].
てき１体を中心に　かとんの|ダメージを　あたえる=
せつめいなし=
トントンを　口よせする=
ガマきちを　口よせする=
ガマたつを　口よせする=
カツユを　口よせする=
パックンを　口よせする=
てき全体に　手裏剣で|こうげきする=
てきの　とくしゅこうかを|うちけす=Erase enemy’s special status.
しゅりけんに　へんげして|てきを　こうげきする=
かえんしゅりけんで|てき全体に　ダメージ=
オナラのどくこうかと|サクラの　れんぞくこうげき=
しばったてきに　チョウジが|ひっさつこうげき　をする=
ナルトと　キバの|れんぞく　ひっさつこうげき=
しばったてきに|カマイタチで　こうげきする=
おこった　ツナデによる|ひっさつパンチ=
いのと　内なるサクラの|れんぞくこうげき=
ナルトが　すこしのあいだ|パワーアップ=
ちどりと　らいきりの|がったいダメージ=
じゅいんが　ぼうそうし|てきに　大ダメージ=
あんきを　はねとばし|てき全体に　ダメージ=
がったい　じゅうけんで|大ダメージを　あたえる=
全体のスタミナ　いじょうを|かんぜんに　かいふくする=
てき１体を中心に　くらやみ|ダメージを　あたえる=
てき１体を中心に　術ふうじ|ダメージを　あたえる=
てき１体を中心に|やるきを　うばう=
シノと　キバによる|れんけいこうげき=
？？？=
てきに　せいしんてき|大ダメージを　あたえる=
サスケと　リーの|れんぞく　ひっさつコンボ=
ナルトと　リーが　あばれて|てきに　大ダメージ=
しばったてきに|しんてんしんの術を　かける=
いちどだけ　リーの|こうげきりょくが　たかくなる=
てき全体に　幻術と|きばくふだで　こうげきする=
砂くぐつで　てきの|こうげきを　ふせぐ=
どこにいても　ゆうりに|たたかえるようになる=
ふたりの　ひっさつわざで|てきに　大ダメージ=
ふたりの　らせんがんで|てきに　大ダメージ=
みかた全体に　こうげきする=
デモでつかうもの=
じぶんに　こうげきする=
てきせんよう=
