<130b>ひょうろうがん|１人のスタミナを　少し　かいふくする=<130b>Food Pills|Heals stamina (Lv 1).
の　スタミナが　かいふくした！='s stamina healed!
<130b>いりょうはんのひょうろうがん|１人のスタミナを　あるていど　かいふくする=<130b>Medical Food Pills|Heals stamina (Lv 2).
<130b>ガマじるしのひょうろうがん|１人のスタミナを　かんぜんに　かいふくする=<130b>Toad Brand Food Pills|Heals stamina (FULL).
<130b>ちょうぜつじるしのひょうろうがん|全体のスタミナを　かんぜんに　かいふくする=<130b>Super Brand Food Pills|Heals stamina (FULL) [ALL].
全体の　スタミナが　かいふくした！=Everyone's stamina healed!
<130b>チャクラがん|１人のチャクラを　少し　かいふくする=<130b>Chakra Pills|Restores chakra (Lv 1).
の　チャクラが　かいふくした！='s chakra restored!
<130b>いりょうはんのチャクラがん|１人のチャクラを　あるていど　かいふくする=<130b>Medical Chakra Pills|Restores chakra (Lv 2).
<130b>ガマじるしのチャクラがん|１人のチャクラを　かんぜんに　かいふくする=<130b>Toad Brand Chakra Pills|Restores chakra (FULL).
<130b>ちょうぜつじるしのチャクラがん|全体のチャクラを　かんぜんに　かいふくする=<130b>Super Brand Chakra Pills|Restores chakra (FULL) [ALL].
全体の　チャクラが　かいふくした！=Everyone's chakra restored!
<130b>ばんのうがん|１人を　こうどうふのうから　ふっきする=<130b>Versatile Pills|Recovers from KO.
<130b>ばんのうがん|１人を　こうどうふのうから　ふっきする２=<130b>Versatile Pills|Recovers from KO (2).
<130b>ちょうぜつじるしのばんのうがん|１人を　こうどうふのうから　かんぜんにふっきする=<130b>Super Brand Versatile Pills|Fully recovers from KO.
<130b>ちょうぜつじるしのばんのうがん|１人を　こうどうふのうから　かんぜんにふっきする２=<130b>Super Brand Versatile Pills|Fully recovers from KO (2).
<130b>きょうそうがん|こうげき力を　アップする=<130b>Competition Pills|Raises ATK.
<130b>こうてつがん|ぼうぎょ力を　アップする=<130b>Steel Pills|Raises DEF.
<130b>しっぷうがん|すばやさを　アップする=<130b>Wind Pills|Raises AGI.
<130d>しゅんしんのまきもの|全体マップに　いどうする=<130d>Escape Scroll|Moves to the world map.
<130d>かわりみのまきもの|かわりみをつくり　てきのこうげきを　うけにくくする=<130d>Substitution Scroll|Higher rate of dodging attacks.
<130d>かとんのまきもの|てき１体を中心に　火とんの　ダメージをあたえる=<130d>Fire Style Scroll|Fire damage [AREA].
<130d>すいとんのまきもの|てき全体に　水とんの　ダメージをあたえる=<130d>Water Style Scroll|Water damage [ALL].
<130d>らいとんのまきもの|てき１体を中心に　雷とんの　ダメージをあたえる=<130d>Lightning Style Scroll|Lightning damage [AREA].
<130d>ふうとんのまきもの|てき全体に　風とんの　ダメージをあたえる=<130d>Wind Style Scroll|Wind damage [ALL].
<130b>いし|いしつぶてで　てき全体をこうげきする=<130b>Stone|Stone attack [ALL].
<130e>きばくふだ|きばくふだを　しかける=<130e>Explosive Paper|Explosive paper attack (Lv 1) [ALL].
<130e>きょうりょくきばくふだ|強力きばくふだを　しかける=<130e>Super Explosive Paper|Explosive paper attack (Lv 2) [ALL].
<130e>あんぶのきばくふだ|暗部のきばくふだを　しかける=<130e>Anbu Paper Bomb|Explosive paper attack (Lv 3) [ALL].
<130b>けむりだま|けむり玉で　てきのこうげきをあたりにくくする=<130b>Smoke Bomb|Avoid enemy attacks with a smoke bomb.
<130b>どくけむりだま|てき１体を中心に　毒じょうたいにする=<130b>Poison Smoke Bomb|Poisons enemy [AREA].
<130b>まきびし|まきびしで　金しばりじょうたいにする=<130b>Makibishi Spikes|Spikes immobilize an enemy.
<130b>さくらんこう|てき１体を　さくらんじょうたいにする=<130b>Confusion Aroma|Confuses enemy.
<130b>ふういんだま|てき１体の　術をふうじる=<130b>Seal Ball|Seals enemy jutsu.
<130b>よわきだま|てき１体を　しばらく　よわきにする=<130b>Timid Ball|Makes enemy timid.
<130b>なんじゃくだま|てき１体の　しゅび力をさげる=<130b>Wimp Ball|Lowers enemy DEF.
<130b>ねんちゃくだま|てき１体の　すばやさをさげる=<130b>Sticky Ball|Lowers enemy AGI.
<130d>ガマよせのまきもの|ガマをよびだして　てきに　大ダメージをあたえる=<130d>Summon Toad Scroll|Big damage with summoned toad [AREA].
<130d>きゅうびよせのまきもの|きょだい狐にばけて　てき全体に　大ダメージをあたえる=<130d>Summon Nine-Tails Scroll|Big damage with summoned fox [ALL].
<130b>カップラーメン|１人のスタミナを　少し　かいふくする=<130b>Cup Ramen|Heals stamina (Lv 1).
<130b>ひでんのきずぐすり|ひゅうがのいえにつたわる　ひでんのきずぐすり=<130b>Family Secret Ointment|Hyuga Clan's legendary secret ointment.
全体の　スタミナ　チャクラが　かいふくした！=Everyone's stamina and chakra healed!
<130b>あまぐり|すぐたべられる　ひとくちサイズ=<130b>Sweet Chestnuts|A bitesize snack.
の　スタミナ　チャクラが　かいふくした！='s stamina and chakra healed!
<130b>スーパーあまぐり|たべごたえのある　とくだいサイズ=<130b>Jumbo Sweet Chestnuts|A big size for a big appetite.
<130d>どくマニュアル|１人の　毒じょうたいを　ちりょうする=<130d>Poison Manual|Heals poison status.
<130d>かなしばりマニュアル|１人の　金しばりじょうたいを　ちりょうする=<130d>Immobility Manual|Heals immobility status.
<130d>さくらんマニュアル|１人の　さくらんじょうたいを　ちりょうする=<130d>Confusion Manual|Heals confusion status.
<130d>くらやみマニュアル|１人の　くらやみじょうたいを　ちりょうする=<130d>Blindness Manual|Heals blind status.
<130d>じゅつふうじマニュアル|１人の　術ふうじじょうたいを　ちりょうする=<130d>Sealed Jutsu Manual|Heals sealed jutsu status.
<130d>よろずマニュアル|全体の　すべてのいじょうを　ちりょうする=<130d>General Manual|Heals all status effects.
<130b>こうげきカンポウがん|１人のこうげき力を　あげる=<130b>Attack Herbal Pills|Raises ATK.
のこうげき力が　ふえた！='s attack power increased!
<130b>ぼうぎょカンポウがん|１人のぼうぎょ力を　あげる=<130b>Defense Herbal Pills|Raises DEF.
のぼうぎょ力が　ふえた！='s defense increased!
<130b>すばやさカンポウがん|１人のすばやさを　あげる=<130b>Agility Herbal Pills|Raises AGI.
のすばやさが　ふえた！='s agility increased!
<130b>にんりょくカンポウがん|１人のにん力を　あげる=<130b>Ninja Power Herbal Pills|Raises NIN.
のにん力が　ふえた！='s ninja power increased!
<130b>スタミナカンポウがん|１人のさいだいスタミナを　あげる=<130b>Stamina Herbal Pills|Raises max stamina.
のさいだいスタミナが　ふえた！='s max stamina increased!
<130b>チャクラカンポウがん|１人のさいだいチャクラを　あげる=<130b>Chakra Herbal Pills|Raises max chakra.
のさいだいチャクラが　ふえた！='s max chakra increased!
<130b>イチャイチャパラダイス|だれかに　プレゼントすると・・・=<130b>Make-Out Paradise|A great gift for someone.
<130b>イチャイチャバイオレンス|だれかに　プレゼントすると・・・=<130b>Make-Out Violence|A great gift for someone.
