チームめい　フォーメーション！いのシカチョウ|いやしい　口わるい　めんどくさがり　こせいはチーム！=
チームめい　キバチーム|サバイバルなら　おてのもの！　やせいてきチーム！=
チームめい　ガイはん|じゅうけん　ごうけん　あんき　ガイのひぞうっ子たち！=
チームめい　かげぶんしんのじゅつ|どいつが　ホンモノ？　ナルトの　かげ分身さっぽう！=
チームめい　このはのせいえいたち|上忍　しゅうけつ！　きょうりょくな　あいのムチ！=
チームめい　こいせよおとめ！|くノ一　だいしゅうごう！　シカマルも　タジタジ！？=
チームめい　じんぎなきバトル！！|あらくれものたちによるプライドをかけたしょうぶ！=
チームめい　あいやしばらく！ドタバタしてい|ドタバタしていの　いがいな　コンビネーション！？=
チームめい　もやせせいしゅん！ねっけつしてい！|あつき　せいしゅんを　かけての　ねっけつしょうぶ！！=
チームめい　ちどりとらいきり！てんさいしてい！|カカシとサスケ　てんさいと　よばれた　写輪眼つかい！=
チームめい　ひゅうがいちぞく！|しかくなし！？　びゃくがんの　チカラ！！=
チームめい　かくれざとのしのびたち！|木ノ葉には　まけない！　じつりょくはの　忍たち！！=
チームめい　しゅうごう！しのびのどうぶつたち|じつりょくは　忍なみ！？　口よせどうぶつ！！=
チームめい　ひゃくのあしをもつものたち|くノ一も　タジタジ！？　ムカデだいしゅうごう！！=
チームめい　すなのしのび|きのうのてきは　きょうのとも！？　風影の子どもたち！=
チームめい　げきとつするチカラ！|こざいくは　むよう！　きょうりょくパワータッグ！！=
チームめい　たいけつ！キケンなゲーム|スキをみつけだせ！　じゅうけんと　クモのいと！=
チームめい　つめしょうぎ|うごきを　とめろ！　かげと　音の　ずのうてきバトル！=
チームめい　けっしのこうぼう|てきは４人！？　コンビネーションバトル！！=
チームめい　へんそくてき？よそくできないうごき|かれいなる　みのこなし！　たいじゅつバトル！=
チームめい　あかつきからのししゃ|なぞのそしき　あかつきの　じつりょく！！=
チームめい　だい７はん！！|つみあげた　きずなの力！　カカシじまんの　第７班！=
チームめい　あんぶしゅつどう！|かげで　かつやくする　火影ちょくぞく　とくしゅぶたい=
チームめい　てんのじゅいん　ちのじゅいん|天をまい　地をかける！　ちょうぜつ　呪印タッグ！=
チームめい　えいえんの　ライバル？？|ライバルは名タッグ！？　カカシとガイ！！=
チームめい　バカ力（ぢから）！？|キレると　さいきょう！？　内にひめたるバカぢから！=
チームめい　チカラをもとめるもの|もとめるものは　チカラだけ・・・　やみにそまりしもの=
チームめい　おろちまるのじゅばく|きょうふと　呪印の　しはい！　音のつわものたち！=
チームめい　あらたなほかげのじつりょく！|れきだいさいきょうの　バカ力！　五代目火影！！=
チームめい　３つのしゃりんがん|おそるべし　写輪眼の力！　かつことは　できるのか！？=
チームめい　でんせつのさんにん！！|でんせつのスリーマンセル！　ここに　けんざん！！=
チームめい　さいごのうちはいちぞく|さいきょうの　いちぞく！　そのしんのじつりょく！！=
ナルト　げんていくみて　　　　ＶＳ　サスケ|まけられないライバル！　サスケへのちょうせん！=
サクラ　げんていくみて　　　　ＶＳ　いの|こいのライバル！　サクラのたたかい！！=
チョウジ　げんていくみて　　　ＶＳ　いの|いのに　ポッチャリけいの　すごさを　おもいしらせ！=
キバ　げんていくみて　　　　　ＶＳ　ナルト|キバＶＳナルト！　めだちたがりや　たいけつ！？=
ナルト　げんていくみて　　　　ＶＳ　じらいや|エロせんにんを　ぶっとばす！！　ナルトのちょうせん！=
ネジ　げんていくみて　　　　　ＶＳ　ヒナタ|日向そうけの　じつりょく！　ぶんけは　かてるか！？=
リー　げんていくみて　　　　　ＶＳ　ガイ|とびだせ　せいしゅん！！　リー<56><53>ガイ！！=
ガアラ　げんていくみて　　　　ＶＳ　ナルト|ほんとうの　つよさを　もつものに　ガアラがいどむ！=
カンクロウ　げんていくみて　　ＶＳ　シノ|じつげんしなかった　ほんせん！　カンクロウＶＳシノ！=
シカマル　げんていくみて　　　ＶＳ　テマリ|シカマルタジタジ！？　かあちゃんより　こわいやつ！！=
テマリ　げんていくみて　　　　ＶＳ　シカマル|こんどは　ギブアップなし！　テマリＶＳシカマル！=
チョウジ　げんていくみて　　　ＶＳ　ジロウボウ|ゆるせないてき！　チョウジのたたかい！=
ネジ　げんていくみて　　　　　ＶＳ　キドウマル|いのちがけの　きけんな　ゲーム！　ネジのたたかい！=
シカマル　げんていくみて　　　ＶＳ　タユヤ|きぶんは　ひしゃかくおち！？　シカマルのたたかい！=
キバ　げんていくみて　　　　　ＶＳ　サコン・ウコン|へんそくタッグバトル！　キバと赤丸のたたかい！=
リー　げんていくみて　　　　　ＶＳ　キミマロ|へんそくてきな　ほねこうげき！　リーのたたかい！=
