<130e>オロチまるの忍しきふだ　を|てにいれた！=Obtained <130e>Orochimaru's Ninja Tag!
<130e>イタチの忍しきふだ　を|てにいれた！=Obtained <130e>Itachi's Ninja Tag!
<130d>パックン口よせ巻物　を|てにいれた！=Obtained <130d>Pakkun's Summoning Scroll!
<130d>ひじゅつの巻物　を|てにいれた！=Obtained <130d>Secret Jutsu Scroll!
<130d>きんじゅつの巻物　を|てにいれた！=Obtained <130d>Forbidden Jutsu Scroll!
<1300>雷神の剣　を|てにいれた！=Obtained <1300>Raijin Sword!
<1300>四代目の忍刀　を|てにいれた！=Obtained <1300>Fourth Hokage's Sword!
<1309>四代目のマント　を|てにいれた！=Obtained <1309>Fourth Hokage's Cape!
<130c>赤丸の入よくけん　を|てにいれた！=Obtained <130c>Akamaru's Bath Ticket!
<130c>イルカの入よくけん　を|てにいれた！=Obtained <130c>Iruka's Bath Ticket!
<130c>三忍のちょうせんじょう　を|てにいれた！=Obtained <130c>Sannin's Challenge Kumite Ticket!
<130c>うちはのきろく　を|てにいれた！=Obtained <130c>Memory of the Uchiha Kumite Ticket!
<small_naruto>「このあんごうは|もう　かいじょしたってばよ」=<small_naruto>This code has already been decoded!#ported from POTN1
<small_naruto>「だーーー！！|まちがえたみたいだってばよ！！」=<small_naruto>Darn it! I messed up!
