<narrator>「ダミーメッセージ」=
<narrator>「ここは　<blue>火の国（ひのくに）|木ノ葉隠れの里（このはがくれのさと）<black>だっ！」=<narrator>This is the <blue>Village Hidden in the Leaves<black>.
<narrator>「なにをしたらいいのか　ヒントをききたいかっ？」=<narrator>Why are you running around?|Do you need a hint?
<narrator>「任務（にんむ）　ごくろうさま！」=<narrator>Good luck on your mission!
<narrator>「綱手（ツナデ）さまが　もどられたそうだな！|これで　里もあんしんだ！」=<narrator>With Lady Tsunade back as our Hokage,|I feel a lot safer!
<narrator>「うちはサスケが　里をぬけたらしい・・・|オレたちが　いながら　きづかなかったとは・・・」=<narrator>I heard Sasuke Uchiha left the village... and no one noticed...
<narrator>「自来也さまと　修業のたびに　でるんだってな！|がんばれよ！」=<narrator>Good luck on your training with Master Jiraiya!
<narrator>「<blue>“木ノ葉くずし”<black>があってから　こわくて|よるねむれないことが　おおいのよ・・・」=<narrator>Things haven't been the same since the <blue>Destruction of the Leaf<black>.
「あの日のことを　おもいだすと・・・<w64>|ううん・・・　<w32>だめだわ」=Just thinking back is...<w64>|No...<w32>I shouldn't....
<narrator>「<blue>五代目火影（ごだいめほかげ）<black>さまには|でんせつの三忍（さんにん）の　こういってん・・・」=<narrator>To think the <blue>Fifth Hokage <black>is one of the Legendary Sannin...
「<blue>綱手（ツナデ）<black>さまが　なられたのね！|しゅうにんしきでは　かんどうしたわ！」=I'm so glad <blue>Lady Tsunade <black>got inaugurated as Hokage!
<narrator>「里は　だいぶもとどおりになったけど|ひとの　ココロのいたみは　なかなかきえないものね」=<narrator>Even though the village is being rebuilt... some people's hearts cannot be mended.
「いまでも　たまに　こわくなるわ・・・」=<narrator>Fear still lingers...
「でも　いまは　綱手さまもいるし　ゆうしゅうな|忍者さんたちがいてくれるから　しんぱいいらないわね」=<narrator>But things are looking up with Lady Tsunade and our shinobi protecting us.
<narrator>「いつまでも　“木ノ葉くずし”のことを　なげいては|いられないわね・・・」=<narrator>The memories of the Destruction still weigh on my mind...
「がんばってくれる　忍者さんたちのためにも|わたしたちも　がんばらなくちゃ」=<narrator>But I'll do my best to support our shinobi!
<narrator>「ク～ン・・・」=<narrator>*Whine...*
<narrator><130b>兵糧丸（ひょうろうがん）を|ほしそうな　かおをしている・・・=<narrator>It looks like it's sniffing around for a <130b>Food Pill...
<130b>兵糧丸（ひょうろうがん）を　あげますか？=Give <130b>Food Pill?
<narrator><instant>　あげない|　あげる<0B>=<narrator><instant>　No way!|　Here!<0B>
<narrator><130b>兵糧丸（ひょうろうがん）を|もっていなかった！=<narrator>You don't have a <130b>Food Pill.
<narrator>「ク～ン　ク～ン・・・」=<narrator>*Nom...*
よろこんでいるように　みえる・・・=It looks pleased.
<narrator><130b>ガマ印の兵糧丸を|ほしそうな　かおをしている・・・=<narrator>It looks like it's sniffing around for a <130b>Toad Brand Food Pill...
<130b>ガマ印の兵糧丸を　あげますか？=Give <130b>Toad Brand Food Pill?
<narrator><130b>ガマ印の兵糧丸を|もっていなかった！=<narrator>You don't have a <130b>Toad Brand Food Pill.
<narrator><130b>スーパーあまぐりを|ほしそうな　かおをしている・・・=<narrator>It looks like it's sniffing around for some <130b>Jumbo Sweet Chestnuts...
<130b>スーパーあまぐりを　あげますか？=Give <130b>Jumbo Sweet Chestnuts?
<narrator><130b>スーパーあまぐりを|もっていなかった！=<narrator>You don't have any <130b>Jumbo Sweet Chestnuts.
<narrator><130b>暗部のきばく札を|ほしそうな　かおをしている・・・=<narrator>It looks like it's sniffing around for an <130b>Anbu Paper Bomb...
<130b>暗部のきばく札を　あげますか？=Give <130b>Anbu Paper Bomb?
<narrator><130b>暗部のきばく札を|もっていなかった！=<narrator>You don't have an <130b>Anbu Paper Bomb.
<narrator>とても　よろこんでいるように　みえる！=<narrator>It wagged its tail happily!
<narrator>とても　さみしそうに　みえる・・・=<narrator>It looks sad...
<narrator>「<blue>ぶき・ぼうぐや<black>は　任務のすすみぐあいによって|うってる　ラインナップが　かわるぞ！」=<narrator>The lineup of <blue>weapons and equipment<black> for sale will change as you progress.
「こまめに　のぞいてみるのも　いいだろう！」=It's a good idea to check back often!
<narrator>「<blue>短冊街（たんざくがい）<black>に　<blue>“よろずや”<black>といって|ぶき・ぼうぐ・どうぐを　うるところが　あるらしい」=<narrator>I heard there's a place called <black>Yorozuya<black> in <blue>Tanzaku Town<black> that sells items, weapons and armor.
「しかも　木ノ葉隠れの里では　てにはいらないものを|うってるみたいだから　いってみるかちはあるな！」=They're even supposed to have stuff that can't be bought in the Leaf!|I really want to go...
<narrator>「よのなかには　<blue>“でんせつの三忍のぶき”<black>っていう|シリーズものが　あるらしいぜ！」=<narrator>Apparently there's a <blue>“Legendary Sannin” Weapon Series<black>!
「コレクターなら　あつめてみるかちは　あるだろうけど|なんせ　あの“三忍”のぶきだから・・・」=They'd obviously appeal to any collector, but being a “Legendary Sannin” series...
「きっと　すごく　つよいんだろうな・・・|ああ　てにいれてみたい・・・」=I bet they're really strong too! Aagh, if only I could get my hands on some-!
<narrator>「ついさいきん　こみみにはさんだんだが|<blue>“でんせつの三忍のぶき”<black>シリーズのほかに」=<narrator>I recently overheard that as well as the <blue>“Legendary Sannin”<black> Weapon Series,
「<blue>“火影”<black>シリーズが　あるようなんだ！|きっと　ものすごく　つよいんだろうなぁ・・・」=there’s a <blue>“Hokage Series”<black> too!|I bet it’s super strong...
<narrator>「ラーメン一楽（いちらく）の　よこにいる|いぬをみたかい？」=<narrator>Did you see a dog next to Ichiraku Ramen?
「“木ノ葉くずし”があってから　あのいぬの|ごしゅじんさまが　かえってこないみたいなんだよ」=It seems that ever since the Destruction of the Leaf,|the dog's owner hasn't come back to get him!
「忍者さんたち・・・　あのいぬが　こまっていたら|たすけてあげて　ちょうだいね・・・」=Hey, ninjas... If that dog is in trouble, please help it...
<narrator>「あのいぬのごしゅじんさまは　まだかえって|こないんだよ・・・」=<narrator>That dog’s owner still hasn’t come back...
「ああやって　かえりをまちつづけるすがたをみると|なんだか　かなしくなるねェ・・・」=Aaah... It pains me to see it waiting for its owner to return...
「忍者さんたち・・・　あのいぬが　こまっていたら|たすけてあげて　ちょうだいね・・・」=Hey, ninjas... If that dog is in trouble, please help it...
<narrator>「このまえ　あのいぬに　ごはんを　あげたんだけど|ぜんぜん　たべてくれないんだよ・・・」=<narrator>I tried giving that dog some food the other day but it wouldn’t eat...
「やっぱり　ごしゅじんさまが　いないのは|さみしいのかもねェ・・・」=I guess it is really missing its owner...
「忍者さんたち・・・　あのいぬが　こまっていたら|たすけてあげて　ちょうだいね・・・」=Hey, ninjas... If that dog is in trouble, please help it...
<narrator>「あのいぬの　ごしゅじんさまが　かえってきて|よかった・・・　ほんとうに　よかったよ」=<narrator>That dog’s owner finally came back... |I’m so glad.
<narrator>「ああやって　かえりをまちつづけるすがたをみると|なんだか　かなしくなるねェ・・・」=<narrator>Aaah... It pains me to see those still waiting for their loved ones to return...
<narrator>「むかし　木ノ葉隠れの里には　<blue>“でんせつの三忍|（さんにん）”<black>っていう　すっごい忍がいたらしいけど」=<narrator>This village used to have three incredible ninjas called the <blue>Legendary Sannin<black>...
「そのひとたちがいたらー　<blue>“木ノ葉くずし”<black>は|おこらずに　すんだんじゃない？」=If they were still here, could they have stopped the Destruction...?
<narrator>「あたらしい火影に　なったひとは　でんせつの|三忍（さんにん）の　綱手さまだったのね～」=<narrator>Our new Hokage is non other than Lady Tsunade of the Legendary Sannin~!
「それにしても～|いままで　どこに　いたんだろうねー？」=Though, I have to wonder, where has she been all this time?
<narrator>「このまえ　綱手さまを　ちかくでみたけどー|わかくて　びっくりしたー」=<narrator>When I first saw Lady Tsunade up close,|I was surprised at how young she is.
<narrator>「綱手さまを　みならって～　わたしも|つよくて　かしこいおんなを　めざそっかな～」=<narrator>I really admire Lady Tsunade~|I want to be strong and smart like her!
<narrator>「おにいちゃんたちも　忍者ゴッコする？」=<narrator>Do you want to play ninja?
<narrator>「忍者ゴッコで　わたし　綱手さまを　してるんだよ！|だって　かっこいいもん！」=<narrator>I’m playing pretend that I’m Lady Tsunade! She’s just so cool!
<narrator>「いつかは　綱手さまみたいな|かっこいい　くのいちに　なりたいなぁ」=<narrator>I hope I grow up to be a cool Kunoichi like Lady Tsunade one day!
<narrator>「ぼくたち　忍者ゴッコしてるんだ！」=<narrator>We’re playing ninja!
<narrator>「忍者ゴッコで　ぼくは　かつて　“里のきょうき”|とよばれた　自来也さまを　してるんだ！」=<narrator>I like to pretend that I am “the Village's Madness” Jiraiya!
<narrator>「ぼく・・・　いつか　火影に　なりたいな・・・」=<narrator>One day... I wanna become Hokage...!
<narrator>「ねェ　<blue>木ノ葉茶（このはちゃ）<black>と　<blue>あほ茶（ちゃ）<black>|どっちにする～？」=<narrator>Hey, which tea shop should we go to, <blue>Leaf<black> or <blue>Aho<black>?
「キミが　きめていいよ！」=You decide!
「え～！？　そんなこと　いわれると|よけい　まよっちゃうじゃない・・・」=Ehh~? Now I’m even more stuck...
<narrator>「う～ん　<blue>木ノ葉茶（このはちゃ）<black>と　<blue>あほ茶（ちゃ）<black>|どっちにするか　まようわ～？」=<narrator>Hmmm, I just can’t decide whether to go to <blue>Leaf<black> or <blue>Aho<black> tea shop...
「キミが　えらんだところなら|ボクは　どこだって　だいじょうぶサ！」=I’m happy going wherever you want to go!
「え～・・・　ほんとにィ！？|う・れ・し・い～」=Really!? Yay~!
<narrator>「そろそろ　<blue>木ノ葉茶（このはちゃ）<black>と　<blue>あほ茶（ちゃ）<black>|どっちにするか　しんけんに　きめないとね～」=<narrator>I think I know where I want to go out of <blue>Leaf<black> and <blue>Aho<black> tea shop!
「どっちも　おだんごがおいしい　ってうわさだよ」=I’ve heard that the dango are great at both.
「え～　よけいに　まよう～」=Huh? Now I’m stuck again...
<narrator>「ほんとに　どっちにはいるか　きめないか？|ずっと　たちつくしたままだよ・・・」=<narrator>Can you really not pick where to go? We’ve been stood here for ages...
「あなたが　さっさと　きめてくれないからじゃない！|ほんとに　だらしないひとね！」=It’s because you couldn’t decide fast enough! You’re so thoughtless!
「えっ！？　ボクのせい！！！？」=Huh!? It’s my fault!?
<narrator>「よのなかには　<blue>なかまとの　あいしょうをあげる<black>ことが|できるどうぐが　あるらしい・・・」=<narrator>I heard there are certain items that can help you <blue>improve your relationship with your teammates<black>...#There's a gift-giving system which lets you improve your chemistry with anyone (better chemistry = more chance of random combo attacks)
「ぜひ　てにいれてみたいもんじゃな！」=I would love to have one!
<narrator>「あいしょうちを　あげることができる|どうぐを　てにいれたら・・・」=<narrator>Once you have a gift in your inventory...
「“どうぐ”がめんで　そのどうぐをせんたくし」=You just need to go to the “Item” menu and select the gift,
「“だれにつかうか”きめれば　そのあいてに|プレゼントすることが　できるんじゃよ」=and then you can choose the person you’d like to give it to.
<narrator>「なかまに　なにかプレゼントするときは|あいてのことを　かんがえるのが　じゅうようじゃ！」=<narrator>When you give a gift, it's important to think about what the recipient might like.
<narrator>「ちょっと　こみみに　はさんだんじゃが　おんなのこは|きほんてきに　あまいものが　すきみたいじゃ！」=<narrator>I heard that most girls like sweet food!
<inari>「へへ！　おじいちゃんといっしょに|<blue>波の国（なみのくに）<black>から　木ノ葉隠れの里に」=<inari>Heh heh! I came here from the <blue>Land of Waves<black> with Gramps to help with
<inari>「ふっこうの　おてつだいに　きてるんだ！」=<inari>reconstructing Leaf Village!
<inari>「おじいちゃんに　だいぶうまくなってきたって|ほめられたんだ！」=<inari>Gramps told me that I’ve really improved lately!
<inari>「もっと　がんばるよ！！」=<inari>I’m going to keep working hard!
<inari>「おかあさんが　おべんとうを|つくってきてくれたんだ！」=<inari>My mum brought me a homemade lunch!
<inari>「もっと　もっと　がんばるぞ！」=<inari>It gave me the strength to work even harder!
<inari>「木ノ葉隠れの里も　だいぶもとどおりに|なっただろ！？」=<inari>Leaf Village is almost back to normal, right?
<inari>「なんせ　ぼくは|波の国のヒーローだからね！」=<inari>I am the hero of the Land of Waves, after all!
<tazuna>「ガキども　チョーげんきにしとったか？|ワシや　イナリをはじめ　<blue>波の国<black>のものたちは」=<tazuna>How are you kids holding up?|Me, Inari, and some other folks from the <blue>Land of Waves<black> came here to lend a hand  with rebuilding
<tazuna>「ガトーのじけんのおれいに　木ノ葉隠れの里の|ふっこうを　チョーてつだいにきとるんじゃ！」=<tazuna>Leaf Village as thanks for your help with Gato.
<tazuna>「イナリも　チョーがんばって|てつだってくれとる！」=<tazuna>Inari has been working super- hard!#leave space
<tazuna>「このまえ　ツナミが　さしいれに　とくせい|スタミナべんとうを　もってきてくれた」=<tazuna>Tsunami brought me a special super-stamina lunchbox.
<tazuna>「げんきが　モリモリ　ついたわい！」=<tazuna>I feel 20 years younger now!
<tazuna>「イナリも　だいぶいたについてきたみたいだ|これからが　チョーたのしみだ」=<tazuna>Inari seems to really be getting the hang of things.|I’m looking forward to seeing his progress in the future!
<narrator>「このまま　まっすぐ　うえにいくと|<blue>“忍”<black>とかかれた　いりぐちがある」=<narrator>If you keep heading straight up, you’ll come to a door with a  <blue>“忍”<black> symbol above it.
「そこに　はいると　<blue>忍者学校（アカデミー）<black>だ！！」=That’s the Ninja Academy!
「忍者学校にはいって　つきあたりを　みぎにすすみ|てまえにある　へやが　<blue>依頼受付所<black>だ！」=If you go in there and head through the door at the back, then continue right, you’ll be at the <blue>Mission Reception<black>.
<narrator>「キミたちは　<blue>“くみてどうじょう”<black>を|しっているかい？」=<narrator>Do you know about the <blue>Kumite Dojo<black>?
「しらないのなら　いちど　忍者学校の|<blue>上忍（じょうにん）ひかえしつ<black>に　いってみるといい」=If not, you should try heading to the <blue>Jonin Center<black> in the Ninja Academy.
「そこには　<blue>イビキ<black>さんがいて|くみてどうじょうの　さんかを　よびかけているぞ！」=There, you can ask <blue>Ibiki<black> about taking part in a Kumite.
<narrator>「キミたちは　<blue>“とうぎじょう”<black>を|しっているかい？」=<narrator>Do you know about the <blue>Main Arena<black>?
「しらないのなら　いちど　<blue>ぜんたいマップ<black>から|<blue>“とうぎじょう”<black>をせんたくして　いってみるといい」=If not, you should try visiting it from the <blue>World Map<black>.
