<narrator>「ダミーメッセージ」=
<narrator>「ココのさきの　テントのところに　ぜんしんみどりの|ボディスーツのひとを　みかけたよ」=
「なんか　<blue>“とびだせ　青春（せいしゅん）！”<black>　って|さけんで　へんなポーズを　とってたよ～・・・」=
<narrator>「あの　げきコユで　げきマユのひと！|こんどは・・・」=
「テントのまえで　じーっとたったまま|うごかないんだよ～　どうしたのかなぁ？」=
<narrator>「そういえば　さいきん　げきマユのひと|みかけなくなったよ～・・・」=
<narrator>「げきマユのひと　また　テントにもどってきたよ|みにいこ～っと！」=
<narrator>「あの　げきマユで　げきコユのひともびっくりだけど|わたしなんて　かたほうの目（め）をかくして」=
「ピンクいろのほん　もったまま　あるいてるひと|みかけたこと　あるもんね～・・・」=
<narrator>「このまえ　しろいあたまで　ものすごーくおっきいひと|みかけたよ！」=
<narrator>「このまえ　五代目火影さまにあったよ！|キレイなおねーさんで　びっくりしちゃった！」=
<narrator>「こんど　いっしょに　げきマユのひとを|みにいくんだー！！」=
<narrator>「<blue>“イチャイチャパラダイス”<black>というのを|じょうえいするらしい」=
「はて・・・　イチャイチャパラダイスとは|どんなもの　なんだろう？？　」=
「<blue>波の国（なみのくに）<black>では　このようなえいがは|なかったから　ひじょうに　きになる」=
<narrator>「はぁ・・・　<blue>イチャイチャパラダイス<black>が　きになる|どんなえいがかききたい！　・・・でもはずかしい」=
<narrator>「イチャイチャパラダイスが　どんなえいがか？」=
「ゆうきをだして　サングラスをした忍者さんに|たずねてみた」=
「こい・あい・しつれん・・・　おとなになって|わすれてしまった　なにかを　おもいださせるそうだ」=
「ぜひ　いちど　みてみたい！！」=
<narrator>「イチャイチャパラダイス・・・　よかった・・・|なみだが　とまらないよ・・・」=
「なくしてしまった　なにかが　もどってきたよ|えーっと　・・・つぎの　じょうえいさくひんは・・・」=
<blue>“げきじょうばん　ＮＡＲＵＴＯ一ナルト一|だいげきとつ！　まぼろしのちていいせきだってばよ”<black>=
「うーん・・・　これも　おもしろそうだな！|ぜひ　みにいきたいよ！！」=
<narrator>「<blue>“木ノ葉くずし”<black>があってから　里もいろいろと|かわったよ　・・・とくに」=
「火影さまが　いまいないってのが|やっぱ　キツイよな・・・　なんか　ふあんだ」=
<narrator>「<blue>五代目火影（ごだいめほかげ）<black>がきまって|ちょっと　ホッとしてるよ・・・」=
「やっぱ　火影さまのそんざいって|デカいもんな！」=
<narrator>「このまえ　火影さまを　おみかけしたよ！|あんなにキレイで　つよく　そしてかしこい！！」=
「３びょうしそろっている　・・・とは|まさに　このことだね！」=
<narrator>「さいきん　綱手さまファンクラブをつくろうかなって|おもってるんだ」=
<narrator>「じんけいがめんで　<blue>“じんけい”<black>せっていできるんだが|せっていした　たちいちによって」=
「せんとうにとつにゅうしたときに　<blue>プラスこうか<black>|されることが　あるらしいんだ！」=
「ぼくも　ちょうさちゅうで　まだまだ　なぞなところが|いっぱいある！　なにかわかったら　おしえてあげるよ」=
<narrator>「じんけいについて　わかったぞ！！|<blue>３にんで　たて１れつ<black>の　じんけいをくむと・・・」=
「<blue>“イナズマのじん”<black>といって　せんぱつメンバーの|<blue>こうげき力が　アップ<black>するらしいぞ！」=
<narrator>「じんけいについて　また　わかったぞ！！|<blue>３にんで　よこ１れつ<black>の　じんけいをくむと・・・」=
「<blue>“ハヤブサのじん”<black>といって　せんぱつメンバーの|<blue>すばやさが　アップ<black>するらしいぞ！」=
<narrator>「うーん・・・　いまのところ　あたらしい|じんけいのじょうほうは　はいってきてないんだ！」=
「いままでにわかっている　じんけいは・・・」=
「<blue>イナズマのじん<black>・・・　<blue>３にんで　たて１れつ<black>にくむと|せんぱつメンバーの　<blue>こうげき力が　アップ<black>！！」=
「<blue>ハヤブサのじん<black>・・・　<blue>３にんで　よこ１れつ<black>にくむと|せんぱつメンバーの　<blue>すばやさが　アップ<black>！！」=
<narrator>「じんけいは　<blue>ぜんぶで６しゅるい<black>　あるらしいぞ！|・・・ぜんぶ　みつけられたか？」=
<narrator>「ニャー！！」=
<symbolff><small_naruto2>「！！　ビックリするじゃねェか！　オレは|しゅうふくこうじなんて　したくねェんだよ」=
<symbolff><small_naruto2>「！！　オレは　かくれてるんだ！|そっと　しておいてくれ！！」=
<symbolff><small_naruto2>「このまえ　ゾウリにみつかりそうに　なったんだよ|おねがいだから　そっとしておいてくれ・・・」=
<symbolff><small_naruto2>「ついに　ゾウリに　みつかってしまった・・・」=
<symbolff><small_naruto2>「かくれてたバツとして　<blue>波の国（なみのくに）<black>に|かえったら　しごとをいっぱいしてもらうってサ」=
<symbolff><small_naruto2>「だから　かえりたくないから|かくれているんだって！　トホホ・・・」=
<symbolff><small_sasuke2>「いまは　こころをいれかえて|あせみずながして　はたらいている・・・」=
<symbolff><small_sasuke2>「・・・にしても　ワラジのヤツは　どこにいった！？|オレが　タズナさんに　おこられるじゃないか！」=
<symbolff><small_sasuke2>「ったく　ワラジのヤツが　みつからないせいで|オレのしごとが　ふえちゃったじゃねェか！」=
<symbolff><small_sasuke2>「アイツ！　波の国（なみのくに）に　かえったら|しごとを　もっといっぱい　させてやる！」=
<symbolff><small_sasuke2>「このまえ　ワラジのヤツを　あと１ぽのところで|にがしてしまった・・・　つぎこそは　かならず！！」=
<symbolff><small_sasuke2>「ついに　ワラジのヤツを　つかまえた！|よていどおり　<blue>波の国（なみのくに）<black>へ　かえったら」=
<symbolff><small_sasuke2>「たくさん　しごとを　してもらうつもりだ！」=
<narrator>「でるときは　こえをかけるから|いっしょに　でようね！」=
「あたりまえだよ！　きみのこえをきいたら|すぐに　でてくるよ！！」=
<narrator>「おんせんで　せっけんをかしてって|さけばれたときは　ちょっと　はずかしかったわ」=
「あれは　あいのさけびだから　しかたがないサ」=
<narrator>「おふろあがりに　かわのちかくで|すずむなんて　ふうりゅうよね」=
「ボクは　きみさえいれば|どこだって　ＯＫだけどね！」=
<narrator>「また・・・　おんせん　はいりましょうか」=
「木ノ葉おんせんは　きみのように|あきがこない　おんせんだね・・・」=
