<narrator>「ダミーメッセージ」=
<narrator>「ここは　<blue>木ノ葉びょういん<black>だ！」=<narrator>This is the <blue>Hidden Leaf Hospital<black>!
「“木ノ葉くずし”で　きずついたひとたちが|なかにはいるぞ」=It's currently overloaded with those who were hurt by the invasion.
<narrator>「ここは　<blue>木ノ葉びょういん<black>だ！」=<narrator>This is the <blue>Hidden Leaf Hospital<black>!
<narrator>「ここは　<blue>木ノ葉びょういん<black>だ！」=<narrator>This is the <blue>Hidden Leaf Hospital<black>!
「せんじつ　いりょうのエキスパート！|綱手さまが　かいしんに　こられたらしい！！」=It now has THE medical expert, Lady Tsunade, on board!!
「ここに　ずーっといたのに　きづかなかったなんて|ああ・・・　綱手さまに　おあいしたかった・・・」=For as long as I can remember I've always wanted to meet her...
<narrator>「ここは　<blue>木ノ葉びょういん<black>だ！」=<narrator>This is the <blue>Hidden Leaf Hospital<black>!
「綱手さまが　もどられてからは|じゅうびょうにんは　いなくなった・・・」=Ever since Lady Tsunade got here, the number of in-patients has decreased...
「けがにんや　びょうにんがすくないことは|いいことだな！！」=A hospital with no patients is a good thing!
<narrator>「ぼく　からだが　わるくて|にゅういんしてるんだ」=<narrator>My body isn't strong, so I have to stay at the hospital.
「きょうは　てんきがいいから|ちょっと　おさんぽしてるの！」=The weather's nice today though, so I'm gonna go for a walk!
<narrator>「いりょうエキスパートの　綱手さまが|もどられた・・・ってきいたんだ」=<narrator>I heard Lady Tsunade has finally arrived!
「ぼくのびょうきも　なおしてくれるかなぁ」=I hope she can treat me.
<narrator>「このまえ　綱手さまに|ぼくのびょうきを　みてもらったんだ」=<narrator>The other day, Lady Tsunade gave me a check up.
「チャクラを　からだにあてると|ふしぎにいたみが　きえたんだ・・・」=With her chakra she managed to fix me up like it's nothing!
「もうすこししたら　たいいんできるって」=I should be discharged soon enough.
<narrator>「ボク　たいいんできたんだよ！|これからは　いっぱい　あそべるね！」=<narrator>Hooray, I've been discharged!|Now I play out all day!
<narrator>「わたしも　いつかは　忍者学校（アカデミー）に|かようんだ！」=<narrator>I wanna enroll in the Ninja Academy!
「でも　いまは　おやすみちゅうなんだって！|なんでかなぁ・・・」=But I heard it's closed now...
<narrator>「忍者学校（アカデミー）は|まだ　おやすみなんだって！」=<narrator>The Ninja Academy's still closed.
「でも　<blue>“くみてどうじょう”<black>　はおやすみしないで|やってるんだって！」=But I heard the <blue>Kumite Dojo<black> is still up and running.
<narrator>「はやく　忍者学校（アカデミー）|さいかいしないかなぁ」=<narrator>I can't wait for the Academy to open again.
<narrator>「やっと　忍者学校（アカデミー）が|さいかいするんだって！」=<narrator>The Academy's finally accepting new students again!
「はやく　にゅうがくするんだ！」=I'm gonna enroll as soon as possible!
<narrator>「せんとうでつかう　術（じゅつ）によっては|<blue>“印入力（いんにゅうりょく）”<black>が　あるんだけど」=<narrator>Have you noticed that some jutsu used in battle have special <blue>command inputs<black>?
「<blue>“チャクラねり”<black>と　<blue>“チャクラあわせ”<black>の|<blue>２しゅるい<black>あるから　ようちゅういね！」=There are two types, <blue>Chakra Creation<black> and <blue>Chakra Mixing<black>.
「チャクラねりと　チャクラあわせについて|ききたい？？」=Do you want to hear more about them?
<narrator><instant>　ききたい|　ききたくない<0B>=<narrator><instant>　Sure thing!|　Maybe later...<0B>
「<blue>チャクラねり<black>は　チャクラをねるほど|術のいりょくが　アップするわ！　・・・ただし！」=With <blue>Chakra Creation<black>, the more chakra you build, the stronger the jutsu will be!
「術のいりょくが　アップするほど　しょうひチャクラも|ふえるから　ちゅういがひつようよ！」=BUT, with great power comes great responsibility...|Stronger jutsu means more chakra consumed.
「・・・それから　チャクラがたりないと|チャクラをねることが　できなくなるわよ！」=So if you run out of chakra, you can't strengthen the jutsu any further!
「つぎに<blue>チャクラあわせ<black>は　チャクラをコントロールして|ピッタリ！に　チャクラを　あわすものよ！」=Next, <blue>Chakra Mixing<black> requires you to keep your chakra within a certain range.
「ピッタリあわせたり　すこしズレたくらいなら|術のいりょくが　アップするわよ！」=As long as you're close enough to that range, your jutsu will be strengthened!
<narrator>「そう・・・　印入力について　ききたくなったら|いつでも　はなしかけてね！」=<narrator>Oh, I guess you already know about them.|If you need a reminder I'm always here!
<narrator>「この<blue>“忍”<black>とかかれた　もんをくぐると|<blue>“忍者学校（アカデミー）”<black>だ！！」=<narrator>If you head through this door, you'll find yourself in the <blue>Ninja Academy<black>!
<narrator>「この子・・・　“木ノ葉くずし”いらい|こわがって　そとに　でたがらないの・・・」=<narrator>Ever since the Sand's invasion, my son has been afraid to go out.
<narrator>「綱手さまがもどられて　五代目（ごだいめ）|火影（ほかげ）に　しゅうにんされてから」=<narrator>Lady Tsunade has finally returned to the village as the Fifth Hokage.
「この子・・・　だいぶ　そとに|でてくれるようになったの」=And my son has started to go out more too!
<narrator>「綱手さまを　おみかけしてから|なんか　すごくげんきになったみたい・・・」=<narrator>Lady Tsunade is looking a lot livelier than she used to.
「いったい　なにがあったのかしら？」=I wonder what happened to her?
<narrator>「この子ったら　忍者学校（アカデミー）に|いきたいって　いいだしたのよ！」=<narrator>My son said he wants to go to the Academy, isn't that great!?
<narrator>「おそとでるの　こわい・・・」=<narrator>It's so scary outside...
<narrator>「綱手さまって　つよい忍なんだよね・・・|なら　おそとでても　だいじょうぶかなぁ・・・」=<narrator>Lady Tsunade is amazing... Maybe the world outside isn't as bad as I thought.
<narrator>「このまえ　綱手さまが　びょうきのひとを|なおしているところを　みたんだ・・・」=<narrator>I got to see Lady Tsunade's healing in action.
「ぼくも　ああゆうふうに　なりたいな・・・」=I hope I can be like her someday...
<narrator>「ぼく　忍者学校（アカデミー）に　いきたいんだ！」=<narrator>I wanna go to the Ninja Academy someday!
「そして　いっぱいべんきょうして　綱手さまみたいな|りっぱな　忍になりたいんだ！」=I'm gonna study so hard I'll become just like Lady Tsunade!
<narrator>「ここは　<blue>火影（ほかげ）さまのいえ<black>だ！」=<narrator>This is the <blue>Hokage's Mansion<black>!
<narrator>「ここから　うえにいったあかいたてものは|<blue>火影（ほかげ）さまのいえ<black>だ！」=<narrator>That red building over there is the <blue>Hokage’s Mansion<black>.
「・・・といっても<blue>三代目（さんだいめ）<black>がいない　いま|だれも　なかには　いないんだがな・・・」=...It's a shame the <blue>Third Hokage <black>passed away...and now no one lives there.
<narrator>「ここから　うえにいったあかいたてものは|<blue>火影（ほかげ）さまのいえ<black>だ！」=<narrator>That red building over there is the <blue>Hokage’s Mansion<black>.
