<narrator>「ダミーメッセージ」=
<narrator>「むすめと　木ノ葉隠れの里（このはがくれのさと）へ|むかうとちゅうなんです」=<narrator>My daughter and I are on our way to the Village Hidden in the Leaves.
<narrator>「おとうさんに　そこの　じはんきで|ジュースかってもらっちゃった！」=<narrator>Dad got us some juice from that vending machine!
<narrator>「このみちを　まっすぐ　東（ひがし）へいけば|<blue>たんざくがい<black>に　たどりつくはずだぞ！」=<narrator>If you keep going east from here, you'll reach <blue>Tanzaku Town<black>!
<narrator>「このでんちゅうは|どこまで　つづいているのかな・・・」=<narrator>I wonder how far that telephone pole reaches...
「たんざくがいまで　つづいているのかな・・・」=Maybe it goes all the way to Tanzaku Town...?
<narrator>「いろいろしゅるいは　あるんだが|オレは　おしるこを　かおうとおもっている」=<narrator>I'm thinking of getting me some chestnuts.
<narrator>「ふう・・・　たんざくがいは　まだなのかい・・・|あしが　ぼうのようだよ・・・」=<narrator>Ugh... I'm still a long way from Tanzaku Town, and my feet are killing me!
<narrator>「けっこう　ひとどおりが　おおいな・・・」=<narrator>There's a suprising amount of people passing through...
<narrator>「木ノ葉隠れの里へいって|しょうばいをしようと　おもっているんだよ」=<narrator>I'm on way to do business with the Leaf.
<narrator>「東（ひがし）にいったら　<blue>短冊街（たんざくがい）<black>|北（きた）にいったら　<blue>へいげん<black>」=<narrator>If you want <blue>Tanzaku Town<black>, then head east. If you want the Leaf, go west.
「西（にし）にいったら　<blue>木ノ葉隠れの里<black>や|<blue>木ノ葉きんざん<black>のほうへ　ぬけることができるわよ！」=The western path branches to the Hidden Leaf Village as well as the mine.
<narrator>「みちにまよったら|<blue>たてふだ<black>を　しらべてみるといいわよ」=<narrator>Whenever you get lost, just inspect the <blue>signposts<black>!
<narrator>「むこうぎしが　みえてるのに　わたれないんだよ|<blue>“とくしゅな術”<black>でもおぼえないと　ムリなのかもな」=<narrator>You're gonna need a special sort of Jutsu to get over there.
<narrator><instant>東（ひがし）・・・　<blue>短冊街（たんざくがい）<black>|北（きた）・・・・　<blue>へいげん<black>=<narrator><instant>East: <blue>Tanzaku Town<black>|North: <blue>Outskirts<black>
<narrator><instant>西（にし）・・・・　<blue>木ノ葉隠れの里<black>、<blue>木ノ葉きんざん<black>=<narrator><instant>West: <blue>The Village Hidden in the Leaves|The Hidden Leaf Mine<black>
<narrator>「木ノ葉隠れの里へいって　しょうばいをしようと|おもっているんだよ！　みていくかい？」=<narrator>I'm on my way to do business with the Leaf...
