<narrator>「ダミーメッセージ」=
<narrator>「短冊街（たんざいくがい）の　かくれためいてん・・・|<blue>“よろずや”<black>だ！　なにがほしいんだ？」=<narrator>This is Tanzaku's Town hidden gem... <blue>“Yorozuya”<black>! What can I do for ya?
<narrator>「ここは　短冊街（たんざくがい）よ<red>♪<black>」=<narrator>This is Tanzaku Town<red>♪<black>
<narrator><130c>綱手のしゃしんを　みせますか？=<narrator>Show <130c>Tsunade's Photo?
<narrator><instant>　はい|　いいえ<0B>=<narrator><instant>　Yes|　No<0B>
<narrator>「綱手さまの　そうさく任務・・・？|わるいな　オレはみかけてないぜ！」=<narrator>You’re on a mission to find Lady Tsunade? Sorry, I haven’t seen her.
<narrator>「オレは任務でここにきたんだが　おなじチームのやつが|いなくなっちまったんだ・・・　どこへいったんだろう」=<narrator>I came here on a mission, but my teammate has gone off somewhere...
<narrator>「五代目火影に　綱手さまが|しゅうにんされたらしいな・・・」=<narrator>I heard that Lady Tsunade has been inaugurated as the Fifth Hokage...
<narrator>「しゅうにんしきに　しゅっせきしたかったんだが|おなじチームのやつが　まだみつからなくてな」=<narrator>I wanted to attend the ceremony, but I still can’t find my teammate.
<narrator>「アイツ・・・　どこいったんだろう」=<narrator>Where on earth did he go...?
<narrator>「おなじチームのやつが　まだみつからないんだよ|・・・どこへ　いったんだろう」=<narrator>I can’t find my teammate anywhere...|Where on earth could he be?
<narrator>「おなじチームのやつが　まだみつからないんだよ|・・・どこへ　いったんだろう」=<narrator>I can’t find my teammate anywhere...|Where on earth could he be?
<narrator>「そろそろ　里へかえりたいな・・・」=<narrator>Maybe I should just head back to the village...
<narrator>「べっぴんさんだな・・・　こんな　べっぴんさんなら|いちどみたら　わすれないんだけどな・・・」=<narrator>What a beauty... If I’d seen a beauty like this, I’d have remembered her for sure.
<narrator>「うわさできいたんだが　短冊街（たんざくがい）には|“よろずや”っていうのが　あるらしい・・・」=<narrator>I heard a rumor that there’s a place called Yorozuya here in Tanzaku Town.
「なんでも　ぶき・ぼうぐ・どうぐをうっているうえに|ここでしか　かえないものもあるらしい・・・」=As well as selling weapons, armor and items, apparently there’s stuff that you can’t get anywhere else.
「いちど　いってみてェもんだな」=It would be worth checking out.
<narrator>「うわさできいたんだが　短冊街（たんざくがい）には|“よろずや”っていうのが　あるらしい・・・」=<narrator>I heard a rumor that there’s a place called Yorozuya here in Tanzaku Town.
「しかも　じきによって　うっているものが|ちがうらしい・・・」=Apparently the lineup of items on sale changes as time moves on...
「マメに　のぞいてみるほうが　いいかもな！」=You’ve got to keep a close eye on these things, you know!
<narrator>「うわさに　きいたんだが　“三忍”のぶきシリーズ|・・・ってのがあるらしい」=<narrator>I heard a rumor that there’s a “Legendary Sannin” Weapon Series...
「なんでも　かたな・せんす・手裏剣・クナイ|千本・つめ・くさりがま　の７しゅるいあるみたいだ」=It includes a sword, fan, shuriken, kunai, senbon, claw and a chained sickle.
「あつめてみる　かちは　ありそうだな・・・」=I want them all...
<narrator>「“三忍”のぶきシリーズ　があるってのは|まえにも　はなしたんだが」=<narrator>That “Legendary Sannin” Weapon Series is old news.
「ほかに　“火影”のぶきシリーズってのが|あるらしいんだ！」=Now it’s all about the “Hokage” Series!
「なんでも　かたな・手裏剣・クナイ・千本|かたびら・きゃはん・・・とあるらしい」=There’s a sword, shuriken, kunai, senbon, armor, pants...
「どこにあるかは　わかんねェが|あつめてみる　かちはあるだろう・・・」=I don’t know who has them, but I need them!
<narrator>「そんな　おねーちゃん　みたことないのぉ・・・」=<narrator>I’ve never seen that blondie before.
<narrator>「このまちは　ギャルがいっぱいおって|ええのォ・・・　ウハウハじゃわい！」=<narrator>There are a lot of ladies in this town, you know. Nyehehe!
<narrator>「このまえ　イチャイチャパラダイスの　げんさくしゃ|自来也さんが　短冊街に　きていたらしい・・・」=<narrator>I heard that Jiraiya, the creator of Make-Out Paradise, was in town earlier.
「ああ・・・　サインを　もらいたかった|あのひとは　おとこのカガミじゃ・・・」=<narrator>Aaah... I really wanted to get his autograph. He’s a real role model to me!
<narrator>「イチャイチャパラダイスは　ええのぉ・・・」=<narrator>Make-Out Paradise is a work of art...
<narrator>「イチャイチャパラダイスは　ええのぉ・・・|あんな　れんあいが　してみたいのぉ・・・」=<narrator>Make-Out Paradise is a work of art...|I wish I could have a romance like that...
<narrator>「このしゃしんのひとを　みたことあるか？って？？|う～ん・・・　みたことないわぁ・・・」=<narrator>Have I seen the person in this photograph? Hm... I can’t say I have.
<narrator>「短冊街には　“よろずや”っていう　いろんなものを|うってるおみせが　あるらしいんだけど～・・・」=<narrator>It seems there's a shop called Yorozuya here in Tanzaku Town that sells all sorts.
「わたしも　まだ　みつけたことないのよね・・・」=I’ve never seen it myself, though...
<narrator>「短冊街には　“よろずや”っていう　いろんなものを|うってるおみせが　あるらしいんだけど～・・・」=<narrator>It seems there's a shop called Yorozuya here in Tanzaku Town that sells all sorts.
「わたしも　まだ　みつけたことないのよね・・・|あなたは　もう　みつけられた？？」=I’ve not seen it anywhere though...|Have you stumbled on it yet?
<narrator>「“九尾”ってなまえのつく　ぶきとぼうぐが|あるらしいわよ・・・」=<narrator>There's supposedly some weapon and armor named after the Nine-Tailed Fox.
「きっと　こうかなんでしょうね・・・」=<narrator>I bet they’re super effective...
<narrator>「“九尾”ってなまえのつく　ぶきとぼうぐが|あるらしいわよ・・・」=<narrator>There's supposedly some weapon and armor named after the Nine-Tailed Fox.
「それと　ついをなして　“呪印”ってなまえのつく|ぼうぐも　あるらしいわ・・・」=And there’s also some Cursed Mark armor, or so I’ve heard.
<narrator>「このしゃしんのねーちゃん？？|そこの“ぱちんこ”で　みかけたことあるけどな・・・」=<narrator>The lady from this picture? I think I’ve seen her at the Pachinko place...
「いまは　もう　いねぇのかな・・・」=Though, I guess she won’t be there anymore...
<narrator>「そこの　“ぱちんこ”で　ボロまけしてた|ねーちゃんを　みたことあるぜ！」=<narrator>I saw that lady at the Pachinko place losing all her money!
<narrator>「“ぱちんこ”で　ボロまけしてた　ねーちゃん・・・|あのひとが　“でんせつのカモ”だったとはな・・・」=<narrator>I had no idea the lady who lost her money at Pachinko is “The Legendary Sucker”...
<narrator>「さいきん　“でんせつのカモ”を|みかけねーな・・・」=<narrator>I’ve not seen the Legendary Sucker lady recently...
<narrator>「さいきん　“でんせつのカモ”を|みかけねーな・・・」=<narrator>I’ve not seen the Legendary Sucker lady recently...
「あの　まけっぷりは　みごとだったのにな・・・|もういちど　みてみたい！」=She was so funny when she lost... I want to watch her again!
<narrator>「このしゃしんのひと？？　う～ん・・・|みたことないわ　ごめんね<red>♪<black>　ちからになれなくて」=<narrator>Have I seen the person in this photograph? Hmm, I have no clue! Sorry<red>♪<black>
<narrator>「いっかくせんきん・・・って|ゆめのまた　ゆめよね～・・・」=<narrator>Getting rich quick... It's pie in the sky~
<narrator>「とみくじ・・・　なかなか　あたらないわ・・・」=<narrator>I can’t get no luck at the lottery...
<narrator>「とみくじ・・・　なかなか　あたらないわ・・・」=<narrator>I can’t get no luck at the lottery...
<narrator>「ダミーＣ」=
<narrator>「ダミーＤ」=
<narrator>「このしゃしんのひと？？|みたことあるような・・・　ないような・・・」=<narrator>The person in this photo? Maybe I’ve seen her... Maybe I haven’t...
<narrator>「かけごとは　きらいよ！　・・・でも|とみくじだけは　やめられないのよね」=<narrator>I hate gambling!|...But I still keep trying the lottery.
<narrator>「ダミーＢ」=
<narrator>「ダミーＣ」=
<narrator>「ダミーＤ」=
<narrator>「綱手さまのしゃしん・・・？？|いや・・・　このへんでは　おみかけしてないが・・・」=<narrator>Lady Tsunade’s photo...?|No... I haven’t seen her around...
<narrator>「とみくじに　おかねを　つぎこんでしまった・・・|どうしよう・・・　おかねがもうないよ」=<narrator>I wasted all my money on lottery tickets... What should I do now!?
<narrator>「任務で　短冊街に　きたというのに・・・|このままじゃ　チームのやつに　あわせるかおがないよ」=<narrator>I came to Tanzaku Town on a mission, but I can’t meet up with my teammate like this.
<narrator>「さいごの　とみくじ１まい・・・・|これに　すべてをかける！！」=<narrator>I have one lottery ticket left... Everything rests on this!!
<narrator>「やったぁ！！　とみくじが　あたった！！|これで　みんなのまえに　かえれるよ！」=<narrator>Woo hoo! I hit the jackpot!|Now I can face everyone again!
<narrator>「しゃしんのひとぉ？　・・・そんなことより|おいしい　あまぐりはいかが？？」=<narrator>The woman in the photo...?||Why don’t you forget about that and try some delicious sweet chestnuts?
<narrator>「短冊街に　あまぐりあまが　オープンしましたー！！|おひとついかがですかーー！！」=<narrator>Our Sweet Chestnut shop in Tanzaku Town is now open! Would you like some?
<narrator>「おいしい　あまぐりは　いかがですか？？」=<narrator>Would you like some delicious sweet chestnuts?
<narrator>「どうしよう・・・　このままじゃ|いえにかえれないよ・・・」=<narrator>What should I do... I can’t go home like this...
「しゃしんのひと？　そのひとならこのさきの|短冊じょうのほうへ　いったのをみたよ」=
<narrator>「どうしよう・・・　このままじゃ|いえにかえれないよ・・・」=
<narrator>「はぁ・・・　ほんとうに　どうしよう|いえにかえれないよ・・・」=
<narrator>「とおくから　はるばる　ぶんかいさんの　短冊じょうを|みにきたっていうのに・・・」=
「どうして　こんなに　こなごななのかしら・・・|へいしか　のこってないなんて・・・」=
<narrator>「とおくから　はるばる　ぶんかいさんの　短冊じょうを|みにきたっていうのに・・・」=
「どうして　こんなに　こなごななのかしら・・・|へいしか　のこってないなんて・・・」=
「まちのひとに　きいてみたら　おおきなへびが|あらわれて　おしろを　つぶしてしまったんだって」=
<narrator>「とおくから　はるばる　ぶんかいさんの　短冊じょうを|みにきたっていうのに・・・」=
「どうして　こんなに　こなごななのかしら・・・|へいしか　のこってになんて・・・」=
「まちのひとに　きいてみたら　おおきなへびが|あらわれて　おしろを　つぶしてしまったんだって」=
「いつになったら　もとどおりに　なるのかしら・・・」=
<tsunade>「・・・・・・・・・・」=
<jiraiya>「ハァ～・・・　なにやら　まえと|おなじような　てんかいだのォ・・・」=
<shizune>「あひィーー！！」=
<tonton>「ブヒィー」=
<jiraiya>「修業がんばっとるかのォ？　<w21>ん？　<w21>わし！？|・・・わしは　しゅざいちゅうじゃ！」=
<narrator>「このまえ　とみくじで　エビスの入よくけん|っていうのが　あたったけど　いらないわ・・・」=
<narrator>「５００００両で　かわない？」=
<narrator><instant>　かわない|　かう<0B>=
<narrator>「そう・・・　わたしは　いつでも　ここにいるから|かいたくなったら　はなしかけてね<red>♪<black>」=
<narrator>「でも～・・・　おかねが　たらないみたいね～<red>♪<black>|おかねがたまったら　はなしかけて<red>♪♪<black>」=
<narrator><130e>エビスの入よくけんを　てにいれた！<sound04>=<narrator>Obtained <130e>Ebisu's Bath Ticket!<sound04>
<narrator>「たいせつに　つかってね～<red>♪♪<black>」=
