<narrator>「ダミーメッセージ」=<narrator>DUMMY MESSAGE
<anko>「ここは　<blue>つうしん<black>で　あそぶことが|できるわよ！　どうすんの！？」=<anko>Here you can play <blue>Wireless Communication Battles <black>with other people! What do you wanna do?
<narrator>「つうしんで　あそびたかったら|<blue>アンコ<black>さんに　はなしかけてくれ！」=<narrator>If you wanna go on a Wireless Battle, you gotta talk to <blue>Anko<black>.
「・・・それから　つうしんたいせんは|<blue>せんぱつメンバー<black>しか　さんかできないから」=...Keep in mind that your <blue>reserve party <black>can't go into battle with you.
「メンバーのせっていは　もちろんのこと　<blue>じんけい<black>や|<blue>そうび<black>も　ととのえておく　ひつようがあるぞ！」=So make sure you give your active party a good setup of equipment before you go in there.
<narrator>「つうしんたいせんでは　しようできない術（じゅつ）|・・・<blue>きん術<black>が　いくつかある」=<narrator>There are also a couple of <blue>forbidden jutsu<black>, which you won't be able to use.
「なかまを　こうどうふのうから　ふっかつさせる|<blue>“みょうしゅふっかつ”<black>は　つかえなくなるぞ！」=That includes any jutsu which <blue>brings back your fallen comrades <black> into battle.
<narrator>「つうしんたいせんでは　<blue>ハンデせってい<black>ができるわよ|・・・とくに<blue>“レベルこてい”<black>をえらぶと」=<narrator>Communication Battles allow you to <blue>set the level at your own accord<black>.
「おともだちとの　レベルのさがあっても|おなじじょうけんで　たたかえるようになるわ！」=So that you and your friend can fight on equal grounds!
「・・・まちがいなく　アツくなるわね！」=...There's no mistaking it... THESE FIGHTS ARE GONNA ROCK!
<narrator>へいの　うえのほうを　みますか？=<narrator>Do you see that thing over there?
<narrator><instant>　はい|　いいえ<0B>=<narrator><instant> For sure| See what?<0B>
<narrator>うえのほうに　かんらんせきのようなものが|あるみたいだ・・・=<narrator>I think that's real olivine right over here...!
<anko>「つうしんでは　<blue>“つうしんたいせん”<black>と|<blue>“アイテムこうかん”<black>の　２つができるわ！」=<anko>You can do <blue>battles <black>as well as <blue>trade items<black>.
<anko>「まずは　つうしんたいせんね！　これは|<blue>スリーマンセルの　チームせん<black>のことよ」=<anko>Battles basically are <blue>two three man squads duking it out against eachother<black>.
<anko>「おともだちのチームと　むせんで|たいせんできるわ！」=<anko>Those two teams will be your team against a friend's team.
<anko>「ただし！　せんとうちゅうに　メンバーを|いれかえることは　できないわよ」=<anko>Once you select your team and enter battle, you can't exactly go back on the willy nilly.
<anko>「そして　<blue>“にげる”<black>を　せんたくすることは|できないわ！」=<anko>So don't even think you can <blue>flee the battle<black>.
<anko>「ま！　てきをまえにして　にげるな！|<w32>・・・って　ところかしら！」=<anko>It's not like your opponent will...<w32>you know, give you a chance anyways!
<anko>「アイテムこうかんは　いちどゲームを|クリアすると　できるようになるわ！」=<anko>Item Trading's sadly gotta wait till you beat the game
<anko>「じぶんのもってるアイテムと　おともだちの|もっているアイテムを　こうかんできるわ」=<anko>The way it works is pretty simple, you trade any item from your inventory with your friend
<anko>「といっても　アイテムのなかには|こうかんできないものも　あるから」=<anko>It goes without saying, but there's one type of item you can't trade
<anko>「ちゅういがひつようね！　・・・でも」=<anko>You betcha, it's key items...wouldn't wanna break the game now wouldja?
<anko>「こうかんしないと　てにいれられない|ものもあるから・・・」=<anko>But if it's any consolation...there are things you can only get by trading....
<anko>「クリアをめざして　がんばってねー<red>♪<black>」=<anko>Well then, come back to trade when you beat the game<red>♪<black>
<anko>「・・・せつめいは　こんなところだけど|りかいできた？」=<anko>...Do you want me to repeat that or what?
<narrator><instant>　まだ　よくわからない・・・|　りかいできた<0B>=<narrator><instant>Yes please...| You made perfect sense
<anko>「・・・そう|じゃ　もういちど　せつめいするわ！」=<anko>....Well...listen up real good then!
<anko>「りかいできたようね・・・|じゃあ・・・」=<anko>Well in that case...good for you
<narrator>「ここは　<blue>“とうぎじょう”<black>だ！|<blue>つうしんであそぶ<black>ことが　できるぞ！！」=<narrator>This place is called the <blue>stadium<black>! You can engage in <blue>wireless communications <black>here!
<narrator>「ボク・・・　じつは　アンコさんの入よくけんを|もってるんだ・・・」=<narrator>I actually happen to have Anko's bath ticket with me...
<narrator>「８００００両で　かわないかい？」=<narrator>I think 80000 Ryo can push me well enough to part with it...
<narrator><instant>　かわない|　かう<0B>=<narrator><instant> Keep it| Fork it over, buddy!<0B>
<narrator>「そうか・・・　わかったよ！　ボクは　いつでも|ここにいるから　ほしくなったらはなしかけてくれ！」=<narrator>Well....I guess it still needs me to take care of it...I'll be around if you change your mind!
<narrator>「う～ん・・・　おかねが　たらないみたいだよ|おかねがたまったら　はなしかけてくれ！」=<narrator>Your push isn't that big, no deal. 
<narrator><130e>アンコの入よくけんを　てにいれた！<sound04>=<narrator>Obtained <130e>Anko's Bath Ticket!<sound04>
<narrator>「たいせつに　つかってくれ！」=<narrator>Take good care of it!
<narrator>「つうしんたいせんでの　<blue>どうぐ<black>は　こちらでよういした|<blue>“つうしんアイテムパック”<black>を　しようしてもらうぞ！」=<narrator>Your item set will be limited to the <blue>Wireless Battle Packs <black>that we have here!
<narrator>「つまり！　いままでに　あつめた　どうぐを|すべてもちこむことは　できないんだ！」=<narrator>Which means that what you have on you cannot be used in battle!
<narrator>「また！　これは　つうしんたいせんせんようの|つうしんアイテムパックだから・・・」=<narrator>Lemme explain, you're only allowed to use the item packs that we give you because...
<narrator>「つかっても　キミのアイテムから|さしひかれたりしないし・・・」=<narrator>That way you wont have to use up your items for naught!
<narrator>「ぎゃくに　あまらせても　きみのアイテムに|たされることも　ないんだ！」=<narrator>Your hard earned items won't go to waste, isn't that great!?
<narrator>「つうしんたいせんでは　こうへいをきすために|キミも　きょうりょくしてくれ！」=<narrator>Remember, you fight for fun, not for glory!
<narrator>「<blue>アイテムこうかん<black>は　いちどゲームを|クリアしないと　できないから　ちゅういしてね<red>♪<black>」=<narrator> You cannot <blue>trade items <black>until you beat the game, so make sure you come back when you do<red>♪<black>
<narrator>「忍しきふだのなかには　アイテムこうかんできる|ものも　あるらしいわ！」=<narrator>You can even trade character cards to your friends so that they can use them in battle and spare them the hassle!
<narrator>「もう　ひつようのなくなったものは　おともだちと|こうかんしてみるのも　いいかもね<red>♪<black>」=<narrator>You can give a friend the items you don't need anymore
<narrator>「ただし！　くみてなどでてにいれた　忍しきふだは|こうかんできないから　ちゅういがひつようよ<red>♪<black>」=<narrator>Except the ones you obtain from the Kumite Dojo...they have to work hard for those characters
