<narrator>「ダミーメッセージ」=
<narrator>「いらっしゃいませ|ここは　どうぐやです」=<narrator>Welcome! This is the item shop.
<narrator>ひきだしのなかに|<130b>兵糧丸（ひょうろうがん）を　みつけた！=<narrator>Found <130b>Food Pills inside!
<narrator><130b>兵糧丸（ひょうろうがん）を　てにいれた！<sound04>=<narrator>Obtained <130b>Food Pills!<sound04>
<narrator>いろいろな　くすりが　はいっているみたいだ=<narrator>Various medicines are inside.
<narrator>「かいふくアイテムは　きらさないように|もちあるいて　おいたほうがいいぞ」=<narrator>You should try to carry as many healing items as you can.
<narrator>「とくに！　<blue>兵糧丸（ひょうろうがん）<black>シリーズは|<blue>スタミナを　かいふく<black>してくれ・・・」=<narrator>Especially the <blue>Food Pill <black>variety, they can restore your stamina and then some!
<narrator>「<blue>チャクラ丸（がん）<black>シリーズは|<blue>チャクラを　かいふく<black>してくれるぞ！」=<narrator>There's also the kind of pills that restore your <blue>chakra <black>as well.
<narrator>「<blue>きばく札（ふだ）<black>という　どうぐがあるんだが・・・|これは　ちょっと　とくしゅなどうぐなんだ！」=<narrator>Have you tried using an <blue>explosive tag<black>? They're a bit different to other items.
「せんとうのときに　つかうのだが　ほかのどうぐとは|ちがって　すぐにこうかは　あらわれない」=When you use one in battle, you won't see the effect immediately.
「<blue>ちけい<black>に　きばく札を　セットし|てきが　セットしたばしょにいどうすると」=First, you need to <blue>set it<black> somewhere in the enemy's field,
「きばく札は　はつどうし|ばくはつをおこして　てきにダメージをあたえるぞ」=and then if an enemy moves to the spot you placed the tag at,|it'll explode dealing a decent chunk of damage!
「ただし！　つよいてきには|きづかれてしまうこともあるから　ようちゅういだ！」=It won't be strong enough to kill powerful enemies though, so beware!
