<narrator>「ダミーメッセージ」=
<ino>「いらっしゃ～い<red>♪<black>」=<ino>Welcome<red>♪<black>
<narrator>「う～ん・・・　どのお花（はな）にしようか|まよっちゃうわ！」=<narrator>Hmmm...what flower should I get? I can't seem to make a choice!
<narrator><instant>“フジバカマ”　ありマス|ごいりようのかたは　てんいんまで！=“Boneset” in stock! Please inquire for details!
<narrator>キレイな花（はな）が　たくさんある！=<narrator>This place is full of such lovely flowers!
<narrator>キレイな花（はな）で　いっぱいだ！=<narrator>There are lots of lovely flowers!
<narrator>７がつ　２３にちに　<red>♪<black>がつけられている・・・|だれかの　たんじょうび？？=<narrator>The arrangement is meant to be delivered on July 23rd... I wonder if it's someone's birthday?
<ino>「サスケくんじゃな～い！|サービスしちゃうわよん<red>♪♪<black>」=<ino>Well if it isn't Sasuke! I'll give you one heck of a discount<red>♪♪<black>
<ino>「<130c>しのびばな・ハナシノブ　・・・って|いうのをさがしてるんだけど～　もってない？」=<ino>I'm looking for the <130c>Ninja Flower: Jacob's Ladder... Do you have it?
<narrator><130c>しのびばな・ハナシノブを|いのに　あげますか？=<narrator>Give Ino the <130c>Ninja Flower: Jacob's Ladder?
<narrator><instant>　あげない|　あげる<0B>=<narrator><instant>　Never heard of it.|　Let the messy queen have it.<0B>
<ino>「ふ～ん・・・|もし　みかけたら　おしえてね～」=<ino>Aww man... If you do find it let me know.
<ino>「やったぁ！　ずっと　これをさがしてたのよ～|かわりといっちゃなんだけど　これあげるわ！」=<ino>Thanks a million! I've been searching for this a long time! Please take this!
<narrator><130e>いのの忍しきふだを　てにいれた！<sound04>=<narrator>Obtained <130e>Ino's Ninja Tag!<sound04>
<ino>「どうぐとして　つかってみると～・・・|きっと　いいことおこるわよ～<red>♪<black>」=<ino>Open your inventory and use it if you're ever bored and want someone to start some mess<red>♪<black>
<ino>「あ～ら・・・　サクラじゃな～い|アンタがくるなんて　めずらしいわねー」=<ino>Well if it isn't Sakura. It's strange to see your face around here.
<sakura>「べっ・・・　べつに　いいじゃない！」=<sakura>That's...none of your business!
<ino>「シカマル！　アンタ　任務しっかり|やってんの～？」=<ino>Hey Shikamaru! Are you still out on that mission or what?
<shikamaru>（・・・ったく　おんなってやつは|ガミガミうるせーな・・・）=<shikamaru>(Women are such a drag....)
<ino>「チョウジ！　アンタ　たべてばっかいないで|すこしは　任務がんばんなさいよねー」=<ino>Hey Choji! Nothing in here is on the menu, so focus on your missions alright!?
