<narrator>「ダミーメッセージ」=
<narrator>ガイ先生ェ～！！！　<w21>全身スーツ|ボクのと　まちがえてますよォ！！　　　<w21>ロック・リー=<narrator>"Guy Sensei! I ask to wear the same Youth Suit as you!!"-Rock Lee
<narrator>さいたまけん|さとう　えりな=<narrator>Saitama Prefecture's Erina Satou
<narrator>ねちこく　<w21>ねちこく|油ギッシュに　<w21>エロ忍道！！　　　<w21>ＢＹエロ仙人=<narrator>"Ain't that area so stubborn now" <w21>An Erotic Guide by Pervy Sage
<narrator>おおさかふ|たまたに　かづお=Osaka's Kazuo Tamatani
<narrator>（カカシちこくりゆう）=<narrator>(Kakashi's Art of Tardiness)
いや～　<w21>ウッキーくんの　元気がなくてさぁ～|ずっと　はげましてたのよ～=Ukki's been really struggling to stay healthy these days...at this rate he's gonna become bald!
<narrator>しまねけん|わだ　まゆみ=<narrator>Shimane Prefecture's Mayumi Wada
<narrator>ナルト～！！　<w21>お金がたまってるんだったら|ラーメン代　かえしてくれないか～？？　　　<w21>ＢＹイルカ=<narrator>"Hey Naruto, if you ever find yourself short on money, let me know and I'll buy you some Ramen!"~Iruka
<narrator>とうきょうと|いなば　さやか=<narrator>Tokyo City's Yasaka Inaba
<narrator>ゲジマユの　<w21>愛する天使は　<w21>春の花<red>♪<black>=<narrator>Bushy Brows' angel is none other than Sakura Haruno<red>♪<black>
<narrator>とうきょうと|すぎた　まきこ=<narrator>Tokyo City's Makiko Sugita
<narrator>夢をもつ　<w21>それが木ノ葉の　<w21>じまんです=<narrator>Cling to your dreams. For that is the Will of Fire.
<narrator>ぎふけん|のだ　つかさ=<narrator>Gifu Prefecture's Tsukasa Noda
<narrator>螺旋丸　<w21>ナルトのように　<w21>あばれるゼ！！=<narrator>Narutp's gonna beat Orochimaru to a pulp!!
<narrator>とくしまけん|おばな　こうき=Tokushima Prefecture's Kouki Obana
<narrator>忍道を　<w21>つらぬきあゆめ　<w21>忍たち=<narrator>Ninjutsu is the fruit of the labor of all shinobi
<narrator>こうちけん|いじり　ありす=<narrator>Kouchi Prefecture's Arisu Ijiri
<hinata>「に・・・　<w21>任務がんばってね・・・」=<hinata>G-<w21>Good luck on your mission...
<hinata><140079>「に・・・　<w21>任務がんばって・・・　ね！」=<hinata><140079>Good Luck on your mission!
<hinata>「キ・・・　<w21>キバくん！|に・・・　<w21>任務がんばってね・・・」=<hinata>Kiba...<w21>Good luck on your mission..!
<narrator>「忍者学校（アカデミー）の　なかには|<blue>“木ノ葉言ノ葉アカデミー”<black>といって」=<narrator>The formal name of this place is the <blue>The Ninja Academy of the Village Hidden in the Leaves<black>. but we just call it the academy here.
「ゆうしゅうなさくひんが　かざられているの！」=You can take a look at the messages posted on the walls!
<narrator>「<blue>あおいかけじく<black>のまえで　<blue>Ａボタン<black>をおすと|さくひんを　みることができるわよ！」=
<narrator>「ここは　<blue>忍者学校（アカデミー）<black>だ！」=<narrator>Welcome to the <blue>Academy,black>!
<narrator>「このまま　まっすぐいくと　<blue>依頼受付所<black>と|<blue>くみてどうじょう<black>に　いくことができるぞ！！」=<narrator>You can head to the <blue>Mission Reception <black>or the <blue>Kumite Dojo <black>from here!!
