<narrator>「ダミーメッセージ」=
<koharu>「任務（にんむ）は　じゅんちょうに|こなしとるか？」=<koharu>Your missions aren't too difficult, I hope?
<homura>「いま　木ノ葉隠れの里は　たいへんなんじゃ|おまえたちも　かんばるんだぞ！」=<homura>The village has high hopes in you in these dire times!
<narrator>「任務のとちゅうで　なにをすべきか|わからなくなったら・・・」=<narrator>If you ever lose your way around...
<narrator>「木ノ葉隠れの里の　<blue>正面入口（しょうめんいりぐち）<black>|にいる　もんばんにはなしかけると」=<narrator>Go talk to the <blue>guys hanging around the village gate<black>!
<narrator>「ヒントを　いってくれるぞ！」=<narrator>They can give you hints!
<narrator>「こまったら　はなしかけてみるといい！！」=<narrator>If you ever get lost just ask them!!
<narrator>「イルカ先生は　任務で|<blue>木ノ葉おんせん<black>に　いらっしゃるぞ！」=<narrator>Iruka-sensei's on a mission related to managing the <blue>Hidden Leaf Hot Spring<black>!
「木ノ葉おんせんは　木ノ葉隠れの里の|東（ひがし）のほうにあるぞ！」=You'll find him at the <blue>eastern part of the village<black>.
<narrator>「任務のいらいに　きましたの<red>♪<black>|ゆうしゅうな忍者さんたちばかりで　たすかりますわ<red>♪<black>」=I came here to request your services<red>♪<black>| I'm glad to know you ninjas are so strong and helpful<red>♪<black>
<narrator>「エビス先生と　イルカ先生は　<blue>３かいのきょうしつ<black>に|いらっしゃるはずだ！」=<narrator>Ebisu-sensei and Iruka-sensei are at the <blue>3rd Floor's classroom<black>!
