<ibiki>「ダミーメッセージ」=
<ibiki>「ここは　<blue>くみてどうじょう<black>だ！|なにを　したいんだ？」=<ibiki>This is the <blue>Kumite Dojo<black>! What do you want to do?
<narrator>「<blue>くみて<black>では　せんとうランクによって|ほうしゅうが　かわるわよ」=<narrator><blue>Kumite<black>'s basically a challenge fight based on your rank
<narrator>「・・・でも　<blue>サバイバルくみて<black>では|ほうしゅうはもらえないから　ちゅういしてね！」=...But<blue>Survival Kumite <black>is just one fight after the other that gets tougher with each round!
<asuma>「ふー・・・　たてつづけに|Ａランク任務（にんむ）とはな」=<asuma>"This is an A-Rank mission" my foot!
<asuma>「さすがに　つかれるぜ・・・」=<asuma>Who am I to deny it though...
<narrator>「<blue>くみて<black>は　かくとくランクが　たかくないと|オープンしない　たいせんチームも　あるぞ！」=<narrator>Some kumite battles won't be unlocked until you <blue>rank up<black>!
<narrator>むずかしいほんが　いっぱいならんでいる・・・=<narrator>Believe me some of them are tough....
<ibiki>「くみてどうじょうでは|スリーマンセルの　チームせんをおこなう」=<ibiki>You need a three man squad to enter a kumite battle
<ibiki>「ただし！　せんとうちゅうに|メンバーを　いれかえることはできない！」=<ibiki>However your reserve party ain't included!
<ibiki>「そして　<blue>“きけん”<black>をせんたくすると|せんとうを　ちゅうしすることができる」=<ibiki>You'll also know the opponent's strength ahead of time
<ibiki>「てきがつよすぎるときなど　ゆうこうに|かつようすると　いいだろう」=<ibiki>That way you'll be able to prepare for all battles
<ibiki>「まず　<blue>“くみて”<black>では　せんとうにどれだけの|じかんが　かかったかが　きろくされ・・・」=
<ibiki>「そのたたかいかたによって|<blue>下忍・中忍・上忍<black>と　ランクづけされる」=
<ibiki>「忍者たるもの|任務はすばやく　すいこうするべし！」=
<ibiki>「そのれんしゅうも　かねている|・・・というわけだな」=
<ibiki>「あいてにかったら　ほうしゅうとして|なにかが　もらえるぞ！」=
<ibiki>「つぎに　れんぞくで　なんしょうできるか|ちょうせんする　<blue>“サバイバルくみて”<black>がある」=
<ibiki>「じぶんは　どこまでたたかえるか|ためしてみるのも　いいだろう」=
<ibiki>「・・・せつめいは　こんなところだが|りかいできたか？」=
<narrator><instant>　まだ　よくわからない・・・|　りかいできた<0B>=
<ibiki>「・・・そうか|では　もういちどせつめいしよう」=
<ibiki>「りかいできたようだな！|では・・・」=
<asuma>「シカマル！|任務（にんむ）がんばってるか？」=
<shikamaru>「めんどくせーけど|ま！　なるよーになってるか・・・」=
<asuma>「チョウジ！|任務（にんむ）がんばってるか？」=
<choji>「モグ　モグ　モグ・・・　うん・・・」=
<asuma>「いの！|任務（にんむ）がんばってるか？」=
<ino>「もっちろん！」=
