<narrator>「ダミーメッセージ」=
おわりなき　<w21>闇のたびじを　<w21>歩むのは<w21>|全てをすてた　<w21>ふくしゅう者=“Maybe start making that Rasengan in your Left Hand more often.”
<narrator>しずおかけん|てづか　よしえ=<narrator>XTrior|A Concerned Shinobi
<narrator>「せんとうにかんしての　せつめいだが|・・・ちょっとながいが　きくかい？」=<narrator>It'll take a while to explain the battle mechanics, do you have enough time to listen?
<narrator><instant>　きく|　きかない<0B>=<narrator><instant>　I got my notepad ready!|　All's good...<0B>
<narrator>「・・・そうか！　ききたくなったら|いつでも　はなしかけてくれ！」=<narrator>Oh I see...well I'll be here at all times, so come again if you want me to explain!
<narrator>「せんとうがめんでないと　わかりにくいかもしれんが|ひととおり　せんとうについて　せつめいするぞ！」=<narrator>Alrighty then, let's start!
「せんとうは　ボタンそうさのほかに|<blue>がめんをタッチするそうさ<black>にも　たいおうしているぞ」=You can fight your battles using either the <blue>face buttons <black>or the <blue>touch screen.
「<blue>こうげき<black>をえらんでいるときに<blue>じぶんをタッチ<black>すると|<blue>ボタンでけっていしたのとおなじ<black>ことになるから」=So if you choose to <blue>attack<black>, you can either tap on yourself with the stylus, or simply press the <blue>A Button<black>.
「そのまま　<blue>こうげきしたいてきをえらんで<black>|こうげきするんだぞ！」=Your target can easily be selected using the + Pad or the touch screen!
<narrator>「つぎに　<blue>いどう<black>についてだ！|下がめんの右はんぶんが　みかたのじんちだ」=<narrator>Let's move on to explaining <blue>positioning<black>. Your bottom screen is divided into two fields. Your own field, and your opponent's!
「<blue>あいているばしょを　タッチ<black>するか　<blue>Ｙボタン<black>をおして|ばしょをせんたくすると　いどうすることができるぞ」=If you wanna move around your field, all you have to do is just press the <blue>Y Button <black>and select where you wanna go to.
「そうびしているぶきによって　前にいるときや　後ろに|いるときで　てきにあたえるダメージがかわるからな！」=Where you're positioned on the field also affects your weapon of choice's damage output, so be careful of that when equipping your weapon!
「ただし！　<blue>前にでるほど　うけるダメージはでかくなる<black>|から・・・　きをつけて　たたかうことだな！」=Do note that your position also affects how much damage you receive as well, so be extra careful if you're on the front row. It could get ugly if your defense isn't good enough.
<narrator>「<blue>ぼうぎょ<black>をえらんでいるときに<blue>じぶんをタッチ<black>するか|<blue>Ｘボタン<black>をおすと　ぼうぎょじょうたいになるぞ」=<narrator>SPEAKING of defense, you can defend yourself by selecting the “DEF” option and then tapping on yourself, or do that quickly by just pressing the <blue>X button<black>!
「つぎに　こうどうするまで　うけるダメージがへるから|ゆうこうに　つかうんだぞ！」=That way, the damage you take will be reduced until your next turn!
<narrator>「<blue>術（じゅつ）<black>についてだが|<blue>じゅつ<black>をえらんでいるときに」=<narrator>Which makes me want to talk about <blue>Jutsus<black>! To select the option you just navigate to it in the top screen.
「<blue>じぶんをタッチ<black>すると|いま　おぼえている術が　せんたくできる」=From there you tap on yourself or press the <blue>A button <black>to wreak havoc.
「つかいたい術をえらんで　<blue>じぶんをタッチ<black>すると|だれに術をつかうかを　えらべるから」=After that, you can select your target be it a member of your party, an enemy, or even yourself.
「術をつかいたいキャラを　えらべばＯＫだ！」=It's all pretty simple, no?
「それから<blue>印入力<black>のある術を　えらべば|<blue>チャクラねり<black>か　<blue>チャクラあわせ<black>が　おこなえるぞ」=Some Jutsus will require you to <blue>build or mix your chakra <black>in order to perform them.
「<blue>せいこうすれば　こうかがアップ<black>するから|ゆうこうにつかうんだぞ！」=The better you do, the stronger it's gonna be!
<narrator>「あと！　あぶなくなったら　<blue>にげる<black>のも　たいせつだ|ムリしてせんとうを　つづけるよりも」=<narrator>If all goes terribly, you can always choose to <blue>run for your lives<black>!
「いちどひきかえして　たいせいをととのえるほうが|ぶじ　にんむをこなすための　コツだったりするぞ！」=Sometimes you have to retreat in order to preserve your strength. There's absolutely no shame in that!
「ただし　せんとうによっては|にげられないときもあるから　きをつけろ！！」=Some battles however are unavoidable, so makes sure you keep on developing your strength!
「せつめいは　こんなところかな？|せんとうは　じっせんあるのみ！　がんばれよ！」=This fully covers the basics of battles! Good luck!
<narrator>「つねに　戦闘（せんとう）にさんかできるのは|<blue>“せんぱつ”メンバー<black>の　３にんだけだ」=<narrator>You're allowed to have three <blue>party members<black> with you in battle.
<narrator>「だが　なかまが３にんいじょういるときは|<blue>“ひかえ”メンバー<black>に３にん　おくことができ」=<narrator>You can also add three others to walk around with you as your <blue>reserve party<black>.
<narrator>「せんとうちゅうに　<blue>“いれかえ”<black>ることが|できるんだ！」=<narrator>You can tag them in at any time you want during battle!
<narrator>「“いれかえ”は　せんとうちゅうに|<blue>Ｒボタン<black>をおすと　いれかえることができるし」=<narrator>To do that, you'll have to press the <blue>R Button<black> and select your person of choice.
<narrator>「<blue>“フィールドコマンド”<black>で　<blue>“メンバー”<black>を|せんたくすると　いれかえできる」=<narrator>You can also change your reserve party at any time from the field menu.
<narrator>「また　せんとうちゅうに　せんぱつメンバーが|こうどうふのうに　なったときは・・・」=<narrator>If by any chance a main party member gets knocked out...
<narrator>「“ひかえ”のメンバーが|じどうてきに　とうじょうするぞ！」=<narrator>Fear not! For your reserve members will jump to the rescue and keep the battle going!
<narrator>「とくていのなかまが　とくていの|たちいちにいたり・・・」=<narrator>Oh yeah, lemme fill you in on this one...
<narrator>「とくていのなかまが　とくしゅなこうかの|じょうたいにあるとき・・・」=<narrator>When you have two people in your active party who are compatible and in a particular formation...
<narrator>「きょうりょくな　<blue>“がったい忍術”<black>を|つかうことが　できるばあいがある・・・」=<narrator>You may be able to choose to perform a <blue>Combined Jutsu<black>!#as opposed to combined attacks, which happen automatically at random
<narrator>「しかし！　がったい忍術は　術をつかうふたりとも|チャクラをしょうひするから　きをつけないといけない」=<narrator>It WILL use chakra from both of them though, so be extra careful on that end.
<narrator>「それに　どちらかのチャクラが　たりなかったり|どちらかが　術をふうじられていると」=<narrator>If one of them can't use their chakra, the Jutsu won't go through.
<narrator>「がったい忍術を　つかうことが|できないから　ちゅういがひつようだな！」=<narrator>So keep your chakra in check, alright?
<narrator>「あと！　<blue>“がったいこうげき”<black>|っていうのが　あるんだが」=<narrator>Oh yeah, I should also tell you about <blue>Combined Attacks<black>!
<narrator>「これは　なかまとの<blue>“あいしょう”<black>|・・・つまり　なかよしどが　たかければ」=<narrator>Do you know about <blue>chemistry <black>by any chance?
<narrator>「いっしょに　こうげきしてくれることもあるんだ！|なかまとなかよくしておけば　ゆうりってことだな！」=<narrator>When your chemistry with a fellow party member is high enough, you might trigger a combination attack that'll deal a ton of damage!
<narrator>「術には　おおきくわけて　<blue>忍術（にんじゅつ）<black>・|<blue>幻術（げんじゅつ）<black>・<blue>体術（たいじゅつ）<black>の３つあるわ」=<narrator>There are three kinds of Jutsu in this world: <blue>Ninjutsu<black>, <blue>Genjutsu<black>, and <blue>Taijutsu<black>.
<narrator>「忍術のおおくは　いちどに|ひろいはんいに　こうげきがかのうよ！」=<narrator>Ninjutsu in general allow you to attack a large area at once. 
<narrator>「幻術は　てきを　じょうたいいじょうに|させたりすることが　できるわ！」=<narrator>Genjutsu's inflict status effects on the enemy.
<narrator>「忍術と幻術は　“じゅつふうじ”になったら|つかえないから　ようちゅういだけど・・・」=<narrator>When you're inflicted with seal you won't be able to use any of them, so be careful!
<narrator>「ナルトの“オナラ”などの　体術（たいじゅつ）は|“じゅつふうじ”じょうたいに　なっていても」=<narrator>But Taijutsu techniques, like Naruto's fart, won't be affected.
「しようすることが　できるわよ！」=You can use them as much as you like!
<narrator>「術には　<blue>写輪眼（しゃりんがん）<black>や|<blue>白眼（びゃくがん）のじょうたい<black>に　ならないと」=<narrator>Some Jutsus allow you to use more advanced Jutsus when activated like the <blue>Sharingan<black>, and <blue>Byakugan<black>.
「つかえないじゅつがあるから　ようちゅういだな！」=They're a great way to deal early damage!
<narrator>「なにをすべきかまよったら　木ノ葉隠れの里の|<blue>正面入口（しょうめんいりぐち）<black>にいる　もんばんに」=<narrator>If you ever happen to feel lost, just ask the two ninjas attending the <blue>Hidden Leaf Village's Gates<black>!
<narrator>「はなしかけると　いま　なにをすべきか|おしえてくれるぞ！」=<narrator>They'll help you figure out what to do next!
<narrator>「フィールドのいたるところに　ボクのよこに|あるのとおなじ　<blue>“つづら”<black>が　ある！」=<narrator>You may notice when adventuring these <blue>Bamboo Boxes <black>like the one near me.
「つづらのまえで　<blue>Ａボタン<black>をおすと|つづらのなかみを　てにいれることができるぞ！」=If you stand next to one and press the <blue>A Button<black>, you'll obtain some goodies!
「まれに　がけのうえや　みずのむこう・・・|いわがじゃましていたりして　とれないものもあるが」=Some of those boxes may be unreachable though 'cuz of a body of water or some tall cliff...
「そういうのは　ちょっと“とくしゅなじゅつ”を|おぼえないと　とれないんだよ・・・」=You'll need a special Jutsu to help you reach those platforms...
「いろんな　任務（にんむ）を　すれば|おぼえられるのかもな！」=I'm sure you'll learn them throughout your travels!
<narrator>「<blue>セレクトボタン<black>をおすと|“任務（にんむ）のきろく”を　することができるわ！」=<narrator>When you press the <blue>SELECT Button <black>you will be able to record your mission's report!
<narrator>「これを　<blue>セーブ<black>というんだけど　きけんな|任務のまえには　セーブしておくほうがいいわ」=<narrator>Be sure to save your progress before heading to a dangerous place!
<narrator>「・・・また　任務は　なにがおこるか|わからないから」=<narrator>...Danger appears when you least expect it.
<narrator>「ねんのために　任務のまえの　<blue>あんぜんな|セーブデータ<black>を　つくっておいたほうが　いいわよ！」=<narrator>You can use the second save slot to make a backup in case you happen to mess up during your travels!
<narrator>「そこにみえている　<blue>“木ノ葉マーク”<black>のうえにのると|スタミナとチャクラが　ぜんかいふくするぞ！」=<narrator>If you stand above the <blue>Leaf Symbol<black>, you'll regenerate your Stamina and Chakra!#dupes
<narrator>「任務（にんむ）で　きずついたときは|ゆうこうに　かつようするように！」=<narrator>Be sure to use it whenever you're hurt!
<narrator><instant>はるのサクラ　　１００てん|うずまきナルト　　　０てん=<narrator><instant>Sakura Haruno = 100 Points|Naruto Uzumaki = 0 Points
