<narrator>「ダミーメッセージ」=
<iruka>「エビス先生なら　めのまえに|いらっしゃるぞ！」=<iruka>If you're looking for Ebisu-sensei, he's right there.
<narrator>「木ノ葉丸（このはまる）ちゃん・・・|どこにいったのかなァ？」=<narrator>Where'd Konohamaru go, I wonder?
<narrator>「このまえ　木ノ葉丸ちゃんに　木ノ葉丸ちゃんの|入よくけんを　もらったんだ・・・」=<narrator>I wanted to give Konohamaru his bath ticket, but I can't find him....
<narrator>「５００００両で　ゆずってあげるよ！」=<narrator>It's all yours if you have 50000 Ryo, though!
<narrator><instant>　いらない|　ゆずってもらう<0B>=<narrator><instant>　How about no?|　Give it to me!<0B>
<narrator>「そうなんだ・・・　わたしは　いつでも　ここに|いるから　ゆずってほしくなったらはなしかけてね！」=<narrator>Fine...I'll be here if you happen to change your mind.
<narrator>「う～ん・・・　おかねが　たらないみたいだよ|おかねがたまったら　はなしかけてね！」=<narrator>I won't give you squat if you don't have the money!
<narrator><130e>このはまるの入よくけんを　てにいれた！<sound04>=<narrator>Obtained <130e>Konohamaru's Bath Ticket!<sound04>
<narrator>「たいせつに　つかってね！」=<narrator>Have fun!
<ebisu>「忍者学校は　いま　おおいそがしですぞ！」=<ebisu>I've got so much to do!
<ebisu>「もうすぐ　忍者学校がさいかいしますぞ！|ああ　いそがしい・・・」=<ebisu>The Ninja Academy's almost ready to reopen...|It's gonna be a lot of work, indeed.
<narrator>「木ノ葉隠れの里の　ひがしのほうには|<blue>“木ノ葉おんせん”<black>が　あるんだ！」=<narrator>Have you been to the <blue>Hot Springs <black>over at the east part of the village?
<narrator>「でも　<blue>入よくけん<black>をもってないと　はいることが|できないから　ちゅういしなきゃだめだよ！」=<narrator>If you have a <blue>Bath Ticket <black>you'll be able to enter!
<narrator>「しってる？　入よくけんは　いっしょにたたかっている|なかまいがいにも　あるんだって！」=<narrator>Did you you can get Bath Tickets even for people who aren't in your party?
<narrator>「しかも！　ぜんぶで<blue>３６まい<black>　あるらしいよ！|これは　あつめてみないと　いけないね！」」=<narrator>There are <blue>36 tickets <black>that you can collect, so have fun!
