<narrator>「ダミーメッセージ」=
<narrator>「いらっしゃいませ！　短冊街の　やどやです|チェックインなさいますか？」=
<narrator><instant>　チェックインする|　チェックインしない<0B>=
<narrator>「ありがとうございます・・・|では！　いちばんてまえの　おへやへどうぞ！」=
<naruto>「へやに　いってみるってばよ！」=
<narrator>「そうですか・・・　ざんねんです|またごいりようでしたら　おこえをかけてくださいね！」=
<narrator>「いちばんてまえの　おへやになっています！」=
<naruto>「へやに　いってみるってばよ！」=
<narrator>「いらっしゃいませ！|ここは　短冊街の　やどやです」=
<narrator>「ボクたち　グループで|短冊街（たんざくがい）に　あそびにきたんだ！」=
<narrator>「せっかく　短冊じょうをみにきたのに|くずれていて　ざんねんだわ・・・」=
<narrator>「短冊じょうの　てんしゅかくに|のぼりたかったんだけどなぁ・・・」=
<narrator>「みんなで　ワイワイさわぐのって|たのしいわね<red>♪<black>」=
<narrator>「短冊街でとまれるとこ　・・・っていえば|ここしかないわよ～<red>♪<black>」=
