<choji>「おふろは　きもちいいけど　いっしょに|ぽてちでもあれば　さいこうなのになぁ」=
<choji>「おふろからでたら　なにたべよう|やきにく<w16>・ぎゅうどん<w16>・ステーキ<w16>・<w16>・<w16>・」=
<choji>「ぐふふふふ・・・」=
<narrator>ボソボソボソ・・・=
<choji>「ん！？　はなしごえ？？」=
<ino>「・・・でさぁ　班でごはんたべにいくと|かならず　やきにくになちゃうのよ～」=
<sakura>「いいじゃない！　７班なんて|よくて　ラーメン一楽なんだから」=
<ino>「おんなのことしてはー　ヘルシーなものが|たべたいのよー　だって　やきにくって」=
<ino>「カロリーたかいじゃな～い　だから|チョウジなんて　あんなに　デブなのよ～」=
<sakura>「え！？|いま　なんかきこえなかった？？」=
<choji>「ポッチャリけい　バンザ～～イ！！」=
<choji>「倍化の術！！|（ばいかのじゅつ）」=
<ino>「キャ～～～～！！！！」=
<iruka>「おまえら<w5>・<w5>・<w5>・<w21>　おんせんを|こわさないでくれよ<w5>・<w5>・<w5>・<w32>　トホホ」=
