<jiraiya>「たまには　のんびり　ひとりで|おんせんってのもええのォ・・・<w21>　しかし」=<jiraiya>I like to go to the Hot Springs to relax like any other man would...<w21>but
<jiraiya>「あたりには　だれもおらんのォ・・・<w21>|ときたら　しゅざいじゃ　しゅざい！」=<jiraiya>I really come here to research when nobody's around to disturb me!
<jiraiya>「ヌホホホホ　ええのええのォ|やっぱり　しゅざいは　やめられんのォ」=<jiraiya>Oh yeah, baby! Time for some unrestricted access!
<narrator>いっぽう　おんなゆでは<w16>・<w16>・<w16>・=<narrator>Meanwhile on the other side<w16>.<w16>.<w16>.
<kurenai>「わたしは　そろそろあがるわね」=<kurenai>I will be leaving soon
<hinata>「ハ・・・　<w16>ハィ　わかりました」=<hinata>O-<w16>Of course...I understand
<sakura>「ねェ・・・　さっきから|へんなおとしない？」=<sakura>Did you hear that sound just now?
<ino>「そお？　なにも　きこえなかったけど～」=<ino>What noise? I didn't hear anything
<tenten>「なんか　あやしいわね」=<tenten>I do, and it's weird
<sakura>「ヒナタちゃん　わるいんだけど|白眼で　まわりみてくれる？」=<sakura>Hey Hinata, could you use your Byakugan for a sec?
<hinata>「う・・・<w5>　うん<w16>|白眼（びゃくがん）！！」=<hinata>L-<w5>Leave it to me! <w16>BYAKUGAN!!
<hinata>「へいにはりついている　チャクラの|ながれのカタマリが　みえる<w5>・<w5>・<w5>・」=<hinata>I see a chakra network behind the screen at the moment
<ino>「でたわね～！　のぞきよ　のぞき！|このおけ　なげてやるんだから！」=<ino>Don't make this hard on yourself, you peeping tom! Come out now!
<tenten>「・・・あまいわね」=<tenten>How pathetic...    
<sakura>「え？」=<sakura>Hm?
<tenten>「こういうやつは　あまやかすと|つけあがるのよ！　みてなさいっ！」=<tenten>He really thinks he can escape with me around? I'll show him!
<tenten><instant>「暗器連弾！！|（あんきれんだん）」=<tenten><instant>Hidden Weapon Barrage!!
<tenten><instant>「つづけて　双昇龍！！|　　　　（そうしょうりゅう）」=<tenten><instant>Twin Rising Dragon!!
<ino>「す・・・<w21>　すごいわね～」=<ino>T-<w21>That was amazing!
<sakura>「さすが　リーさんや　日向ネジの|れんしゅうあいてなだけ　あるわ」=<sakura>Lee and Neji have their hands full with you as a sparring partner
<tenten>「のぞきまも　たいじしたことだし|そろそろ　あがりましょ！」=<tenten>With that creep out of the way, let's finish up our bath!
<iruka>「さっきの　すごいおとは　なんだったんだ？<w21>|・<w5>・<w5>・<w5>って<w16>　なんだ　コレは！？」=<iruka>What was that noise just now<w5>!<w5>?<w5>!<w5>Huh? What's over there?
<jiraiya>「ワ・・・<w21>　ワシは　しゅざいをしてた|だけなのにの<w5>・<w5>・<w5>・<w5>　あの子ら<w5>・<w5>・<w5>・」=<jiraiya>All...<w21>I...<w21>wanted...was to do...<w21>some research
<jiraiya>「ガ・・・<w21>　ガキには　きょうみ|ないってのにのォ<w5>・<w5>・<w5>・」=<jiraiya>I don't even..<w21>care about these..<w21>little brats
<iruka>「また　おんせんをこわされて|なきたいのは　こっちですよ」=<iruka>I know a good spot to cry if you want...
