<jiraiya>「のォ　ナルト！　おまえ　いまから|ワシのまえで　おいろけの術をしてみせろ」=
<naruto>「ハァ！？|なにいってんだよ　エロ仙人！」=
<jiraiya>「しゅざいじゃ！　それに　でしは|ししょうのいうことを　きくもんだのォ！」=
<naruto>「ンじゃあ！　スッゲェ術　おせーて|くれたらやってやるってばよ」=
<jiraiya>「ったく　しょうがねェ“でし”だのォ|とっておきの　術をおしえてやるか」=
<naruto>「なに！　なに！？」=
<jiraiya>「とうとん術じゃ！」=
<naruto>「とうとんじゅつぅ！！|ってそれって　まさか！？」=
<jiraiya>「そう<w5>・<w5>・<w5>・<w21>　べつめい|のぞきみの術じゃ！」=
<naruto>「いい！<w21>　いい！<w21>　それいいーー！|はやく　おせーてってば　エロ仙人！」=
<jiraiya>「よーくみとけ！　印（いん）は<w5>・<w5>・<w5>・」=
<naruto>「・・・よっしゃあ！|バッチリ　おぼえたってばよ！！」=
<jiraiya>「よーし・・・　<w21>では　や<w5>・<w5>・<w5>・<w21>　やくそくの|お<w5>・<w5>・<w5>・<w21>　おいろけの術を<w5>・<w5>・<w5>・」=
<naruto>「わかったってばよ！　やくそくだかんな！|ンじゃ　いくぜっ！！」=
<girlnaruto>「自来也さーん<red>♪<black>|わたしのあいを<w16>　う<w16>・け<w16>・と<w16>・め<w16>・て<red>♪♪♪<black>」=
<jiraiya>「<red>グフーーーーーー！！<black>」=
<girlnaruto>「ったく　おとなって|ほんとに　この術によえーよな<w5>・<w5>・<w5>・」=
<jiraiya>「<red>さ<w5>・<w5>・<w5>・<w21>　さいこー<w5>・<w5>・<w5>・<w32>　グフッ<black>」=
