<shikamaru>「このメンツで　あつまるっつーのも|なんか　なつかしーな・・・」=<shikamaru>It's been a while since we last gathered up like this.
<kiba>「忍者学校じゃ　よくたたされたり|いのこりそうじ　させられたからな」=<kiba>You guys remember when Iruka Sensei forced us to clean up the classroom during detention?
<naruto>「ま！<w16>　ゆうしゅうなオレは|そんなこと　なかったけどな」=<naruto>Say wha? <w16>I have no idea what you're talking about, believe it!
<kiba>「ハァ！？<w16>　ドベのおまえが|なにいってんだよ！　っつーか」=<kiba>WHAT!? <w16>We got into detention 9 out of ten times because of something YOU did!
「おまえのせいで　いっつもオレらが|まきこまれたんだっつーの！」=And you have the AUDACITY to not even remember the punishment!?
<naruto>「なんだとォ！？　おまえだって|しょっちゅう　いねむりしてただろ！」=<naruto>What are you blaming ME for!? You were the idiot who always got caught sleeping in class!
<choji>「バリバリ・・・<w16>　ナルトもキバも|やめなって　<w16>・・・バリバリバリ」=<choji>*Munch* *munch* <w16>You guys should really *munch* stop this fighting!
<shikamaru>「っつーか　チョウジ　おんせんのなかで|たべんなっつーの！　カスが　ういてる」=<shikamaru>Hey Choji! Don't eat in the hot springs, it's against the rules!
<choji>「あー・・・<w16>　シカマルも　たべる？<w21>|バリバリバリ<w5>・<w5>・<w5>・」=<choji>Just say you want in on some chips, Shikamaru~
<kiba>「チョウジ・・・<w5>　おまえは　いつまで|バリバリ　バリバリ　くってンだよ！」=<kiba>He wants you to stop munching and crunching so loudly!
「この　デブ！！」=Got it, fatso?!
<choji>「え・・・<w16>　いま　なんていった？」=<choji>You...<w16>wanna say that again?
<shikamaru>「バ・・・<w21>　バカ！|チョウジに　そのことばは！！」=<shikamaru>You IDIOT! <w21>Don't say the F-word to him, ever!
<naruto>「おんせんはいってまで　くうなって|いってンだよ！　おデブちゃん！！」=<naruto>I'll say it then. Go snack loudly somewhere else, fatso!
<choji>「もー　おこった！！|倍化の術（ばいかのじゅつ）！！」=<choji>OH THAT'S IT! EXPANSION JUTSU!
<naruto>「ぐああああああ！！」=<naruto>HNGYAAAAAAAAH!
<iruka>「おまえら<w5>・<w5>・<w5>・<w16>　おんせんを|こわさないでくれよ<w5>・<w5>・<w5>・<w21>　トホホ」=<iruka>Oh for the love of...<w16>PLEASE KEEP THE HOT SPRINGS CLEAN! *sob*
