<sakura>「テマリさん！　砂隠れって　どんな|ファッションが　はやってるんですか？」=<sakura>What fashions are trending in the Sand Village right now, Temari?
<temari>「なんだ？|そんなことに　きょうみがあるのか？」=<temari>Hm? You care about that stuff?
<ino>「もっちろん！　おんなの子なら|おしゃれに　きょうみあるのが　ふつうよー」=<ino>Of course! Most girls are big into fashion, you know!
<temari>「・・・砂隠れは　砂にかこまれた里だ」=<temari>Well, as you can guess, our village is surrounded by a desert...
「ひざしがきついので　ハダのろしゅつは|ひかえるのが　ふつうだ」=so we have to keep our skin covered from the harsh sun.
「むしろ　木ノ葉のほうが　じゆうな|ふくそうを　しているようにおもうが・・・」=I'd say you guys have a lot more options when it comes to clothes.
<sakura>「・・・そうなんですか」=<sakura>That makes sense...
<ino>「サスケくんに　もっとすかれるような|ふくそうを　しらべようとおもったのにー」=<ino>Aw, and here I thought you might have some cool suggestions...
「これじゃ　ふりだしに|もどっちゃったじゃなーい！」=Now I have to rethink my plan to find clothes that'll impress Sasuke...
<sakura>「フン！　いのには　まけないから！」=<sakura>Why bother with nice clothes? It'll only be like putting lipstick on a pig!
<hinata>「わ・・・<w21>　わたしも　ナルトくんに|きらわれないように　しなきゃ<w5>・<w5>・<w5>・」=<hinata>I...hope that I can...dress up well...<w16>for Naruto...
<ino>「ヒナタちゃん　いたの！？」=<ino>How long have YOU been here, Hinata!?
<hinata>「えっ！？<w21>　あ・・・　うん<w5>・<w5>・<w5>・<w5>|さ　さいしょから<w5>・<w5>・<w5>・」=<hinata>Huh!?<w21> I've been here...the whole time...
