<sakura>「きっもちいー！　任務のあいまに|おんせんなんて　さいこうね！」=<sakura>I wish I could hop into the hot springs after every mission like this!
<hinata>「で・・・<w16>　でも　おんなの子たちだけって|わるいような　きが<w5>・<w5>・<w5>・」=<hinata>I...<w16>feel bad for leaving out the rest of our teams.<w5>.<w5>.
<ino>「いいのよー　おんなのこは　つねに|キレイにしとかなきゃ　ダメなんだから」=<ino>Oh those boys can get over it! We girls gotta stick together!
「ま！　サクラがどんだけがんばっても|わたしが　木ノ葉ナンバーワンくノ一だけど」=Oh and by the way, just to make something EXTRA clear, I'm the best kunoichi here.
「そして　サスケくんに　えらばれるのも|わ<w5>・た<w5>・し<w5><red>♪<black>」=And the girl Sasuke's gonna want here <w16>is <w16>me<red>♪<black>
<sakura>「サスケくんは　わたしみたいな|プリティーな子が　このみなんだから」=<sakura>I'm pretty sure Sasuke has higher standards than that.
<ino>「だからサクラは　お子ちゃまなのよー|おとなのいろかが　わからないとはね～」=<ino>You sound almost confident that you two are gonna get hitched in 18 years or something.
<hinata>「ふ<w5>・<w5>・<w5>・<w21>　ふたりとも|おちついて<w5>・<w5>・<w5>・」=<hinata>P-<w16>Please stop it, you two.<w5>.<w5>.<w5>.
<tenten>「ったく　さっきから|あいだ　こいだって　ウルサイわね」=<tenten>Can I have ONE moment of peace here? Just ONE!
<ino>「ちょっと！　なによー！|くちだしするきー！」=<ino>Hold up, you! I can talk as much as I want!
<tenten>「いい？　わたしたちは忍者なのよ」=<tenten>Will talking really get you going on in the battlefield?
「つまり　ナンバーワンになるようそは|“かわいさ”ではなく　“つよさ”よ」=Are you gonna defeat your enemies with your "dashing beauty" or by your cold hard fists, lady?
<ino>「でも～　それだと　きんにくムキムキ|になって　ちょっといやじゃな～い？」=<ino>Oh come on, Tenten! Can't we just let loose and be normal girls here for once?
<sakura>「それは　いえてるかも！　だいたいの|おとこの子は　やせてる子がすきだもんね」=<sakura>Our boys are certified to like their girls, you know, GIRLY!
<hinata>「わっ・・・<w21>　わたしも　ナルトくんに|きらわれたく　ない・・・<w21>　から<w5>・<w5>・<w5>・」=<hinata>I'm...<w16>not saying I...<w16>like being messy, but...<w16>um...
「ムキムキは　いやかな<w5>・<w5>・<w5>・<w5>　なんて」=I don't think I wanna be...a rowdy girl...
<ino>「ほーら！　３たい１でけってーい！|ナンバーワンくノ一は　かわいさがきめてよー」=<ino>I see a 3 VS 1 situation here! Tenten, you're overruled!
<ino>「・・・となるとー　やっぱりわたしが|ナンバーワンみたいね～　デコリーん！」=<ino>Back to what's important now...Can we all just agree that I'm the number one, ladies?
<sakura>「なんですってー！　このいのぶた！」=<sakura>OH NO PIGGY GIRL!
<tenten>（かわいさか<w5>・<w5>・<w5>・<w5>|なーんか　しっくりこないわね）=<tenten>(You know what? I give up on ever beating some sense into these girls...)
