<kakashi>「いやぁ<w5>・<w5>・<w5>・<w16>　いいおゆですね」=<kakashi>This is the life, gentlemen!
<ebisu>「いや　まったく！　これも　イルカくんの|おかげですな！」=<ebisu>We owe it to you for looking after these springs, Iruka!
<iruka>「しかし・・・　さきほど　のぞきまがいた|ってほうこくを　うけましてね<w5>・<w5>・<w5>・」=<iruka>That reminds me... There was a report of a peeping tom here earlier.
<ebisu>「どこのだれだか　わかりませんが|まったく　けしからんですな！」=<ebisu>Who would do such a vile thing!?
<narrator>「キャーー！！　のぞきよ！！」=<narrator>HELP! A PERVERT!!!
<ebisu>「いってるそばから　ハレンチは|このわたしが　ゆるしませんぞ！」=<ebisu>What nerve! I'll see to it that he gets punished, alright!
<iruka>「おてつだいします！　エビス先生！！」=<iruka>Let me help you, Ebisu!
<kakashi>（なんか　いやーな　よかんが|するんだけどな<w5>・<w5>・<w5>・）=<kakashi> (Something tells me this won't end well...)
<ebisu>「つかまえましたぞ！<w21>|・・・ム！？<w5>　自来也さま！？」=<ebisu>I'VE CAUGHT YOU RED HANDED--<w21> M-Master Jiraiya!?
<jiraiya>「おまえら　ようしゃねェのォ<w5>・<w5>・<w5>・<w5>|しゅざいじゃというのに・・・」=<jiraiya>You fools! You've disturbed my very delicate research!
<ebisu>「しゅ　しゅざいですと！？|ここは　おんせんですぞ！」=<ebisu>What research could you possibly do in a place like this?
<jiraiya>「だからだってーの！<w21>　・・・まぁ|“ひゃくぶんはいっけんにしかず”<w5>・<w5>・<w5>・」=<jiraiya>Didn't you know? The hot springs are a great source of inspiration.
「おまえら　ちょっと　こっちらこい|そこを　ちーーとみてみろ」=Let me show you what I mean.|Look over there...
<ebisu><instant>「<red>ブーーーーー！！！！<black>」=<ebisu><instant><red>HNNNNGH!!!!<black>
<iruka><instant>「<red>ブーーーーー！！！<black>！」=<iruka><instant><red>HNNNNNGH!!!<black>
<jiraiya>「カカシ・・・<w21>　おまえも　どーだ？」=<jiraiya>Hey, Kakashi! You want in?
<kakashi>「・・・・・・ゲームをしている|よいこのみんなは　まねしちゃだめだぞ！」=<kakashi>This is a message from our Legal Team: Don't try this at home, ever!
