<choji>「ねェ！　ねェ！　このあと|みんなで　ごはんたべにいこーよー」=<choji>Let's grab lunch after we finish taking a bath, you guys!
<shikamaru>「お！　いいんじゃねーの？|みんなどうする？」=<shikamaru>I'm down. What about you guys?
<kiba>「オレはいくぜ！　・・・つーか|みんな　いくだろ！　どこにする？」=<kiba>Count me in too, but where do we go?
<choji>「やきにく<w16>・しゃぶしゃぶ<w16>・ステーキ<w16>・すきやき<w16>|ぎゅうどん<w21>・・・ぐふふふふ」=<choji>Yakiniku? <w16>Steak? <w16>Sukiyaki? <w16>STOP I CAN'T THINK ABOUT THIS NOW!!
<naruto>「・・・つーか！<w16>　にくばっかだってばよ|ほかになんかねーの？　ほかに！」=<naruto>How about...<w16>no. I'm not feeling like meat. Do you guys have any other idea maybe?
<kiba>「オレは　さんせいだぜ！|赤丸もにくは　だいすきだからな！」=<kiba>Barbecue's calling for me, man.
<shikamaru>「ナルト<w5>・<w5>・<w5>・<w5>　にくにはんたいなのは|おまえだけだぜ　どーすんだ？」=<shikamaru>You're the only one who voted against meat. What'll you od?
<naruto>「やっぱ　にくでいい！」=<naruto>I have no choice but meat, believe it...
<kiba>「きまりだな！<w21>　・・・で　もんだいは|にくを　どうやってたべるかだな！」=<kiba>Okay fine, we picked barbecue, but what sort are we gonna get?
<choji><instant>「やきにくーーーー！！」=<choji><instant>YAKINIKUUU!
<naruto>「そうだよな・・・　やっぱ|にくといやァ　やきにくだってばよ！」=<naruto>I guess...it's the only way to go!
<kiba>「あのにくがやけた　いいにおい<w21>|・・・んー！　サイコーだぜ！」=<kiba>It'll sure hit the spot! Man I'm drooling just thinking about it!
<shikamaru>「んじゃあ　やきにくに　けってい！」=<shikamaru>Alright boys, it's settled then. 
<sasuke>「フン・・・<w21>|オレのいけんは　きかねーんだな<w5>・<w5>・<w5>・」=<sasuke>Tch...<w21>you didn't even bother asking me, but I'll let it pass
<naruto>「あっ！」=<naruto>Let's go, believe it!
