<narrator>ここは　火の国（ひのくに）の|<blue>木ノ葉隠れの里（このはがくれのさと）<black>・・・=<narrator>This is <blue>the Village Hidden in the Leaves<black>, in the Land of fire
<blue>忍者学校（アカデミー）<black>の　おちこぼれだった　<blue>ナルト<black>は|サスケ　サクラとともに　はれて忍者（にんじゃ）になる=The resident troublemaker of the <blue>Ninja Academy,<black>,Naruto Uzumaki became a Ninja along with his two comrades Sasuke and Sakura
中忍（ちゅうにん）せんばつしけんにのぞんだ|ナルトたちは　<blue>大蛇丸（オロチまる）<black>のきしゅうにあい=During their Chunin Exams,They were ambushed by <blue>Orochimaru
大蛇丸は　サスケのカラダに　<blue>呪印（じゅいん）<black>を|のこして　すがたをけした・・・=Orochimaru planted Sasuke with a <blue>Curse Mark<black>,which drained much of his strength...
ナルトとサスケは　“だい３のしけん”の|よせんをかちぬき　ほんせんにすすむ=Naruto and Sasuke passed the three tests needed for advancing to the finals
サスケたい我愛羅（ガアラ）の　たたかいのとき|大蛇丸たちの<blue>“木ノ葉くずし”<black>がはじまった！！=When Sasuke was about to fight Gaara as his final opponent, Orochimaru invaded the Hidden Leaf Village this invasion was later called <blue>The Destruction of the Hidden Leaf!
ナルトたちは　バケだぬきに　かわった我愛羅をげきは！|そのころ　<blue>三代目火影（さんだいめほかげ）<black>は=Naruto, along with his comrades,defeated Gaara in his Shukaku form. Meanwhile the <blue>Third Hokage<black>was...
大蛇丸とのたたかいに　いのちをおとすが|“木ノ葉くずし”はしゅうけつし　里はまもられた・・・=...Fighting Orochimaru, and sacrificed his life in the process of defeating him to save the Hidden Leaf from its destruction.
<koharu>「わかった・・・　さがっていいぞ」=<koharu>I understand...let's begin the search
<koharu>「<blue>砂隠れ（すながくれ）<black>が　木ノ葉にたいし|ぜんめんこうふくしたそうだ・・・」=<koharu>The Hidden Sand's aid in the Destruction has dealt a huge deal of damage on the Leaf's frontier...
<koharu>「いまさら　砂隠れとのかんけいなど|さほど　じゅうようではない」=<koharu>We must get past that and hope to forge new relations with the Sand
<homura>「いま　木ノ葉隠れの力（ちから）は|おそろしいほどに　ていかしておる・・・」=<homura>And the Leaf must press on to remain powerful among the nations and be a source of fear
<homura>「さいゆうせん　させねばならぬのは|さらなる　きけんをそうていした　じゅんびだ」=<homura>Which means, we must take the appropriate measures needed for this situation
<koharu>「まわりの国（くに）のいずれかが　いつ|だいたんな　こうどうにでるかもわからぬ」=<koharu>We do not know which land would take advantage in our weakened state
<koharu>「まず　しんらいのおける|つよいリーダーが　ひつようだ」=<koharu>So our first order of action must be finding a strong and capable leader
