<kakashi>「幻術が　とけた！？」=<kakashi>The Genjutsu stopped!?
<kakashi>「紅！　アスマ！！」=<kakashi>Kurenai! Asuma!!
<kakashi2>「いっきに　カタをつけさせてもらう！」=<kakashi2>Leave these two to me!
<symbol14><small_sasuke3>「これが　うわさにきく・・・<w21>|名はたしか　コピー忍者の　カカシ」=<symbol14><small_sasuke3>Oh I know this ninja...<w21>It's the rumored Copy Ninja Kakashi Hatake
<symbol14><small_sasuke3>「しかし　ほんとうに　イタチさんいがいに|その眼（め）をもってるやからが　いたとはね」=<symbol14><small_sasuke3>But never in my life would I have figured out he can do that because he got the same eye you do, Itachi
<kakashi2>「おどろいたのは　こっちだよ・・・　あやしい|けはいに　幻術までかけてくれちゃって」=<kakashi2>I must say, the bad gut feeling I had was only cemented thanks to the Genjutsu casted earlier...
<kakashi2>「だれかとおもってたら・・・|まさか　<blue>うちはイタチ<black>とはね」=<kakashi2>I knew it had to be the work of <blue>Itachi Uchiha
<symbol14><small_sasuke3>「・・・イタチさんの　おしりあいですか？」=<symbol14><small_sasuke3>So you know Itachi?
<symbol14><small_sasuke3>「なら・・・　わたしも|じこしょうかいして　おきましょう」=<symbol14><small_sasuke3>Oh where are my manners, I should introduce myself to an old pal of Itachi's
<kisame>「<blue>干柿　鬼鮫（ほしがき　きさめ）<black>|いご　おみしりおきを」=<kisame>My name is <blue>Kisame Hoshigaki<black>. Don't forget it
<kakashi2>「・・・いご　なんてのは　いらないよ」=<kakashi2>I couldn't care less
<kisame>「イタチさん・・・　アナタも里じゃ|そうとう　きらわれてる　ようですね」=<kisame>Doesn't seem like your village is fond of you, Itachi
<kakashi2>「おまえら　手配帳（ビンゴブック）じゃ|Ｓランクになってる　じゅうざいにんだ」=<kakashi2>You two are on the S Rank of the nation's Bingo Book
<kakashi2>「それに　あれだけの　じけんをおこして|里にふたたび　あしをふみいれるとはな」=<kakashi2>And to think you have the audacity to step back into the village after all you've done
<kakashi2>「・・・いいどきょう　してるよ」=<kakashi2>...What a disgrace
<itachi>「カカシさん・・・|オレには　かかわらないでください」=<itachi>Kakashi...I pray you keep out of my way
<itachi>「アナタと　やりあうつもりは　ない」=<itachi>I don't wish to fight you
<kakashi2>「いちぞくごろしの　おまえがいう|セリフじゃないね・・・　それは」=<kakashi2>You, who committed genocide upon his family get to make no demands
<kisame>「ときに・・・　再不斬（ザブザ）のこぞうは|アナタとやりあったと　ききましたが？」=<kisame>Oh...I almost forgot. Were you the one who did Zabuza in?
<kakashi2>「ああ・・・」=<kakashi2>Yeah...
<kisame>「クク・・・|“けずりがい”の　あるかただ」=<kisame>Hehehe...Then you're a worthy "target" for me
