<lee>「ハァ　<w16>ハァ<w16>　ハァ<w21>・・・　まだまだ！！」=<lee>HAA<w16> HAA<w16> HAA<w16> NOT DONE YET!!
<naruto>「おーい　ゲジマユ！！」=<naruto>YOOO Bushy Brows!
<lee>「ナルトくん！」=<lee>Oh, it's you, Naruto!
<naruto>「ゲジマユ！　いまから　オレたちに|ついてきてくれ！」=<naruto>You should come with us, Bushy Brows we could really use your help!
<shikamaru>「サスケが　里をぬけた<w5>・<w5>・<w5>・<w21>　下忍で|チームをくみ　サスケを　つれもどす」=<shikamaru>Sasuke just defected from the village...<w32>and we need all the good Genins we can get on our tea,
<lee>「なるほど<w5>・<w5>・<w5>・<w21>　おこまりのようですね|わかりました　チカラになりましょう」=<lee>I see now...<w21>I will lend you my strength
<naruto>「ゲジマユ　さんきゅー！」=<naruto>You're the best, Bushy Brows!
<lee>「それから　もうひとり　すいせんしたいひとが|いるのですが・・・」=<lee>Allow me to suggest someone who would most certainly be to our advantage
<naruto>「オッケー！　そいつもつれてこいってばよ！」=<naruto>They're more than welcome to come along!
<shikamaru>「オイ　ナルト！　おまえ　かってにきめんなよ|いちおう　オレが　リーダーなんだから」=<shikamaru>Did you forget that I'm in charge of this squad, Naruto!? Don't go off deciding these things on your own!
<lee>「あんしんしてください！！|カレは　ボクよりつよいですから・・・」=<lee>Worry not, for this person is much stronger than me...
<shikamaru>（なるほど<w5>・<w5>・<w5>・<w21>　<blue>“アイツ”<black>か）=<shikamaru>(Oh...<w21>so he's talking about THAT guy)
<shikamaru>「・・・わかった　そいつも　つれてきてくれ|ひとでは　おおいにこしたことは　ねーんでな」=<shikamaru>...Well you two can come along, no problem
<shikamaru>「すぐに　じゅんびをして　そいつといっしょに|<blue>正面入口<black>に　しゅうごうしてくれ！」=<shikamaru>Meet us at the <blue>Village Gates <black>when you're ready!!
<lee>「わかりました！　では　のちほど」=<lee>Very well!
<naruto>「じゃあ　つぎは　サクラちゃん・・・」=<naruto>Next up is Sakura...
<shikamaru>「ストップ！　もうじかんがねェ・・・|しゅうごうばしょへいって　しゅっぱつだ」=<shikamaru>No can do, it's almost time to meet everybody at the gates, we need to get going
<kakashi>「オレも　いまや　上忍で　ぶかをもつみだ|だが　むかしのまま　いつもこうかいばかりだ」=<kakashi>Even though I'm a Jonin now, I still find myself coming back to remember you and look up to you
<kakashi>「この眼（め）があっても　ちっとも|さきなんて　みえやしない<w16>・<w16>・<w16>・」=<kakashi>Even with your eye, I still couldn't see where this was going.<w16>.<w16>.<w16>.<w16>.
<kakashi>「<w16>・<w16>・<w16>・<w16>・<w16>・<w16>・」=<kakashi><w16>.<w16>.<w16>.<w16>.<w16>.
<kakashi>「おまえが　いきてたら　いまのオレに|なんていうんだろうな<w16>・<w16>・<w16>・」=<kakashi>I wonder what you would have told me if you were still here<w16>.<w16>.<w16>.<w16>.
<kakashi>「なぁ<w16>・<w16>・<w16>・<w21>　オビトよ」=<kakashi>What do you think about this<w16>.<w16>.<w16>.<w16>.Obito?
<guy>「リーよ<w5>・<w5>・<w5>・<w16>　すこしきゅうけいを<w5>・<w5>・<w5>・<w21>」=<guy>Ya know, Lee...<w32>you can relax 
<lee>「どうしたんです　ガイ先生！？|せいしゅんは　まってなんか　くれませんよ」=<lee>Why should I, Guy Sensei!? My youth will not last forever!
<lee>「それに　ネジも修業をはじめたと　ききました|ボクも　まけてはいられません！！」=<lee>Even Neji is out there training so hard! I must not falter and keep up the pace!
<lee>「つぎは　ミットうち１０００かいです！|いきますよ！　ガイ先生！！」=<lee>I will now do a set of 1000 reps! Watch me, Guy Sensei!
<guy>「リ<w5>・<w5>・<w5>・<w21>　リー！？」=<guy>Lee?<w5>.<w5>.<w21>.Lee!?
<tenten>「リー！　もう　そのくらいに|してあげたら？」=<tenten>Lee! Don't you think you should give it a rest?
<lee>「テンテン！　あまえは　きんもつです！|さぁ　いきますよ！！」=<lee>Come on Tenten! You must join me!
<guy>（そろそろ　せいしゅんも　ムリな|としかな<w5>・<w5>・<w5>・）=<guy>(There is just no stopping the power of youth!)
<tenten>「フフフ・・・」=<tenten>I'm coming.....
