<symbol3A><small_sasuke>「ぐあっ！！」=
<symbol3A><small_sasuke>（なんだ！？　このしょうげきは？）=
<symbol3A><small_sasuke>（まさか　ナルトの術が|オレのカラダに　かすったからなのか？）=
<symbol3A><small_sasuke>「ナルト<w5>・<w5>・<w5>・<w21>|おまえは　いったいどこまで<w5>・<w5>・<w5>・」=
<symbol3A><small_sasuke>（いままでオレは<w5>・<w5>・<w5>・<w21>|なにをしていたんだ）=
「！！」=
<symbol3A><small_sasuke>「なんのマネだ？」=
<kakashi>「こーでもしないと　おまえ　にげちゃうでしょ|すなおに　せっきょうきくタイプじゃないしね」=
<symbol3A><small_sasuke>「チッ・・・」=
<kakashi>「サスケ<w5>・<w5>・<w5>・<w21>|ふくしゅうなんて　やめとけ」=
<kakashi>「ま！<w16>　こんな　しごとがら　おまえのような|やつは　くさるほどみてきたが」=
<kakashi>「ふくしゅうを　くちにしたやつのさいごは|ロクなもんじゃない<w21>・<w5>・<w5>・<w5>　ひどいもんだ」=
<kakashi>「いまよりもっと　じぶんを　きずつけ|くるしむことに　なるだけだ」=
<kakashi>「たとえ　ふくしゅうに　せいこうしたとしても|のこるものは　むなしさだけだ」=
<symbol3A><small_sasuke>「アンタに　なにがわかる！！　しったような|ことを　オレのまえで　いってんじゃねーよ」=
<kakashi>「まぁ・・・<w16>　おちつけ」=
<symbol3A><small_sasuke>「なんなら　アンタの　だいじなにんげんを|きずつけてやろうか！」=
「いま　アンタがいったことが　どんだけ|ズレてるか　じっかんできるぜ！」=
<kakashi>「そうして　もらっても　けっこーだがな・・・|オレには　ひとりも　いないんだよ」=
<symbol3A><small_sasuke>「！」=
<kakashi>「もう<w5>・<w5>・<w5>・<w21>　みんな　しんでる」=
<kakashi>「オレも　おまえより　ながく　いきてる|じだいも　わるかった」=
<kakashi>「・・・うしなう　くるしみは|イヤってほど　しってるよ」=
<kakashi>「ま！<w16>　オレもおまえも　ラッキーなほう|じゃない・・・　それは　たしかだ」=
<kakashi>「でも　さいあくでもない」=
<kakashi>「オレにも　おまえにも　もう|<blue>“たいせつな　なかま”<black>が　みつかっただろ」=
<symbol3A><small_sasuke>「・<w5>・<w5>・<w5>・<w5>・<w5>・」=
<kakashi>「うしなったからこそ　わかる」=
「“千鳥”は　おまえに　たいせつなものが|できたからこそ　あたえたチカラだ」=
<kakashi>「そのチカラは　なかまに　むけるものでもない|なんのために　つかうチカラか・・・」=
<kakashi>「おまえならわかっているハズだ」=
<kakashi>「オレのいってることが　ズレてるかどうか|よく　かんがえろ！」=
<symbol3A><small_sasuke>（ちくしょう・・・<w21>　ちくしょう・・・）=
<symbol19><small_sasuke3>「そろそろ　いくか」=
<symbol3A><small_sasuke>「なにもんだ？　おまえら！？」=
<kidomaru>「<blue>音の四人衆（おとのよにんしゅう）<black>|東門（とうもん）の　<blue>鬼童丸（キドウマル）<black>」=
<sakon>「おなじく　西門（せいもん）の|<blue>左近（サコン）<black>」=
<jirobo>「おなじく　南門（なんもん）の|<blue>次郎坊（ジロウボウ）<black>」=
<takuya>「おなじく　北門（ほくもん）の|<blue>多由也（タユヤ）<black>」=
<symbol3A><small_sasuke>「オレは　いま　きげんがわるいんだ|やるきなら　てかげんしねーぜ」=
<sakon>「はっ！<w16>　よえーくせに　ピーコラ|いってんじゃねーぞ」=
<sakon>「忍者ってのは　うしろとられたら|だめなんだろ？<w16>　あ？」=
<symbol3A><small_sasuke>（な・・・<w21>　なに！？<w21>　コイツ　なんて|スピードしてやがるんだ！？）=
<sakon>「いいおと　かなでろよ！」=
<symbol3A><small_sasuke>「ぐあっ！！」=
<sakon>「フン！　こんなよえーやつが|なんでほしーのかねェ　大蛇丸さまも・・・」=
<sakon>「これじゃ　<blue>“君麻呂（キミマロ）”<black>のほうが|よかったぜ」=
<symbol3A><small_sasuke>（お<w5>・<w5>・<w5>・<w21>　大蛇丸だと！？　それに|こいつ　いったい　どんなこうげきを！？）=
<sakon>「まぁ　こんな　クズみたいな里にいても|おまえは　なみのにんげんどまり」=
<sakon>「つよくは　なれねー」=
<sakon>「なかまと　ぬくぬく　忍者ごっこじゃ|おまえは　くさるいっぽうだぜ」=
<takuya>「ウチらと　いっしょにこい！|そうすれば　大蛇丸さまが　チカラをくれる」=
<symbol3A><small_sasuke>（大蛇丸が　チカラを！？）=
<sakon>「・・・で　どうすんだよ！？」=
「ハッキリしよーぜ！　グズグズしてんじゃ|ねーよ！！　くるのか？　こねーのか？」=
<sakon>「・・・とはいえ　ムリヤリつれてっちゃあ|イミがねーらしいからな・・・」=
<sakon>「大蛇丸さまも　めんどくせー・・・　こんな|よえーやつ　サッサとやっちまいたくなるぜ」=
<symbol3A><small_sasuke>「やってみろ<w5>・<w5>・<w5>・」=
<sakon>「フン！　<blue>“呪印”<black>でも　つかうつもりか？」=
<sakon>「オレらぜんいん　大蛇丸さまから呪印を|あたえられてる・・・　しかも　おまえは」=
<sakon>「<blue>じょうたい１<black>だが　オレらは　<blue>じょうたい２<black>|までなれるぜ！　それでも　やるか？」=
<sakon>「呪印は　ホイホイつかうもンじゃねーぜ|呪印はじょじょに　カラダを　しはいしていく」=
<sakon>「カラダのすべてを　しはいされたら・・・|じぶんを　なくすぜ！　ずーっとな」=
<symbol3A><small_sasuke>「・<w5>・<w5>・<w5>・<w5>・<w5>・」=
<takuya>「呪印で　チカラをてにいれた　かわりに|大蛇丸さまに　しばられている」=
<takuya>「ウチらに　もはや　じゆうなどない」=
<takuya>「なにかを　てにいれるには|なにかを　すてなければ　ならない」=
<takuya>「おまえの　もくてきは　なんだ？」=
<takuya>「このなまぬるい里で　なかまと　キズの|なめあいでもして　わすれてくらすのか？」=
<takuya>「うちはイタチの　ことを・・・」=
<sakon>「もくてきを　わすれるな！　この里は|おまえにとって　おもににしかならない」=
<sakon>「くだらねェ　つながりも|プチンとすりゃ　いんだよ」=
