<naruto><instant>「そこだっ！！」=
<narrator>「ニャー」=
<naruto>「フッ<w16>・<w16>・<w16>・<w16>　きまった」=
<naruto>（オレのなまえは　<blue>うずまきナルト<black>|しょうらい　火影になる　スーパー忍者だ！）=
<sasuke>「フン・・・<w16>　このウスラトンカチ　おまえが|ヘマしなけりゃ　さっさとおわったってのに」=
<naruto>「サスケ！　テメェは　いっつもいっつも|ひとことおーいんだよ<blue>◎◎<black>」=
<naruto>（このスカしたやつは　<blue>うちはサスケ<black>|オレのいっちばーん　きらいなやつ！！）=
<sakura>「ナルト！　ちゃんとつかまえたの？」=
<naruto>「サクラちゃん！！」=
<naruto>（このおんなのこは　<blue>春野（はるの）|サクラ<black>ちゃん！　オレがすきな　おんなのこ）=
<sasuke>「サクラ！　ネコならここにいる・・・」=
<sakura>「さっすが　サスケくんね！|ナルトとは　おおちがい！」=
<sasuke>「ま・・・　どだい　ドベには|むりな　はなしだな」=
<naruto>「な・・・<w21>　なんだとォ！！」=
<sasuke>「ドベには　むりだ　<w16>・・・といったんだ」=
<naruto>「こォら　サスケェ！　しょうぶだ　コラ！！」=
<sasuke>「フン・・・　やる気か？」=
<kakashi>「おまえたち　なにしてんの？|ネコをほかくしたら　さっさとかえるぞ」=
<naruto>（このちょっと　あやしい　かみがたのひとは|<blue>はたけカカシ<black>先生（せんせい）・・・）=
<naruto>（オレたち　第７班（だいななはん）の|担当上忍（たんとうじょうにん）なんだ！）=
<sasuke>「さっさとしろ　このドベ！」=
<naruto>「ドベ　ドベって　さっきから|うるせーんだよ　サスケ！」=
<naruto>「オレは　もう　ドベなんかじゃねー！！|きょうここで　ハッキリさせてやらぁ！」=
<sasuke>「フン・・・<w16>　おもしろい」=
<sasuke>「やるなら　死ぬ気（しぬき）で|かかってこい！！」=
<sakura>「もー　わたし　しらないからね！！」=
<kakashi>「ハァ<w16>・<w16>・<w16>・」=
<naruto>「へっ！　なら　|えんりょなく　いくってばよ！！」=
<kakashi>「・・・それはそうと　ナルト！<w21>　おまえ|<blue>戦闘（せんとう）<black>のしかた　しってるのか？」=
<narrator><instant>　しらない|　しってる<0B>=
<naruto>「戦闘のしかた？　なんだそれ？？」=
<kakashi>「ま！　それは　戦闘にはいってから|せつめいするから！」=
<naruto>「わかったってばよ！」=
<sasuke>「フン・・・　またせやがって」=
<naruto>「うぉらぁ！！　あばれるぜェ！！！！」=
<naruto>「そのくらい　しってるってーの！！」=
<kakashi>「ま！　そんなこといっても　戦闘に|はいったら　せつめいさせてもらうけどな！」=
<sasuke>「フン・・・　さっさとかかってこい|このウスラトンカチ！」=
<naruto>「おのぞみどおり　いってやらぁ！」=
<sakura>「ホラ！　・・・やっぱりね　ナルトごときが|サスケくんに　かないっこないのよ！」=
<kakashi>（サスケのほうが　まだうえか・・・）=
<sasuke>「へっ・・・<w16>　ザマあねェな」=
<sasuke>（しょせんは　ナルト<w21>|・・・やはり　このていどだ）=
<sasuke>（砂隠れとたたかったとき　みせたチカラは|オレの　おもいすごしか・・・）=
<naruto>「くっそーー！！」=
<naruto>（なんで　こんなにちがうんだ！？|オレだって　つよくなってるはずなのにィ）=
<naruto>（くそ！　くそ！　くそっ！！|もっと　つよくなりてェ<w16>・<w16>・<w16>・）=
<naruto>（サスケの　千鳥（ちどり）みたいな・・・|すっげェ術かなんか　おぼえねーと）=
<naruto>（あいつには<w16>・<w16>・<w16>・<w16>　そうだ！！）=
<naruto>「あのさ！　あのさ！　カカシ先生ェ！」=
<kakashi>「ん？　なんだ　ナルト？」=
<naruto>「里にかえるまえに　ちーっとだけ|修業（しゅぎょう）つけて！　ね！　ね！」=
<kakashi>「ダーメ！　任務がおわったら　さっさとかえる|これ　忍（しのび）のてっそく！！」$=
<naruto>「えー　なんで！？　ちっとくらい　いーじゃん|カカシ先生の　ケチ！！」=
<sakura>「ナルト！　アンタねェ<w5>・<w5>・<w5>・<w5>　いま木ノ葉は|忍がたりなくて　たいへんな　じきなんだから」=
<sakura>「下忍（げにん）の　わたしたちでさえ|任務が　いーっぱいなんだからね！」=
<naruto>「それは　わかってるけどぉ・・・|でもさ！　でもさ！　ちっとぐらい<w5>・<w5>・<w5>・」=
<sakura>「しつこい！！」=
<sasuke>「フン・・・　じぶんで　修業して|つよくなりゃあ　いいだろーが」=
<naruto>（ぜってー　つよくなってやる！|こいつよか　ぜってー　つよくなってやる！！）=
<sakura>「ナルト？　アンタ　なにしてんの？|任務しゅうりょうの　ほうこくにいくわよ」=
<naruto>「ほうこくぅ？？」=
<sakura>「まさか　どこに　ほうこくしにいくか|わからない　っていうんじゃないでしょうね」=
<narrator><instant>　そのとおり|　もちろん　しってる<0B>=
<naruto>「や<w5>・<w5>・<w5>・<w21>　やだなぁ　サクラちゃん|そのくらい　しってるってばよォ？」=
<sakura>「ナルト・・・<w21>　こえが　うわずってるわよ！|しょうがない　おしえてあげるわ」=
<sakura>「任務がおわったら　かならず　忍者学校にある|<blue>依頼受付所（いらいうけつけじょ）<black>にいくの」=
<sakura>「そこで　任務しゅうりょうのほうこくと|ほうしゅうを　うけとるのよ」=
<sasuke>「いうまでもないが　ほうしゅうは|おかねのことだからな・・・」=
<sakura>「また　依頼受付所は　いろんな任務を|ひきうけることができるわ」=
<sakura>「よーするに　任務のはじめとおわりは|依頼受付所にいかないと　ダメってわけ」=
<sakura>「それから　任務ちゅうの　ちゅういてんが|あるんだけど・・・　ききたい？」=
<naruto>「もっちろん　しってるってばよ！　<blue>依頼受付所|（いらいうけつけじょ）<black>に　いくんだってば」=
<naruto>「そこで　任務しゅうりょうほうこくをして|ほうしゅうを　うけとるんだってばよ！」=
<sakura>「ナルトにしては　じょうできね！」=
<sakura>「じゃあ　任務ちゅうの　ちゅういてんは？|しってる？　それとも　ききたい？？」=
<narrator><instant>　ききたい|　ききたくない<0B>=
<naruto>「もっちろん　ききたいってばよ！|おせーて！　サクラちゃん！！」=
<sakura>「里いがいでは　てきにそうぐうすることが|おおいわ！　もちろん　キズつくこともある」=
<sakura>「そんなときは　いたるところにある|<blue>“木ノ葉マーク”<black>のうえに　のればいいわ」=
<sakura>「キズついた　<blue>スタミナ<black>や<blue>チャクラ<black>を|かいふくすることが　できるの」=
<sakura>「ゆうこうにつかって　レベルをあげて|また任務に　もどらなきゃね」=
<sakura>「任務にもどるといえば　<blue>セレクトボタン<black>を|おすと　任務のきろくをすることができるわ」=
<sakura>「これを　<blue>セーブ<black>というんだけど　きけんな|任務のまえには　セーブしておくほうがいいわ」=
<sakura>「ざっと　こんなものかしら・・・」=
<kakashi>「下忍に　なりたてのころに　くらべたら|サクラも　せいちょうしたなぁ」=
<sakura>「えへへ・・・」=
<naruto>「そのくらい　オレだって|わかってるってばよ！」=
<sakura>「あ・・・<w16>　そう・・・<w16>|じゃあ　いってみなさいよ！」=
<naruto>「キズついたときは　<blue>“木ノ葉マーク”<black>の|うえにのって　かいふくする！」=
<naruto>「きけんな任務のまえには<blue>セレクトボタン<black>を|おして　<blue>セーブ<black>して　あんぜんをかくほする！」=
<kakashi>「下忍に　なりたてのころに　くらべたら|ナルトも　せいちょうしたなぁ」=
<naruto>「へへっ・・・」=
<sasuke>「・・・・・・」=
<kakashi>「それじゃ　カカシたい第７班|木ノ葉隠れの里に　きかんする！！」=
<naruto>「りょうかい！！」=
