<akamaru>「ワン！　ワン！」=<akamaru>Woof woof!
<kiba>「サスケのニオイと　それと　べつに３にん|そして　血（ち）のニオイだ」=<kiba>He said he's detecting Sasuke's scent along with three others...and the smell of blood.
<shikamaru>「血<w5>・<w5>・<w5>・<w5>　やつら　せんとうでもしたのか？<w21>|ほかに　ニオイはねーのか　キバ？」=<shikamaru>Did they get into a fight, then?<w21> Are there any other scents?
<kiba>「ああ・・・<w21>　しねーな」=<kiba>No...<w21>I don't think so.
<shikamaru>「せんとうちゅうでは　ないってことか」=<shikamaru>So that means they're no longer in battle.
<neji>「キズついてるのか　それともさっきの|デカイヤツのように　まちぶせしてるのか」=<neji>They could be waiting for us just like that large guy.
<neji>「白眼（びゃくがん）！！」=<neji>BYAKUGAN!!
<neji>「・<w5>・<w5>・<w16>つかまえた」=<neji>.<w5>.<w5>.<w5>I got them.
<symbol37><small_neji>「てきは　やすんでいる」=<symbol37><small_neji>They're currently resting.
<naruto>「よっしゃあ！|サスケは　ぜってぇ　つれもどす！」=<naruto>Alright! We should go get Sasuke!
<kiba>「ナルトにゃ　わりーが　オレがきめるぜ」=<kiba>Hate to burst your bubble, but this ain't all about you.
<choji>「ボクだって！」=<choji>Yeah!
<shikamaru>「あせんなよ・・・　いまから　ゆっくり|やつらに　ちかづく」=<shikamaru>Calm down, you guys! We should approach them undetected before anything else.
<sakon>「チィ<w5>・<w5>・<w5>・<w16>　いそいでるってのに　タラタラ|きゅうそくしなきゃ　なんねーとはな」=<sakon>Tch<w16>, we can't afford any more delays...this rest is unnecessary.
<takuya>「しかたねーだろ　“じょうたい２”になった|あとは　すぐには　うごけねー」=<takuya>We have no choice, we had to fight them at our second stage.
<kidomaru>「上忍ふたりに　でくわしたんだから|しかたねーぜよ　かげんすりゃ　やられる」=<kidomaru>It didn't help that our opponents were two Jonins, either. We need to get back our strength, that's a fact.
<lee>「だれかとたたかって　ケガをしてる|・・・とみて　まちがいなさそうですね」=<lee>It seems they were fighting, and used up their power.
<naruto>「なぁ！　なぁ！　サスケは？<w16>|サスケが　いねーぞ！」=<naruto>Hey hey! Isn't Sasuke there with them?
<kiba>「あ！？　サスケのニオイなら　ちゃんと|あいつらのほうから　してるぜ」=<kiba>It's right in the midst of all of their scents, if anything.
<neji>「フン・・・　どうやら　あの“かんおけ”の|なかのようだな」=<neji>So he's what's lying inside that box of theirs.
<shikamaru>「まさか　やられたってのか！？」=<shikamaru>Could they have hurt him!?
<neji>「かんおけに　けっかいが　はってあるらしい|白眼でも　なかが　みえない」=<neji>I can see that the box contains someone, but my Byakugan can't reach into it.
「サスケを　ほしがっていたやつらが|かんたんに　やつをしまつするとはおもえない」=They've went this far to capture him, so I don't think they intend to kill him.
<shikamaru>「それも　そうだな・・・」=<shikamaru>You have a point.
<sakura>「シカマル・・・<w21>　どうする？」=<sakura>What should we do, Shikamaru?
<shikamaru>「オレが　さっきのデカイやつにへんげして|あいつらの　きをひく・・・　そのスキに」=<shikamaru>I'll come up to those three while transformed into the big guy.
<shikamaru>「いっきに　こうげきをしかける！|もし　てきが　ふたてにわかれたら」=<shikamaru>Once I get there I'll go on the offensive.
<shikamaru>「ネジをリーダーとして　キバ　チョウジ|サクラがチームとなり　おいかける」=<shikamaru>While I'm gone, and if anything bad were to happen, I want Neji as the leader and the rest to come back me up.
<shikamaru>「わかったか？」=<shikamaru>You understand?
<naruto>「りょーかい！」=<naruto>Roger that!
<sakon>「・<w5>・<w5>・<w21>ったく　次郎坊のやつ|おそいな」=<sakon>.<w5>.<w5>.<w21>Damn it, Jirobo is late!
<kidomaru>「・・・イヤ　もう　きたぜよ」=<kidomaru>...Speak of the devil.
<takuya>「このデブ！　チンタラしてんじゃねーぞ！|さっさと　かんおけをはこびやがれ！」=<takuya>You're late fatso! Come on and carry the coffin, already!
<takuya>「それが　てめーの　しごとだろ！|このゲスチンヤローが！！」=<takuya>Don't forget that's your only use, you fat bastard!
<jirobo>「・<w5>・<w5>・<w5>ああ」=<jirobo>.<w5>.<w5>.<w5>Yes of course.
<takuya>「・・・・・・？？」=<takuya>...??
<kidomaru>「なんぜよ　次郎坊・・・　きょうは|やけに　すなおだな<w5>・<w5>・<w5>・」=<kidomaru>You sure are eager to do some heavy lifting today.
<jirobo>「なにがだ？」=<jirobo>Your point being?
<kidomaru>「かんおけを　わたすわけにゃ　いかねーって|いってんぜよ！」=<kidomaru>I won't be handing you that coffin!
「・・・てめーは　次郎坊じゃ　ねーからな！」=...Cuz you're not even the real Jirobo!
<jirobo>「チィ<w5>・<w5>・<w5>・」=<jirobo>Tch<w5>.<w5>.<w5>.
<kidomaru>「オレにやらせろよ！　左近　多由也<w5>|おまえらは　さきいってろ！」=<kidomaru>I'll take care of this fake! You two go on ahead!
<sakon>「やっぱ　オレらんなかでいちばんよえーやつに|まちぶせさせたのは　しっぱいだったな」=<sakon>So you want to save for me the strongest of these weak chumps? How delightful.
<sakon>「多由也　いくぞ！|チャッチャとかたづけて　おいつけよ！」=<sakon>Let's go on ahead, Tayuya. He can take care of himself.
<kidomaru>「ああ・・・」=<kidomaru>Hmph...
<kidomaru>「次郎坊は　多由也のことばづかいを|いつも　ちゅういするぜよ」=<kidomaru>The real Jirobo always stood up to Tayuya's slurs.
<shikamaru>「・・・なるほどね」=<shikamaru>Oh I getcha...
<shikamaru>（・・・が　まだ　さくせんどおり|もんだいねぇ・・・）=<shikamaru>(I’ve still got my backup plan...)
<kidomaru>「おまえの変化の術は　よきょうにもならねェ|クソゲーいか　ぜよ！」=<kidomaru>Your transformation Jutsu was so laughably bad! So don't go around playing these shitty games with me again!
<kidomaru>「さっきつかまえた　ザコキャラもな！！」=<kidomaru>Unless you wanna end up like your friends, then be my guest.
<shikamaru>「なに！？」=<shikamaru>What!?
<shikamaru>「おい　ネジ！　チョウジ！　キバ！　サクラ！|おまえら　いったい<w5>・<w5>・<w5>・」=<shikamaru>What happened to you guys!?
<sakura>「ごめん　シカマル！　みえない　いとにあしを|からめとられて　あのふたりを　おえなかった」=<sakura>We got trapped by some invisible thread!
<akamaru>「クゥ～ン」=<akamaru>Whiiine...
<kiba>「どうやら　アイツはさっきのデブより|つよいらしいぜ・・・　それも　かなりな」=<kiba>This guy's way stronger than the fatso...I can say that for sure.
<shikamaru>「・・・チッ」=<shikamaru>...Tch.
<kidomaru>「かんたんなゲームの　ザコキャラは|すぐにやられる　うんめいだ」=<kidomaru>Having you all here to play my lovely game is a nice spin of fate.
<kidomaru>「おまえらは　オレに　かてない|そして　このさきには　すすめない」=<kidomaru>The rules are simple: You guys die trying to defeat me, and I can mind my own business and catch up to the rest.
<shikamaru>「さくせんへんこうだ！　こいつを　さっさと|かたづけて　サスケを　おいかけるぞ！」=<shikamaru>Change in plans! We'll charge ahead and shut this guy up!
<naruto>「りょーかい　だってばよ！」=<naruto>We're on it, believe it!
<kidomaru>「いいだろう・・・|オレも　ほんきでいこう・・・」=<kidomaru>Fine by me. Guess I'll have to take you all seriously now.
<neji>「“ザコキャラは　すぐに　やられる|うんめいだ”　おまえは　そういったな」=<neji>You said “having us all here to play your lovely game is a nice spin of fate”...
<neji>「このじょうきょうを　みろ・・・　うんめい|なんて　だれかが　きめるもんじゃない」=<neji>It's such a shame to see your fate was to lose this game.
<kidomaru>「つよがっても　もう　ながれをとめることは|できやしねーよ」=<kidomaru>You might be strong, but you're still gonna lose in the long run.
「サスケさまは　じぶんからのぞんで|“音”へはしった・・・」=Sasuke went with us of his own will, after all.
<naruto>「うるせー！　そんなことしるか！|やってみなきゃ　わかんねーってばよ！！」=<naruto>Shut it, you! We won't know unless we ask him ourselves!
<neji>「おまえのいうとおり　サスケは　いま|・・・やみのなかに　いる」=<neji>It's just like you said. Sasuke is now walking a path of darkness.
<neji>「・・・しかし　サスケを　やみから|みつけだし　すくいだせる　やつがいる」=<neji>And it is our duty to show him the light at the end of the tunnel.
<kidomaru>「サスケさまは　大蛇丸さまのものだ|たとえだれであっても　すくいだせない」=<kidomaru>Sasuke belongs to Lord Orochimaru! He knows where he belongs!
<kidomaru>「だれであってもな！」=<kidomaru>Your efforts are pointless!
<naruto>「ぐっ・・・」=<naruto>Ugh...
<neji>「すくいだせるさ・・・」=<neji>He's wrong...
