<naruto>「なんだ　ここ<w5>・<w5>・<w5>・<w21>　なーんもなくて|ガランとしてるってばよ」=<naruto>What is this place.<w5>.<w5>.<w5>?|It gives me the creeps.
<shikamaru>（やーなかんじがすんな<w5>・<w5>・<w5>・<w21>　こんなとこ|はやく　とおりすぎるに　こしたこたぁねぇ）=<shikamaru>(I have a very bad feeling about this room...<w21> We need to get out!)
<shikamaru>「おい　ナルト！　はやいとこ|さきに　すすむぞ」=<shikamaru>Naruto! Let's just get going!
<shikamaru>「！？」=<shikamaru>!?
<naruto>「だれだ　てめーは！？」=<naruto>Who are YOU!?
<kimimaro>「もと音の“五人衆（ごにんしゅう）”・・・|地（ち）の　君麻呂（キミマロ）」=<kimimaro>I am of the former Sound Five... Kimimaro of the Earth.
<sakura>「えっ！？　五人衆！！　だってあいつら|四人衆って　いってたじゃない・・・」=<sakura>Huh!? Sound FIVE!? I thought there were only four of them!?
<shikamaru>（チィ・・・<w21>　大蛇丸のほかに|まだ　やっかいなやつが　いやがったのか）=<shikamaru>(Tch...<w21> That bastard had more of these freaks up his sleeve?)
<akamaru>「クゥ～ン・・・」=<akamaru>Rrrrrruff...
<kiba>（こんな　赤丸をみるのは|はじめてだぜ・・・）=<kiba>(This is the first time I've seen Akamaru so scared...)
<kiba>「こいつは　いままでのやつらとは|ケタちがいに　つよいぜ・・・」=<kiba>This guy’s on a whole other level compared to the others...
<kimimaro>「ほかの４にんが　あまりにも　よわいので|ボクが　きた<w5>・<w5>・<w5>・」=<kimimaro>They were too weak, so I had to be sent<w5>.<w5>.<w5>.
<kimimaro>「ここからさきへは　いかせない」=<kimimaro>I'm afraid I can't let you pass.
<naruto>「そーゆーわけには　いかねーんだよ！|オレは　サスケをつれもどすんだからな」=<naruto>You've got no choice in this, buddy! We're taking Sasuke back!
<kimimaro>「・<w5>・<w5>・<w21>あれは　たいせつな|ゆめの器（うつわ）<w5>・<w5>・<w5>・」=<kimimaro>He is Lord Orochimaru's precious vessel.<w5>.<w5>.<w5>
<naruto>「ハァ！？<w16>　てめー！　なにわけわかんねーこと|いってんだ！！　サスケをかえせ！！」=<naruto>Huh? What are you babbling about!?
<kimimaro>「すべては　大蛇丸さまのため<w5>・<w5>・<w5>・<w21>|そのために　うちはサスケはひつようふかけつ」=<kimimaro>He is necessary to fulfill Lord Orochimaru's dream.
<symbol33><small_naruto>「大蛇丸は　なにがしてーんだ！？|なんで　サスケを　ねらうんだってばよ！？」=<symbol33><small_naruto>What is Orochimaru planning!? Why's he after Sasuke!?
<kimimaro>「・<w5>・<w5>・<w21>いいだろう　死ぬまえに|おしえておいてやる」=<kimimaro><w5>.<w5>.<w5>.<w21>Very well. You'll all be dead soon, so I shall tell you.
<kimimaro>「大蛇丸さまは　“不死（ふし）の術”・・・|つまり　死ぬことのない術を　てにいれている」=<kimimaro>Lord Orochimaru has already acquired the Immortality Jutsu,
<kimimaro>「すべての術を　てにいれ　よのすべてを|てにするには　ながいじかんが　ひつようだ」=<kimimaro>but a vast amount of time is needed to obtain every jutsu in this world.
<symbol33><small_naruto>「・・・？<w21>　それが　どう　サスケと|かんけいあんだよ！？」=<symbol33><small_naruto>...<w21>And what's that got to do with Sasuke!?
<kimimaro>「死ぬことはない・・・　といっても　カラダは|いつかは　としをとって　つかえなくなる」=<kimimaro>My lord may be immortal, but his body cannot maintain itself forever.
<kimimaro>「そうなるまえに　つよくあたらしいカラダに|じしんを　いどうさせねばならない」=<kimimaro>Before it rots, a new body must be made into a vessel for his soul.
<sakura>「大蛇丸のせいしんを　あたらしい“器”にいれ|それをくりかえし　大蛇丸は　いきつづける」=<sakura>Orochimaru plans to live forever by moving his soul into new bodies...!?
<symbol33><small_naruto>「その“器”が　サスケだってーのか」=<symbol33><small_naruto>And Sasuke's the new “vessel”, huh?
<kimimaro>「ああ<w5>・<w5>・<w5>・<w21>　そうだ」=<kimimaro>Yes... That is correct.
<symbol33><small_naruto>「そんなこと　オレが　させるか・・・」=<symbol33><small_naruto>I won't let that happen!
<kimimaro>「ひとは　なにか　いみがあって　うまれてくる<w21>|・・・なにかたいせつな　しめいをかかえて」=<kimimaro>I used to wonder why we are born...||What is the special reason for our existence?
<kimimaro>「それをみつけることが　かみに　あたえられた|にんげんの　ただひとつの　じゆうである」=<kimimaro>Until one day I realized that finding our purpose IS the meaning.
<kimimaro>「あたらしい“器”は　ボクが　かならず|ひきいれる・・・　このいのちに　かえても」=<kimimaro>And my purpose is to serve Lord Orochimaru and deliver this vessel.
<kimimaro>「それが　大蛇丸さまへの　おんがえし|やくたたずだったボクの　せめてものつぐない」=<kimimaro>That is the only way I can repay him for my shortcomings.
<symbol33><small_naruto>「つまり　サスケが　大蛇丸の“器”になり|おまえが　そのてだすけをする・・・」=<symbol33><small_naruto>So you're just here to stand guard, is that it?
<symbol33><small_naruto>「それが　かみがあたえた|しめいだっつーのかよ！　おめーは！！」=<symbol33><small_naruto>“Purpose to serve”, my ass!
<symbol33><small_naruto>「オレは　ぜってーみとめねぇ！　おまえを|ぶったおして・・・　サスケをとりもどす！」=<symbol33><small_naruto>I will stop you and get Sasuke back, believe it!
<kimimaro>「フフ<w5>・<w5>・<w5>・<w5>　おもしろい　<w21>・・・さて|どんなふうに　たおしてやろうか・・・？」=<kimimaro>Heh heh...<w5> Interesting. So tell me, how would you like to die today?
<shikamaru>「おまえ　このへんそくてきな術<w5>・<w5>・<w5>・<w21>|血継限界（けっけいげんかい）だろ」=<shikamaru>That strange jutsu you have... that's a Kekkei Genkai, isn't it!?
<kimimaro>「“かぐや”いちぞく<w5>・<w5>・<w5>・<w21>|いまや　ボクだけの　のうりょくだ」=<kimimaro>It is the ability of the Kaguya Clan.|I am the only one left.
<gaara>「いちぞくさいごの　ひとりか<w5>・<w5>・<w5>・<w21>　なら|きょう　ここで　いまからほろびる」=<gaara>So you're the last of your line... Then, it'll die here with you.
<kimimaro>「ボクは　ほろびはしない<w5>・<w5>・<w5>・<w21>　大蛇丸さまの|やぼうを　おてつだいした　そんざいとして」=<kimimaro>I will not die. As Lord Orochimaru's faithful servant...
<kimimaro>「ボクは　大蛇丸さまの　こころのなかに|えいえんに　いきつづける」=<kimimaro>I shall live on forever in his heart!
<gaara>「大蛇丸のせんのうか<w5>・<w5>・<w5>・<w21>|むなしいやつだ」=<gaara>Orochimaru's brainwashed you, huh? How pitiful...
<kimimaro>「せんのうではない・・・|あのかたは　ボクのりかいしゃだ」=<kimimaro>You're wrong! He is the only one who ever gave my life meaning!
<shikamaru>「！！」=<shikamaru>!!
<kimimaro>「おまえらに　なにがわかる！！」=<kimimaro>But how could the likes of you ever understand that!?
<lee>「・<w5>・<w5>・<w5>え？」=<lee>.<w5>.<w5>.<w5>Huh?
<shikamaru>「こいつ<w5>・<w5>・<w5>・<w21>　もう」=<shikamaru>He's<w5>.<w5>.<w5>.<w5>dead...
<gaara>「かんぜんに　やられてたな<w21>|・<w5>・<w5>・<w5>しかも　うしろを　とられるとは」=<gaara>He almost had us...<w21>|We should be dead.
<lee>「そんなこと　ありません！　ボクたちは|“うん”が　よかったんです」=<lee>No, that is not the case.|We were lucky!
<lee>「ボクの先生が　よくいってました|“うんも　じつりょくのうち”だって」=<lee>My Sensei always says that “luck is also a part of one's strength”.
<gaara>「あの　おせっかいやきか<w5>・<w5>・<w5>・」=<gaara>You mean that fool<w5>.<w5>.<w5>.
<lee>「おせっかいやきでは　ありません|先生にそんな　いいかたは　やめてください」=<lee>I must ask you to not badmouth my Sensei in my presence!
<gaara>「おまえもそうか<w5>・<w5>・<w5>・<w21>　じぶんが|しんじているひとが　わるくいわれたりすると」=<gaara>You too, huh...?
<gaara>「じぶんのあんぜんを　かんがえず　たたかう」=<gaara>You have someone in your life whom you honor and revere so much,
<gaara>「そのしんじているひとが|たいせつであれば　たいせつであるほど」=<gaara>that every hurt inflicted on them|is inflicted on you as well.
<gaara>「その　たいせつなひとのために　たたかう」=<gaara>And the more they mean to you,|the more it hurts.
<gaara>「さっきのやつも　うずまきナルト<w5>・<w5>・<w5>・<w21>|おまえと　おなじだったな」=<gaara>This boy, you, and Naruto Uzumaki...<w21> you have that in common.#added space for improved wordwrap
<naruto>「！？」=<naruto>!?
<gaara>「ただ　じぶんにとって　たいせつなひとが|“ただしく”あるとは　かぎらない」=<gaara>But, what if the one you look up to is not a virtuous person?
<lee>「わるいひとを　じぶんの　たいせつなひとと|おもうなんて　ありえません」=<lee>I don't believe an evil person could ever be a role model.
<gaara>「いや<w5>・<w5>・<w5>・<w21>　たとえ　それが　“わるい”と|わかっていても　ひとは　こどくにはかてない」=<gaara>No<w5>.<w5>.<w21>. Even if you know they're evil, maybe it's better than being alone.
<naruto>「・<w5>・<w5>・<w5>・<w5>・<w5>・」=<naruto>.<w5>.<w5>.<w5>.<w5>.<w5>.
<sakura>「サスケくんは　ぜったいにもどってくる|わたしも　ナルトも　それをしんじてる」=<sakura>I believe in Sasuke. I believe that we will bring him back.
<sakura>「ねえ<w5>・<w5>・<w5>・<w21>　ちがう？」=<sakura>We will...<w21>won't we?
<naruto>「・<w5>・<w5>・<w21>ちがわないってばよ」=<naruto><w5>.<w5>.<w5>.Yeah, we will.
<naruto>「オレは　サスケをつれもどす|そのためには　大蛇丸をたおす」=<naruto>We'll defeat Orochimaru and get Sasuke back, believe it!
<naruto>「いくってばよ！！」=<naruto>LET'S GO!!
