<kurenai>「カカシの　ようだいは？」=<kurenai>How's Kakashi doing?
<guy>「いぜん　いしきふめいだ<w5>・<w5>・<w5>・<w5>|綱手さまは　なんと？」=<guy>He hasn't regained consciousness yet...<w32> What did Lady Tsunade say?
<kurenai>「おおがかりな　しゅじゅつを　してらして|それがおわりしだい　ここへきてくださると」=<kurenai>She will be here as soon as she can.
<asuma>「そうか<w5>・<w5>・<w5>・<w5>　綱手さまが|きてくれるとなれば　あんしんだな」=<asuma>I see<w5>.<w5>.<w5>. With her coming we can rest our minds.
<kurenai>「それにしても　イタチの幻術はおそろしいわ|あのカカシを　ここまでにするなんて・・・」=<kurenai>Itachi's jutsu did quite the number on Kakashi...
<kurenai>「でも　イタチを　おわなくてよかったの？|ガイ！」=<kurenai>Are you sure we should have just let them go like that, Guy?
<kurenai>「かれらのねらいは|ナルトくん　なんでしょ？」=<kurenai>They said they were after Naruto, didn't they?
<guy>「<w5>・<w5>・<w5>・<w5>まぁ　ナルトにかんしては　三忍の|自来也さまが　ついているそうだから」=<guy>Well...<w32>yeah. But he's safe with Master Jiraiya at this moment.
<guy>「あいつらも　うかつに　てを|だせないだろう<w5>・<w5>・<w5>・<w5>　む？<w21>　だれかくる！」=<guy>They can't make any careless moves against him that's for sure. ...<w32>Hm? There's someone coming!
<sasuke>「カカシ・・・」=<sasuke>Kakashi...
<sasuke>「どうして　カカシが　ねてる？」=<sasuke>Why's he in bed?
<sasuke>「それに　上忍ばかり　あつまって|なにしてる<w5>・<w5>・<w5>・<w21>　いったい　なにがあった？」=<sasuke>And why is this room full of Jonin? <w5>.<w5>.<w5>.What happened to him?
<guy>「・・・ん<w21>　いや　べつに　なにも」=<guy>N-Nothing really.
<narrator>「おい！　あのイタチが　かえってきたって|はなしは　ほんとうか！？」=<narrator>Hey! Is it true that Itachi has returned!?
「しかも　ナルトを　おってるって・・・」=And that he's after Naruto?!
<narrator>「あっ！」=<narrator>Oops--!
<kurenai>「バカ・・・」=<kurenai>You idiot...
<sasuke>（アイツが　この里に　かえってきただと！？|しかも　ナルトをおっている！？）=<sasuke>(Is he really back in the village!? And he's after Naruto!?)
<sasuke>（どういうことだ！？　とにかく　アイツに|つかまれば　ナルトは　おわりだ・・・）=<sasuke>(There's no time to lose!)
<sasuke>（そんなこと　させるか！|ナルトを　みつけだして<w5>・<w5>・<w5>・<w16>　とめる！）=<sasuke>(I have to get to Naruto first, or he's toast!)
<guy>「なんで　こーなるのッ！！」=<guy>Why does this always happen!?
