<kurenai>「カカシの　ようだいは？」=How's Kakashi doing so far?
<guy>「いぜん　いしきふめいだ<w5>・<w5>・<w5>・<w5>|綱手さまは　なんと？」=He hasn't regained consciousness yet...<w32>What did Lady Tsunade say?
<kurenai>「おおがかりな　しゅじゅつを　してらして|それがおわりしだい　ここへきてくださると」=She will be here as soon as she can 
<asuma>「そうか<w5>・<w5>・<w5>・<w5>　綱手さまが|きてくれるとなれば　あんしんだな」=I see<w5>.<w5>.<w5>.with her coming we can rest our minds
<kurenai>「それにしても　イタチの幻術はおそろしいわ|あのカカシを　ここまでにするなんて・・・」=Itachi's Jutsu's done quite a lot on Kakashi...
<kurenai>「でも　イタチを　おわなくてよかったの？|ガイ！」=But thanks to Guy they fleed
<kurenai>「かれらのねらいは|ナルトくん　なんでしょ？」=They said they were after Naruto, weren't they?
<guy>「<w5>・<w5>・<w5>・<w5>まぁ　ナルトにかんしては　三忍の|自来也さまが　ついているそうだから」=Well...<w32>yeah. But he's safe with Master Jiraiya at this moment
<guy>「あいつらも　うかつに　てを|だせないだろう<w5>・<w5>・<w5>・<w5>　む？<w21>　だれかくる！」=They won't stand a chance against him that's for sure!......<w32>...<w32>Hm? There's someone coming!
<sasuke>「カカシ・・・」=Kakashi....
<sasuke>「どうして　カカシが　ねてる？」=Why's he in bed?
<sasuke>「それに　上忍ばかり　あつまって|なにしてる<w5>・<w5>・<w5>・<w21>　いったい　なにがあった？」=And why is he surrounded by the Jonin!?<w5>.<w5>.<w5>.what happened to him?
<guy>「・・・ん<w21>　いや　べつに　なにも」=N-Nothing really
<narrator>「おい！　あのイタチが　かえってきたって|はなしは　ほんとうか！？」=I just heard about Itachi coming back!! Is that really true!?
「しかも　ナルトを　おってるって・・・」=I hope Naruto's safe away from him...
<narrator>「あっ！」=And I oop!
<kurenai>「バカ・・・」=You idiot...
<sasuke>（アイツが　この里に　かえってきただと！？|しかも　ナルトをおっている！？）=(Is he really back in the village!? Is he after Naruto!?)
<sasuke>（どういうことだ！？　とにかく　アイツに|つかまれば　ナルトは　おわりだ・・・）=(Just what the hell is going on!? Anyways there's no time to waste, or Naruto's dead...)
<sasuke>（そんなこと　させるか！|ナルトを　みつけだして<w5>・<w5>・<w5>・<w16>　とめる！）=
<guy>「なんで　こーなるのッ！！」=Why did you come here? WHY!?
