<kiba>「ナルトじゃねーか！」=<kiba>Well, well, well, if it isn't Naruto!
<naruto>「キバ！！」=<naruto>Kiba!!
<naruto>「おめェ　こんなとこで|なにしてんだってばよ！」=<naruto>What're you doing here!?
<kiba>「それは　こっちの　セリフだっつーの！」=<kiba>I should be asking you the same thing!
<kiba>「オレたちは　任務のほうこくをおえて|依頼受付所から　でてきたとこだ」=<kiba>We just finished reporting on our progress at Mission Reception.
<kiba>「で？　おまえらは？？」=<kiba>What about you guys?
<naruto>「へへん！　オレってば|でんせつの三忍さがしっつう」=<naruto>Heh! Get this, we were tasked to find one of the Legendary Sannin!
<naruto>「チョー　じゅうような|任務をしてるんだってばよ！！」=<naruto>It's a top class mission, believe it!
<hinata>「ナ・・・　ナルトくん　すごい！」=<hinata>T-That's wonderful, Naruto!
<kiba>（ナルトのやつ　でんせつの|三忍さがしだと！？）=<kiba>(That slob's out there looking for one of the Sannin!?)
<kiba>（チィ・・・　このままだと|おいつくどころか　ひきはなされちまう）=<kiba>(Tch... At this rate we'll be left eating their dust!)
<akamaru>「クゥーン」=<akamaru>Woof, woof.
<kiba>「やっぱり　おまえも　そうおもうか！|赤丸（あかまる）！！」=<kiba>Guess you had the same thought, eh, Akamaru?
<naruto>「赤丸・・・　なんだってばよ？」=<naruto>What did he...just say?
<kiba>「オレは　おまえたちの任務に|ついていく」=<kiba>That I oughta join you guys on your mission!
<sakura>「ちょ・・・　ちょっと　まって！|そっちはそっちの班で　任務があるでしょ！」=<sakura>H-Hold up! I'm sure your team has other missions to take care of!
<sasuke>「おたがい　担当上忍が　いない・・・|といっても　かっては　ゆるされないはずだ」=<sasuke>It's true that we have no Jonin on our mission...|but that doesn't mean we can go about changing things ourselves.
<kiba>「もうすこししたら　シノは　おやじさんと|とくべつ任務に　かりだされるらしい」=<kiba>Well, Shino's heading out on some kind of special mission with his dad,
<kiba>「シノがいないあいだ　オレとヒナタは|里のなかで　たいき・・・」=<kiba>and with him gone, Hinata and I will just be stuck at home.
<kiba>「ふたりで　任務するっつってもなぁ・・・|できる任務なんて　かぎられちまう」=<kiba>It's not like we can do any useful missions as a two-man squad.
<kiba>「それならいっそ　おまえらについていきがてら|赤丸と修業するぜ！　オレは！」=<kiba>So Akamaru and I are tagging along, and that's final!
<hinata>「で・・・　でも　キバくん！　かってに|里のそとにでたら　やっぱり　まずいんじゃ…」=<hinata>B-But Kiba! We might be needed in case of an emergency!
<shino>「ヒナタのいうとおりだ　キバ|おまえは　里で　たいきするんだ」=<shino>Hinata makes a sound argument. You should stay in the village, Kiba.
<kiba>「だーっ！　もう！！|いくったら　いくんだよ！」=<kiba>I said I'm gonna go and that <w21>is <w21>final!
「里ンなかいたって　することねーしな|赤丸のカラダが　なまっちまう！」=Staying behind'll do us no good! Akamaru needs his exercise!
<akamaru>「ワン！　ワン！！」=<akamaru>Woof! Woof!!
<sakura>「で・・・　どうする？」=<sakura>So...what do you guys think?
<naruto>「くんな！　っつっても　キバのことだから|ついてきそーな　きがするってばよ」=<naruto>I don't think we have a choice. Kiba would just follow us anyway.
<sasuke>「どうかんだな・・・」=<sasuke>Agreed...
<kiba>「へっ！　きまったようだな！！」=<kiba>So I guess it's settled then!
<kiba>「ところで　ナルト！　おまえ　戦闘ンときの|キャラクターのいれかえとか　しってんのか？」=<kiba>By the way Naruto, do you know how to swap party members?
<narrator><instant>　しらない|　しってる<0B>=<narrator><instant>　Why would I?|　Yeah, I do.<0B>
<kiba>「つねに　戦闘（せんとう）にさんかできるのは|<blue>“せんぱつ”メンバー<black>の　３にんだけだ」=<kiba>So, as you already know, battles can only be carried out by your|<blue>main party <black>which consists of three members.
<kiba>「だが　なかまが３にんいじょういるときは|<blue>“ひかえ”メンバー<black>に３にん　おくことができ」=<kiba>But, if there's more than three people in your party,|you can set up to three more to act as your <blue>reserve<black> team.
<kiba>「せんとうちゅうに　<blue>“いれかえ”<black>ることが|できるんだぜ！」=<kiba>And better yet - you can <blue>change your party members on the fly<black>!
<kiba>「“いれかえ”は　せんとうちゅうに|<blue>Ｒボタン<black>をおすと　いれかえることができるし」=<kiba>You can set up your party under <blue>Members<black> in the <blue>Field Command<black> menu.
<kiba>「<blue>“フィールドコマンド”<black>で　<blue>“メンバー”<black>を|せんたくすると　いれかえできる」=<kiba>Then, during battle, press the <blue>R Button<black> to switch out a character.
<kiba>「また　せんとうちゅうに　せんぱつメンバーが|こうどうふのうに　なったときは・・・」=<kiba>Also, if an active member gets knocked out mid-fight,
<kiba>「“ひかえ”のメンバーが|じどうてきに　とうじょうすンぜ！」=<kiba>one of your reserve team will automatically step in to help!
<naruto>「オレってば　キバにおしえてもらわなくとも|そんくらいしってるってーの！」=<naruto>No need to flip your yapper because I know about it already!
<kiba>「ヘッ！　おしえてくれって　たのんだって|おしえてやんねーからな」=<kiba>Well good, 'cuz I didn't want to waste my time on you anyway!
<kiba>「しりたくなったら　忍者学校の|<blue>２０１きょうしつ<black>にいって　きけよ！」=<kiba>You can always review this over at <blue>Room 201<black>,| so don't go crying to me if you forget!
<sakura>「そろそろ　しゅっぱつしましょう！」=<sakura>Now that's settled, let's get moving!
<hinata>「ナルトくん・・・　わ・・・　わたしからも|ひとつ・・・　いいかな・・・」=<hinata>Naruto... I have something to explain to you...is that okay?
<naruto>「・・・なんだ？　ヒナタ！」=<naruto>What's up, Hinata?
<hinata>「<blue>“がったい忍術”<black>と　<blue>“がったいこうげき”<black>に|ついてなんだけど・・・　きいてくれるかな？」=<hinata>Do you want me to explain <blue>Combined Jutsus<black> and <blue>Combined Attacks<black>?
<naruto>「きく！　きくってばよ！」=<naruto>You bet I do! Tell me more!
<hinata>「とくていのなかまが　とくていの|たちいちにいたり・・・」=<hinata>Your friendships with your party members can have many positive
<hinata>「とくていのなかまが　とくしゅなこうかの|じょうたいにあるとき・・・」=<hinata>effects on you in battle.
<hinata>「きょうりょくな　“がったい忍術”を|つかうことが　できるばあいがあるの・・・」=<hinata>For example, if certain people are in a certain formation or state...
<hinata>「がったい忍術は　術をつかうふたりとも|チャクラをしょうひするから　きをつけて」=<hinata>you may be able to perform a Combined Jutsu together...
<hinata>「それに　どちらかのチャクラがたらなかったり|どちらかが　術をふうじられてると」=<hinata>However, using a Combined Jutsu will use both of your chakra.
<hinata>「がったい忍術は　つかうことが|できないから・・・」=<hinata>So both users must have enough chakra to perform the jutsu!
<hinata>「あっ・・・　あと　“がったいこうげき”|っていうのが　あるんだけど」=<hinata>I also have to tell you about Combined Attacks...
<hinata>「これは　なかまとの<blue>“あいしょう”<black>|つまり　なかよしどが　たかければ」=<hinata>When you and a comrade have good <blue>Chemistry <black>together,|you might spontaneously make a joint attack!
<hinata>「てきに　あたえるダメージが|おおきくなるんだって・・・」=<hinata>These deal twice the amount of damage on an enemy in one go!
<hinata>「こんな　かんじかな　・・・なんて」=<hinata>Well... I think that's...everything I had to say...
<naruto>「さんきゅー　ヒナタ！」=<naruto>You rock, Hinata!|Thank you so much!
<naruto>「わりーな　ヒナタ・・・|せつめいは　しなくていいってばよ」=<naruto>I'm really sorry, Hinata... Maybe you can tell me some other time?
<hinata>「あっ・・・　うん　そ・・・　そだね|も・・・　もし　またききたくなったら」=<hinata>Oh...um...it's alright... If you want to learn more about it later...
<hinata>「忍者学校の　<blue>２０１きょうしつ<black>に|いって　きいてね・・・」=<hinata>You can always go to <blue>Room 201<black>...
<sasuke>「おい！　もう　いくぞ！！」=<sasuke>Are you done yet?|We need to get going!
<naruto>「よーし　エロ仙人　とっつかまえてやる！」=<naruto>Alright! Let's go catch that Pervy Sage!
<hinata>「ナ・・・　ナルトくん・・・」=<hinata>N-Naruto, I...
<hinata>「あの・・・　その　えっと・・・|任務がんばってね・・・」=<hinata>I...wish you...the best of luck!
<naruto>「おう！！」=<naruto>Believe it!
<narrator><instant>　きく|　きかない<0B>=<narrator><instant>　Tell me!|　Some other time?<0B>
<narrator><instant><1312>キバが　なかまになった！=<narrator><instant><1312>Kiba has joined your party!
