<kiba>「ナルトじゃねーか！」=Well well well, if it isn't Naruto!
<naruto>「キバ！！」=Kiba!!
<naruto>「おめェ　こんなとこで|なにしてんだってばよ！」=What're you doing here!?
<kiba>「それは　こっちの　セリフだっつーの！」=I should be asking you the same thing1
<kiba>「オレたちは　任務のほうこくをおえて|依頼受付所から　でてきたとこだ」=We just finished reporting our mission over at the Mission Reception
<kiba>「で？　おまえらは？？」=What about you guys?
<naruto>「へへん！　オレってば|でんせつの三忍さがしっつう」=I bet you won't believe it when I tell you we're tasked to find one of the Legendary Sannin, eh Kiba?
<naruto>「チョー　じゅうような|任務をしてるんだってばよ！！」=It's a top class mission, believe it!
<hinata>「ナ・・・　ナルトくん　すごい！」=T-That's wonderful, Naruto!
<kiba>（ナルトのやつ　でんせつの|三忍さがしだと！？）=(That slob's out there looking for one of the Sannin!?)
<kiba>（チィ・・・　このままだと|おいつくどころか　ひきはなされちまう）=(Tch...at this rate we'll be left biting their dust!)
<akamaru>「クゥーン」=Woof Woof
<kiba>「やっぱり　おまえも　そうおもうか！|赤丸（あかまる）！！」=Guess the same idea's going on in your head, eh Akamaru?
<naruto>「赤丸・・・　なんだってばよ？」=What did he...just say?
<kiba>「オレは　おまえたちの任務に|ついていく」=That I oughtta join you guys on your mission!
<sakura>「ちょ・・・　ちょっと　まって！|そっちはそっちの班で　任務があるでしょ！」=H-Hold up for a second! I'm sure your team has other missions to take care of!
<sasuke>「おたがい　担当上忍が　いない・・・|といっても　かっては　ゆるされないはずだ」=It's true that we have no jonin on our mission, but we can't afford any unauthorized additions
<kiba>「もうすこししたら　シノは　おやじさんと|とくべつ任務に　かりだされるらしい」=Don't worry about us, Shino was sent on his own mission just now by the old dudes
<kiba>「シノがいないあいだ　オレとヒナタは|里のなかで　たいき・・・」=With Shino not around...Hinata and I would just be dead weight chilling at home
<kiba>「ふたりで　任務するっつってもなぁ・・・|できる任務なんて　かぎられちまう」=We can't do any useful missions as a two-man squad
<kiba>「それならいっそ　おまえらについていきがてら|赤丸と修業するぜ！　オレは！」=Akamaru and I are tagging along, and that's final!
<hinata>「で・・・　でも　キバくん！　かってに|里のそとにでたら　やっぱり　まずいんじゃ…」=B-But Kiba! As the only ones staying behind, we might be needed for emergencies!
<shino>「ヒナタのいうとおりだ　キバ|おまえは　里で　たいきするんだ」=Hinata makes a sound argument, Kiba. It's best you stay in the village
<kiba>「だーっ！　もう！！|いくったら　いくんだよ！」=I said I'm gonna go and that <w21>is <w21>it!
ることねーしな|赤丸のカラダが　なまっちまう！」=Staying behind'll do more harm than good! Akamaru needs his exercise, you know!
<akamaru>「ワン！　ワン！！」=Woof! Woof!!
<sakura>「で・・・　どうする？」=So...what do you guys think?
<naruto>「くんな！　っつっても　キバのことだから|ついてきそーな　きがするってばよ」=What's there to think? Kiba's sticking to us no matter what we say
<sasuke>「どうかんだな・・・」=I can't say much...
<kiba>「へっ！　きまったようだな！！」=So I guess it's settled then!
<kiba>「ところで　ナルト！　おまえ　戦闘ンときの|キャラクターのいれかえとか　しってんのか？」=By the way Naruto, do you know how to switch between fighting members?
<narrator><instant>　しらない|　しってる<0B>=Why would I?|Yeah I do<0B>
<kiba>「つねに　戦闘（せんとう）にさんかできるのは|<blue>“せんぱつ”メンバー<black>の　３にんだけだ」=So...as you already know, battles can only be carried out with your <blue>main party <black>which consists of three members
<kiba>「だが　なかまが３にんいじょういるときは|<blue>“ひかえ”メンバー<black>に３にん　おくことができ」=These three can sometimes get tired and will need backup members for sure. <blue>Backup Members <black> are also limited to three people
<kiba>「せんとうちゅうに　<blue>“いれかえ”<black>ることが|できるんだぜ！」=To sweeten the deal, though, you can <blue>change your party members on the fly<black>!
<kiba>「“いれかえ”は　せんとうちゅうに|<blue>Ｒボタン<black>をおすと　いれかえることができるし」=To do that, press the <blue>R Button <black>during the turn of the member you want to replace in battle.
<kiba>「<blue>“フィールドコマンド”<black>で　<blue>“メンバー”<black>を|せんたくすると　いれかえできる」=When you're outside of battle, you can just use the <blue>members <black>command to change up your party to suit your situation.
<kiba>「また　せんとうちゅうに　せんぱつメンバーが|こうどうふのうに　なったときは・・・」=When your main party gains experience...
<kiba>「“ひかえ”のメンバーが|じどうてきに　とうじょうすンぜ！」=Your reserves will gain battle experience along with them!
<naruto>「オレってば　キバにおしえてもらわなくとも|そんくらいしってるってーの！」=No need to flip your yapper any further, because I know about it already!
