<narrator>ここは　火の国（ひのくに）の|<blue>木ノ葉隠れの里（このはがくれのさと）<black>・・・=<narrator>This is <blue>the Village Hidden in the Leaves<black>, in the Land of Fire.
<blue>忍者学校（アカデミー）<black>の　おちこぼれだった　<blue>ナルト<black>は|サスケ　サクラとともに　はれて忍者（にんじゃ）になる=The resident troublemaker of the <blue>Ninja Academy<black>, <blue>Naruto Uzumaki<black> became a ninja along with his two comrades Sasuke and Sakura.
中忍（ちゅうにん）せんばつしけんにのぞんだ|ナルトたちは　<blue>大蛇丸（オロチまる）<black>のきしゅうにあい=During their Chunin Exams, they were ambushed by <blue>Orochimaru<black>.
大蛇丸は　サスケのカラダに　<blue>呪印（じゅいん）<black>を|のこして　すがたをけした・・・=Orochimaru planted a <blue>Curse Mark<black> on Sasuke, draining much of his strength...
ナルトとサスケは　“だい３のしけん”の|よせんをかちぬき　ほんせんにすすむ=Naruto and Sasuke passed the 3 tests needed for advancing to the finals.
サスケたい我愛羅（ガアラ）の　たたかいのとき|大蛇丸たちの<blue>“木ノ葉くずし”<black>がはじまった！！=When Sasuke was about to fight Gaara as his final opponent, Orochimaru invaded the Hidden Leaf Village in what is now known as the <blue>Destruction of the Leaf<black>.
ナルトたちは　バケだぬきに　かわった我愛羅をげきは！|そのころ　<blue>三代目火影（さんだいめほかげ）<black>は=Naruto, along with his comrades, defeated Gaara in his Shukaku form.
大蛇丸とのたたかいに　いのちをおとすが|“木ノ葉くずし”はしゅうけつし　里はまもられた・・・=Meanwhile the <blue>Third Hokage<black> was fighting Orochimaru, and gave his life in the process of defeating him, saving the Hidden Leaf Village...
<koharu>「わかった・・・　さがっていいぞ」=<koharu>I understand...|Let's begin the search.
<koharu>「<blue>砂隠れ（すながくれ）<black>が　木ノ葉にたいし|ぜんめんこうふくしたそうだ・・・」=<koharu>The <blue>Hidden Sand<black> has declared their complete surrender to us...
<homura>「いまさら　砂隠れとのかんけいなど|さほど　じゅうようではない」=<homura>That is of little consequence at this point.
<homura>「いま　木ノ葉隠れの力（ちから）は|おそろしいほどに　ていかしておる・・・」=<homura>The strength of Leaf Village has suffered an enormous blow.
<homura>「さいゆうせん　させねばならぬのは|さらなる　きけんをそうていした　じゅんびだ」=<homura>Which means, our top priority must be preparing for the next crisis.
<koharu>「まわりの国（くに）のいずれかが　いつ|だいたんな　こうどうにでるかもわからぬ」=<koharu>We do not know which land will try to take advantage.
<koharu>「まず　しんらいのおける|つよいリーダーが　ひつようだ」=<koharu>So our first order of action must be finding a strong  leader.
<koharu>「いまや　もめごとのタネは　そこらじゅうに|ころがっておる　・・・大蛇丸だけではない」=<koharu>We have many more forces to worry about, not just Orochimaru.
<homura>「うむ・・・　<blue>五代目火影（ごだいめほかげ）<black>は|いますぐにでも　ひつようだ！」=<homura>Yes... We must begin searching for the <blue>Fifth Hokage<black> immediately!
<koharu>「・・・やはり　<blue>あやつ<black>　・・・か？」=<koharu>...So...is it <blue>that person<black> you're thinking of?
<homura>「ほかに　だれもおらんであろう・・・|しかし　そのゆくえがわからん」=<homura>There is no one else capable... But we don't know where they are.
<koharu>「ときに　カカシたい　第７班（だいななはん）が|任務（にんむ）をおえる　ころではないか？」=<koharu>Isn't it about time for Kakashi's Team 7 to complete their mission?
<homura>「カカシたちに　あやつのそうさくを|させるつもりか？」=<homura>Are you thinking of sending them on the search mission?
<koharu>「あんじずとも　うずまきナルト　うちはサスケ|ならびに　春野（はるの）サクラの力は」=<koharu>The unexpected bond of friendship between Naruto Uzumaki, Sasuke Uchiha, and Sakura Haruno is quite a feat.
<koharu>「めざましく　せいちょうしておる|・・・<blue>火の意志（ひのいし）<black>を　ひきついでな」=<koharu>This friendship is what represents <blue>Will of Fire<black>, and what helps it carry on through.
<jiraiya>「そろそろ　いくぞ　ナルト」=<jiraiya>It's time to go, Naruto.
<naruto>「じゃーな！　綱手のバァちゃん！！」=<naruto>I'll miss you, Grandma Tsunade!
<tsunade>「ああ<w5>・<w5>・<w5>・<w21>　いってきな」=<tsunade>Please<w5>.<w5>.<w5>.take care.
<naruto>「みててくれ<w16>・<w16>・<w16>・」=<naruto>Just you watch...!
<jiraiya>「なにしてる　いくぞ　ナルト！」=<jiraiya>What's the hold up?|Let's get going!
<naruto>「オウってばよ！！」=<naruto>I'm coming!!
<tsunade>「この里には　たのもしい　こどもたちが|そだっている<w5>・<w5>・<w5>・」=<tsunade>The children of this village have come a long way...
<tsunade>「猿飛（さるとび）先生<w5>・<w5>・<w5>・<w21>　あなたはやはり|すばらしい　火影だった」=<tsunade>You were a wonderful Hokage, Sarutobi-sensei.
<tsunade>（あなたたちの　つくりあげた　木ノ葉隠れ|という　おおきな木を　たくされた　いじょう）=<tsunade>(Your shadow provided shade for the whole Leaf.)
<tsunade>（この里を　どんなきけんが　おそっても）=<tsunade>(This village has lived on safely because of you.)
<tsunade>（ちいさな　木ノ葉たちを　まもり|そだてるのが　わたしのやくめ）=<tsunade>(I'll carry on this legacy, and protect what you left.)
<tsunade>「火影は　たいへんだな<w16>・<w16>・<w16>・」=<tsunade>It's not easy being a Hokage<w16>.<w16>.<w16>.
<shizune>「なにかおっしゃいましたか？　綱手さま」=<shizune>Did you say something, Lady Tsunade?
<tsunade>「いいや<w5>・<w5>・<w5>・」=<tsunade>No, nothing...
<tsunade>（これからだな・・・<w21>|すべてがはじまるのは<w16>・<w16>・<w16>・）=<tsunade>(I guess this is all a new beginning for us all.)
<narrator>綱手が　ぶじ　里にもどり|里のくうきは　あわただしくなっていた<w16>・<w16>・<w16>・=<narrator>With Tsunade's return, the whole village was abuzz.
<narrator>綱手が　ぶじ　里にもどり|里のくうきは　あわただしくなっていた<w16>・<w16>・<w16>・=<narrator>With Tsunade's return, the whole village was abuzz.
<tsunade>「ここにくるまで　まちを　あるいてきたが|木ノ葉も　ずいぶんと　さまがわりしたね」=<tsunade>The village has changed quite a lot...
<koharu>「・・・いいな　綱手！<w21>　そうきゅうに|五代目火影のしゅうにんを　せんげんするのだ」=<koharu>Listen closely, Tsunade.||We must send word that that the Fifth Hokage has arrived.
<koharu>「里はいまから　その<blue>しゅうにん<black>の|じゅんびにはいる」=We will start preparations for the <blue>inauguration ceremony<black> at once.
<tsunade>「しゅうにんしきだの　なんだのって|めんどくさいねェ<w5>・<w5>・<w5>・」=<tsunade>Can't we just skip the ceremony? It's such a bore<w5>.<w5>.<w5>.
<shizune>「綱手さま！！」=<shizune>Lady Tsunade!!
<tsunade>「ハイハイ・・・　わかってますよ|これも　火影の任務　<w5>・<w5>・<w5>・<w21>ってか」=<tsunade>Yes, yes, I know... This is also the job of the Hokage.
<koharu>「里のものにつたえよ・・・<w21>|五代目火影を　ひろうせねばな」=<koharu>Inform everyone in the village... The Fifth Hokage is here!
<koharu>「みな　よくあつまってくれた！|これから　あたらしい火影を　しょうかいする」=<koharu>Thank you for coming, everyone. Today we welcome a new Hokage!
<homura>「綱手・・・<w16>　あいさつしなさい」=<homura>Tsunade... This is where you give your speech.
<shizune>「綱手さま・・・<w16>　がんばってください！！」=<shizune>(Lady Tsunade... I know you'll make us proud!)
<tsunade>「きょうから　あたしが|木ノ葉の里を　おさめる<w16>・<w16>・<w16>・」=<tsunade>From today, I will be the protector of this village...
<tsunade><instant>「五代目火影だ！！」=<tsunade><instant>The Fifth Hokage!
