<narrator>ここは　火の国（ひのくに）の|<blue>木ノ葉隠れの里（このはがくれのさと）<black>・・・=
<blue>忍者学校（アカデミー）<black>の　おちこぼれだった　<blue>ナルト<black>は|サスケ　サクラとともに　はれて忍者（にんじゃ）になる=
中忍（ちゅうにん）せんばつしけんにのぞんだ|ナルトたちは　<blue>大蛇丸（オロチまる）<black>のきしゅうにあい=
大蛇丸は　サスケのカラダに　<blue>呪印（じゅいん）<black>を|のこして　すがたをけした・・・=
ナルトとサスケは　“だい３のしけん”の|よせんをかちぬき　ほんせんにすすむ=
サスケたい我愛羅（ガアラ）の　たたかいのとき|大蛇丸たちの<blue>“木ノ葉くずし”<black>がはじまった！！=
ナルトたちは　バケだぬきに　かわった我愛羅をげきは！|そのころ　<blue>三代目火影（さんだいめほかげ）<black>は=
大蛇丸とのたたかいに　いのちをおとすが|“木ノ葉くずし”はしゅうけつし　里はまもられた・・・=
<koharu>「わかった・・・　さがっていいぞ」=
<koharu>「<blue>砂隠れ（すながくれ）<black>が　木ノ葉にたいし|ぜんめんこうふくしたそうだ・・・」=
<homura>「いまさら　砂隠れとのかんけいなど|さほど　じゅうようではない」=
<homura>「いま　木ノ葉隠れの力（ちから）は|おそろしいほどに　ていかしておる・・・」=
<homura>「さいゆうせん　させねばならぬのは|さらなる　きけんをそうていした　じゅんびだ」=
<koharu>「まわりの国（くに）のいずれかが　いつ|だいたんな　こうどうにでるかもわからぬ」=
<koharu>「まず　しんらいのおける|つよいリーダーが　ひつようだ」=
<koharu>「いまや　もめごとのタネは　そこらじゅうに|ころがっておる　・・・大蛇丸だけではない」=
<homura>「うむ・・・　<blue>五代目火影（ごだいめほかげ）<black>は|いますぐにでも　ひつようだ！」=
<koharu>「・・・やはり　<blue>あやつ<black>　・・・か？」=
<homura>「ほかに　だれもおらんであろう・・・|しかし　そのゆくえがわからん」=
<koharu>「ときに　カカシたい　第７班（だいななはん）が|任務（にんむ）をおえる　ころではないか？」=
<homura>「カカシたちに　あやつのそうさくを|させるつもりか？」=
<koharu>「あんじずとも　うずまきナルト　うちはサスケ|ならびに　春野（はるの）サクラの力は」=
<koharu>「めざましく　せいちょうしておる|・・・<blue>火の意志（ひのいし）<black>を　ひきついでな」=
<jiraiya>「そろそろ　いくぞ　ナルト」=
<naruto>「じゃーな！　綱手のバァちゃん！！」=
<tsunade>「ああ<w5>・<w5>・<w5>・<w21>　いってきな」=
<naruto>「みててくれ<w16>・<w16>・<w16>・」=
<jiraiya>「なにしてる　いくぞ　ナルト！」=
<naruto>「オウってばよ！！」=
<tsunade>「この里には　たのもしい　こどもたちが|そだっている<w5>・<w5>・<w5>・」=
<tsunade>「猿飛（さるとび）先生<w5>・<w5>・<w5>・<w21>　あなたはやはり|すばらしい　火影だった」=
<tsunade>（あなたたちの　つくりあげた　木ノ葉隠れ|という　おおきな木を　たくされた　いじょう）=
<tsunade>（この里を　どんなきけんが　おそっても）=
<tsunade>（ちいさな　木ノ葉たちを　まもり|そだてるのが　わたしのやくめ）=
<tsunade>「火影は　たいへんだな<w16>・<w16>・<w16>・」=
<shizune>「なにかおっしゃいましたか？　綱手さま」=
<tsunade>「いいや<w5>・<w5>・<w5>・」=
<tsunade>（これからだな・・・<w21>|すべてがはじまるのは<w16>・<w16>・<w16>・）<03><naruto><narrator>綱手が　ぶじ　里にもどり|里のくうきは　あわただしくなっていた<w16>・<w16>・<w16>・=
<narrator>綱手が　ぶじ　里にもどり|里のくうきは　あわただしくなっていた<w16>・<w16>・<w16>・=
<tsunade>「ここにくるまで　まちを　あるいてきたが|木ノ葉も　ずいぶんと　さまがわりしたね」=
<koharu>「・・・いいな　綱手！<w21>　そうきゅうに|五代目火影のしゅうにんを　せんげんするのだ」=
<koharu>「里はいまから　その<blue>しゅうにん<black>の|じゅんびにはいる」=
<tsunade>「しゅうにんしきだの　なんだのって|めんどくさいねェ<w5>・<w5>・<w5>・」=
<shizune>「綱手さま！！」=
<tsunade>「ハイハイ・・・　わかってますよ|これも　火影の任務　<w5>・<w5>・<w5>・<w21>ってか」=
<koharu>「里のものにつたえよ・・・<w21>|五代目火影を　ひろうせねばな」=
<koharu>「みな　よくあつまってくれた！|これから　あたらしい火影を　しょうかいする」=
<homura>「綱手・・・<w16>　あいさつしなさい」=
<shizune>「綱手さま・・・<w16>　がんばってください！！」=
<tsunade>「きょうから　あたしが|木ノ葉の里を　おさめる<w16>・<w16>・<w16>・」=
<tsunade><instant>「五代目火影だ！！」=
