<tsunade>「オヤジィ！　ドンドンもってこい！！」=<tsunade>Hey Old Man! Keep the booze coming!!
<shizune>「綱手さま<w5>・<w5>・<w5>・<w5>　のみすぎです！」=<shizune>You have drunk a bit too much, Lady Tsunade...
<jiraiya>「そーら　ついたぞ！」=<jiraiya>Found ya!
<tsunade>「<w5>・<w5>・<w5>・<w5>なにしにきた」=<tsunade><w5>.<w5>.<w5>.<w5>What do you want?
<jiraiya>「つれないのォ<w5>・<w5>・<w5>・|にしても　やっぱり　ここにいたか」=<jiraiya>I just knew that out of all the places<w5>.<w5>.<w5>.<w5>you'd be here.
<jiraiya>「里から　おまえに五代目火影の　しゅうにん|ようせいが　でたのは　さっきはなしたな」=<jiraiya>I want to continue our earlier conversation about your inauguration as the Fifth Hokage.
「・・・で<w16>　三代目のことは　しっとるか？」=...Did you hear of what happened to the Third Hokage?
<tsunade>「・・・大蛇丸が　やったんでしょ|ほんにんから　きいたわ」=<tsunade>...The advisors told me of what Orochimaru did to him.
<jiraiya>「！」=<jiraiya>!?
<tsunade>「ところで　このガキはなんだ？」=<tsunade>Moving on, who's that snot nosed brat next to you?
<jiraiya>「うずまきナルトだよ<w5>・<w5>・<w5>・」=<jiraiya>This kid right here is Naruto Uzumaki.
<tsunade>（このガキが　<blue>九尾（きゅうび）<black>の・・・）=<tsunade>(Isn't he the <blue>Nine Tails'<black>...)
<naruto>「それよか　なんで　こんなやつが　五代目|火影なんだよ！　なっとくできねェってば！」=<naruto>Why is this drunken lady the Fifth Hokage? I don't get it!
<jiraiya>「まだそんなことを　いっとるのかのォ|五代目火影は　この綱手しかありえない」=<jiraiya>You're still thinking about that? Face it, kid! She's the Fifth Hokage, and that's final.
<jiraiya>「せんそうにおいて　木ノ葉のしょうりに|おおきくこうけん」=<jiraiya>Her medical skill back in the Great Ninja War was unmatched, I tell you!
<jiraiya>「そのせんとう・いりょう忍術には　いまだ|かたを　ならべるものは　いない」=<jiraiya>There's no replacement to her patented Medical Ninjutsu.
<jiraiya>「さらに　初代（しょだい）火影のまごであり|木ノ葉の忍として　せいとうな血（ち）をもつ」=<jiraiya>She also carries the blood of the First Hokage since she's his only living grandchild.
<naruto>「ぐっ・・・」=<naruto>Ugh...
<tsunade>「フン・・・<w21>　自来也　この子は　まえのでしと|ちがって　しょうしょう　くちも　あたまも」=<tsunade>Tch...<w21> This kid's different than the rest, I can tell...
<tsunade>「おまけに　かおまで　わるいみたいだねぇ」=<tsunade>He just has the face of a knucklehead loser.
<naruto><instant>「ンだとォー！！」=<naruto><instant>Whatchu say!?
<jiraiya>「四代目に　くらべられりゃぁ|だれだって　キツイだろーよ！」=<jiraiya>If you wanna hold the Fourth Hokage's legacy as a standard, he's definitely a loser.
<jiraiya>「なんせ　あやつは　忍としてのうつわは|れきだい１　だった」=<jiraiya>His legacy as the Leaf's Greatest Ninja still holds up today.
<jiraiya>「術のさいにあふれ　ずのうめいせき|じんぼうにみち　おとこまえだったしのォ」=<jiraiya>He was a man among men, his self-developed Jutsu being among the highest in ranks.
<tsunade>「<w5>・<w5>・<w5>・<w5>だが　その四代目ですら|すぐ　死んだ<w5>・<w5>・<w5>・」=<tsunade><w5>.<w5>.<w5>.<w5>It still doesn't change that he died young.
<tsunade>「里のために　いのちまでかけて|<w5>・<w5>・<w5>・<w5>いのちは　かねとは　ちがう」=<tsunade>He gave his life for the village<w5>.<w5>.<w5>. But life is not as expendable as money.
<tsunade>「かんたんに　かけすてするのは|バカのすることだ」=<tsunade>To put it simply, he foolishly threw his life away.
<naruto>「！！」=<naruto>!!!
<tsunade>「わたしのじいさんも　二代目（にだいめ）も|へいわを　なにより　のぞんだらしいけど」=<tsunade>My grandfather as well as the Second Hokage wished for peace...
<tsunade>「けっきょくは　ゆめなかばに　里のために|ぎせいになった　だけだしね」=<tsunade>But it's still just a silly dream...they became pawns for the village.
<jiraiya>「かわったな　綱手！　こころで　どう|おもっても　くちにまでだすとはな」=<jiraiya>Still the same old Tsunade, you ramble on and on without thinking!
<tsunade>「こうみえても　５０だいなんでね|さいげつは　ひとをかえるのよ」=<tsunade>Oh get over it!
