<tsunade>「オヤジィ！　ドンドンもってこい！！」=Hey Old Man! Keep the booze coming!!
<shizune>「綱手さま<w5>・<w5>・<w5>・<w5>　のみすぎです！」=You have drunk a bit too much, Lady Tsunade...
<jiraiya>「そーら　ついたぞ！」=Found ya!
<tsunade>「<w5>・<w5>・<w5>・<w5>なにしにきた」=<w5>.<w5>.<w5>.<w5>What do you want?
<jiraiya>「つれないのォ<w5>・<w5>・<w5>・|にしても　やっぱり　ここにいたか」=I just knew that out of all places<w5>.<w5>.<w5>.<w5>that you'd be here
<jiraiya>「里から　おまえに五代目火影の　しゅうにん|ようせいが　でたのは　さっきはなしたな」=I want to continue our earlier conversation about your inauguration as the Fifth Hokage
「・・・で<w16>　三代目のことは　しっとるか？」=...But<w16> you never heard of what happened to the THird Hokage, no?
<tsunade>「・・・大蛇丸が　やったんでしょ|ほんにんから　きいたわ」=...The two old farts told me of what Orochimaru did to him
<jiraiya>「！」=Hm!?
<tsunade>「ところで　このガキはなんだ？」=Moving on, who's that snot nosed brat next to you?
<jiraiya>「うずまきナルトだよ<w5>・<w5>・<w5>・」=That kid right here is Naruto Uzumaki
<tsunade>（このガキが　<blue>九尾（きゅうび）<black>の・・・）=(Isn't he the <blue>Nine Tails'<black>...)
<naruto>「それよか　なんで　こんなやつが　五代目|火影なんだよ！　なっとくできねェってば！」=Why is this Drunken Lady the Fifth Hokage? I don't get it!
<jiraiya>「まだそんなことを　いっとるのかのォ|五代目火影は　この綱手しかありえない」=You're still thinking about this? Face it, kid! She's the Fifth Hokage, and that's final.
<jiraiya>「せんそうにおいて　木ノ葉のしょうりに|おおきくこうけん」=Her medical skill back in the Great Ninja War was unmatched, I tell you!
<jiraiya>「そのせんとう・いりょう忍術には　いまだ|かたを　ならべるものは　いない」=There's no replacement to her patented Medical Ninjutsu
<jiraiya>「さらに　初代（しょだい）火影のまごであり|木ノ葉の忍として　せいとうな血（ち）をもつ」=She also carries the blood of the First Hokage since she's his only living Grandchild
<naruto>「ぐっ・・・」=Ugh...
<tsunade>「フン・・・<w21>　自来也　この子は　まえのでしと|ちがって　しょうしょう　くちも　あたまも」=Tch...<w21>This kid's different than the rest I can tell...
<tsunade>「おまけに　かおまで　わるいみたいだねぇ」=He just has the face of a knucklehead loser
<naruto><instant>「ンだとォー！！」=<instant>Whatchu say!?
<jiraiya>「四代目に　くらべられりゃぁ|だれだって　キツイだろーよ！」=If you wanna hold the Fourth Hokage's legacy as a standard, he's definitely a loser
<jiraiya>「なんせ　あやつは　忍としてのうつわは|れきだい１　だった」=His legacy as the Leaf's Greatest Ninja still holds up today
<jiraiya>「術のさいにあふれ　ずのうめいせき|じんぼうにみち　おとこまえだったしのォ」=He was a man among men, his self-developed Jutsu being among the highest in ranks
<tsunade>「<w5>・<w5>・<w5>・<w5>だが　その四代目ですら|すぐ　死んだ<w5>・<w5>・<w5>・」=<w5>.<w5>.<w5>.<w5>It still doesn't change that he died young
<tsunade>「里のために　いのちまでかけて|<w5>・<w5>・<w5>・<w5>いのちは　かねとは　ちがう」=He bet his whole life for the village<w5>.<w5>.<w5>.<w5>.life is not as expendable as money!
<tsunade>「かんたんに　かけすてするのは|バカのすることだ」=To put it simply, he foolishly threw his life away
<naruto>「！！」=!!!
<tsunade>「わたしのじいさんも　二代目（にだいめ）も|へいわを　なにより　のぞんだらしいけど」=My Grandfather as well as the Second Hokage wished for peace...
<tsunade>「けっきょくは　ゆめなかばに　里のために|ぎせいになった　だけだしね」=But it's still just a silly dream...they became pawns for the village
<jiraiya>「かわったな　綱手！　こころで　どう|おもっても　くちにまでだすとはな」=Still the same old Tsunade, you ramble on and on without thinking!
