<naruto>「！」=<naruto>!!
<sakura>「修業なら　つきあうわよ！」=<sakura>We'll come train with you!
<shikamaru>「めんどくせーけど　てつだってやるか」=<shikamaru>It's a drag, but we're gonna help you.
<choji>「こんど　おいしーもの　おごってよね」=<choji>We can grab some grub after we're done.
<kiba>「赤丸のさんぽに　ピッタリだな」=<kiba>Akamaru needs to go on a walk anyways.
<sasuke>「フン・・・」=<sasuke>Hmph...
<naruto>「！！」=<naruto>!!
<naruto>「よっしゃあ！　修業かいしだってばよ！！」=<naruto>We'll train so hard they'll mistake us for Jonin, believe it!
<sakura>「ナルト！　自来也さまが　さっきのところで|まってるから　むかえにくるようにって！」=<sakura>Master Jiraiya said he'll be waiting for us at the spot from before.
<sakura>「・・・アンタ　さっきのところって|わかってるの？？」=<sakura>...Do you remember where that is?
<narrator><instant>　さっきのところって　どこ？|　もちろん　わかってる！<0B>=<narrator><instant>　Not a clue.|　Of course I do!<0B>
<naruto>「さっきのところって　どこだってばよ|サクラちゃ～ん　おせーて！」=<naruto>You think I'm keeping track here? You'll have to be more specific!
<sakura>「・・・ったくもー　しょうがないわね|さっきのところっていうのは」=<sakura>*Sigh...* Why did I expect you to remember anything...
<sakura>「ナルトと綱手さまが　たいけつした|<blue>“火の国かいどう”<black>のことよ」=<sakura>It's where you <blue>last fought Lady Tsunade<black>...|On the outskirts of the town in the Land of Fire Plains.
<naruto>「でもさ！　でもさ！　火の国かいどうって|ひろいってばよ！」=<naruto>But that's a huge field to scope out!
<sakura>「火の国かいどうは　<blue>木ノ葉きんざんほうめん|木ノ葉隠れの里ほうめん　短冊街ほうめん<black>と」=<sakura>You know that it's split into three sides, right?
<sakura>「３つのほうこうに　わかれているのは|しってるわよね！？」=<sakura>There's an entrance from the <blue>Hidden Leaf Mine<black>, the <blue>Leaf Village<black>, and from <blue>Tanzaku Town<black>. That's where we are.
<sakura>「さっきまでいたのは　短冊街ほうめんへ|でるでぐちのところだから・・・」=<sakura>So all you have to do is leave town and select the Land of Fire Plains
<sakura>「いちど　短冊街をでて　<blue>ぜんたいマップ<black>で|火の国かいどうをえらべば・・・」=<sakura>from the <blue>World Map<black>.
<sakura>「短冊街ほうめんの　でぐちにつくから　すぐ|自来也さまを　みつけることができるわよ！」=<sakura>Master Jiraiya will be waiting for us right outside.
<naruto>「さんきゅー！　サクラちゃん！！」=<naruto>Thanks, Sakura!!
<naruto>「もちろん　わかってるってばよ！　さっき|綱手のバアちゃんと　たいけつしたとこだろ？」=<naruto>Isn't it where I fought Grandma Tsunade?
<naruto>「つーことは　火の国かいどうの　短冊街へ|でるでぐちのとこだってばよ！」=<naruto>It's at the Land of Fire Plains just outside of Tanzaku Town.
<sakura>「ナルトにしては　わかってるじゃない|・・・そうよ　そのとおり！」=<sakura>Wow, Naruto. You actually got it right!
<naruto>（・・・にしても　エロ仙人ってば　やっと|おしえるきになったんだな　シシシ！）=<naruto>(I can finally get that Old Perv to train me properly, heh heh!)
<naruto>「エロ仙人さがしに　いくってばよ！」=<naruto>Let's go find Pervy Sage!
