<naruto>「！」=!!
<sakura>「修業なら　つきあうわよ！」=We;ll come train with you!
<shikamaru>「めんどくせーけど　てつだってやるか」=It's a drag, but we're gonna help you
<choji>「こんど　おいしーもの　おごってよね」=We can grab good grub after we're done
<kiba>「赤丸のさんぽに　ピッタリだな」=Akamaru needs to go on a walk anyways
<sasuke>「フン・・・」=Hmph...
<naruto>「！！」=!!
<naruto>「よっしゃあ！　修業かいしだってばよ！！」=We'll train so hard they'll mistake us for Jonin, believe it!
<sakura>「ナルト！　自来也さまが　さっきのところで|まってるから　むかえにくるようにって！」=I stumbled by Master Jiraiya and he said he's at THAT spot from a while ago
<sakura>「・・・アンタ　さっきのところって|わかってるの？？」=...Do you know exactly where that is?
<narrator><instant>　さっきのところって　どこ？|　もちろん　わかってる！<0B>=<instant>Not a clue|Of course I do!<0B>
<naruto>「さっきのところって　どこだってばよ|サクラちゃ～ん　おせーて！」=Oh don't go riddly on me Sakura! Please just tell me where it is!
<sakura>「・・・ったくもー　しょうがないわね|さっきのところっていうのは」=Why did I expect you to know where it is...
<sakura>「ナルトと綱手さまが　たいけつした|<blue>“火の国かいどう”<black>のことよ」=It's where you <blue>last fought Lady Tsunade<black>. On the outskirts of the town at the Land of Fire Grasslands
<naruto>「でもさ！　でもさ！　火の国かいどうって|ひろいってばよ！」=But that's a very huge field to scope out!
<sakura>「火の国かいどうは　<blue>木ノ葉きんざんほうめん|木ノ葉隠れの里ほうめん　短冊街ほうめん<black>と」=It's at the plot of land right before you enter Tanzaky Town
<sakura>「３つのほうこうに　わかれているのは|しってるわよね！？」=You know...when you enter it from the Leaf Village and you have to go in one of three directions?
<sakura>「さっきまでいたのは　短冊街ほうめんへ|でるでぐちのところだから・・・」=So you just have to go right from there
<sakura>「いちど　短冊街をでて　<blue>ぜんたいマップ<black>で|火の国かいどうをえらべば・・・」=You exit the town, and you select the Hidden Leaf Grasslands on the <blue>World Map
<sakura>「短冊街ほうめんの　でぐちにつくから　すぐ|自来也さまを　みつけることができるわよ！」=Master Jiraiya wil be waiting for us right outside Tanzaku Town
<naruto>「さんきゅー！　サクラちゃん！！」=Thanks, Sakura!!
<naruto>「もちろん　わかってるってばよ！　さっき|綱手のバアちゃんと　たいけつしたとこだろ？」=Isn't it where Granny Tsunade beat me up to a pulp?
<naruto>「つーことは　火の国かいどうの　短冊街へ|でるでぐちのとこだってばよ！」=It's at the Land of Fire Grasslands outside of Tanzaku Town
<sakura>「ナルトにしては　わかってるじゃない|・・・そうよ　そのとおり！」=Once again...you surprise me by actually knowing where to go
<naruto>（・・・にしても　エロ仙人ってば　やっと|おしえるきになったんだな　シシシ！）=(I can still get that Old Perv to train me heehehehehe!)
<naruto>「エロ仙人さがしに　いくってばよ！」=Let's go find Pervy Sage!
