<naruto>「！」=
<sakura>「修業なら　つきあうわよ！」=
<shikamaru>「めんどくせーけど　てつだってやるか」=
<choji>「こんど　おいしーもの　おごってよね」=
<kiba>「赤丸のさんぽに　ピッタリだな」=
<sasuke>「フン・・・」=
<naruto>「！！」=
<naruto>「よっしゃあ！　修業かいしだってばよ！！」=
<sakura>「ナルト！　自来也さまが　さっきのところで|まってるから　むかえにくるようにって！」=
<sakura>「・・・アンタ　さっきのところって|わかってるの？？」=
<narrator><instant>　さっきのところって　どこ？|　もちろん　わかってる！<0B>=
<naruto>「さっきのところって　どこだってばよ|サクラちゃ～ん　おせーて！」=
<sakura>「・・・ったくもー　しょうがないわね|さっきのところっていうのは」=
<sakura>「ナルトと綱手さまが　たいけつした|<blue>“火の国かいどう”<black>のことよ」=
<naruto>「でもさ！　でもさ！　火の国かいどうって|ひろいってばよ！」=
<sakura>「火の国かいどうは　<blue>木ノ葉きんざんほうめん|木ノ葉隠れの里ほうめん　短冊街ほうめん<black>と」=
<sakura>「３つのほうこうに　わかれているのは|しってるわよね！？」=
<sakura>「さっきまでいたのは　短冊街ほうめんへ|でるでぐちのところだから・・・」=
<sakura>「いちど　短冊街をでて　<blue>ぜんたいマップ<black>で|火の国かいどうをえらべば・・・」=
<sakura>「短冊街ほうめんの　でぐちにつくから　すぐ|自来也さまを　みつけることができるわよ！」=
<naruto>「さんきゅー！　サクラちゃん！！」=
<naruto>「もちろん　わかってるってばよ！　さっき|綱手のバアちゃんと　たいけつしたとこだろ？」=
<naruto>「つーことは　火の国かいどうの　短冊街へ|でるでぐちのとこだってばよ！」=
<sakura>「ナルトにしては　わかってるじゃない|・・・そうよ　そのとおり！」=
<naruto>（・・・にしても　エロ仙人ってば　やっと|おしえるきになったんだな　シシシ！）=
<naruto>「エロ仙人さがしに　いくってばよ！」=
