イナズマのじん：|攻めのじんけい=Lightning Formation: Aggressive Offense
せんぱつメンバーの|こうげき力がアップする=Raises ATK of the main members
ハヤブサのじん：|いっきにかたをつけやすい=Falcon Formation: Fast Offense
せんぱつメンバーの|すばやさがアップする=Raises AGI of the main members
まんじのじん：|まもりをいかしたじんけい=Spiral Formation: High Defense
せんぱつメンバーの|ぼうぎょ力がアップする=Raises DEF of the main members
ぎょりんのじん：|バランスがとれたじんけい=Arrow Formation: Balanced
せんぱつメンバーが|じゅつふうじになりにくくなる=Main members are resistant to sealed jutsu
かくよくのじん：|へんげんじざいなじんけい=V Formation: Flexibility
せんぱつメンバーが　どくや|くらやみになりにくくなる=Main members are resistant to poison and blind
がんこうのじん：|こううんをよびよせる=Staggered Formation: Fortune
せんぱつメンバーが|そくしになりにくくなる=Main members are resistant to a KO
