<narrator>「ダミーメッセージ」=
<iruka>「エビス先生なら　めのまえに|いらっしゃるぞ！」=
<narrator>「木ノ葉丸（このはまる）ちゃん・・・|どこにいったのかなァ？」=
<narrator>「このまえ　木ノ葉丸ちゃんに　木ノ葉丸ちゃんの|入よくけんを　もらったんだ・・・」=
<narrator>「５００００両で　ゆずってあげるよ！」=
<narrator><instant>　いらない|　ゆずってもらう<0B>=
<narrator>「そうなんだ・・・　わたしは　いつでも　ここに|いるから　ゆずってほしくなったらはなしかけてね！」=
<narrator>「う～ん・・・　おかねが　たらないみたいだよ|おかねがたまったら　はなしかけてね！」=
<narrator><130E>このはまるの入よくけんを　てにいれた！<sound04=
><narrator>「たいせつに　つかってね！」=
<ebisu>「忍者学校は　いま　おおいそがしですぞ！」=
<ebisu>「もうすぐ　忍者学校がさいかいしますぞ！|ああ　いそがしい・・・」=
<narrator>「木ノ葉隠れの里の　ひがしのほうには|<blue>“木ノ葉おんせん”<black>が　あるんだ！」=
<narrator>「でも　<blue>入よくけん<black>をもってないと　はいることが|できないから　ちゅういしなきゃだめだよ！」=
<narrator>「しってる？　入よくけんは　いっしょにたたかっている|なかまいがいにも　あるんだって！」=
<narrator>「しかも！　ぜんぶで<blue>３６まい<black>　あるらしいよ！|これは　あつめてみないと　いけないね！」」=
