<narrator>「ダミーメッセージ」=
<konohamaru>「ここでは　<blue>くちよせシート<black>が|できるんだな　コレ！」=
<konohamaru>「まず！　このくちよせシートは　いちど|ゲームをクリアしないと　つかえないんだ」=
<konohamaru>「・・・つぎに　くちよせシートを|よういするんだな　コレ！」=
<konohamaru>「くちよせシートを　下（した）がめんに|セットして・・・」=
<konohamaru>「ばんごうじゅんに　あなのところを|タッチするんだ！」=
<konohamaru>「すると！　レアなそうびひんや|どうぐ・だいじなものがてにはいるんだ！」=
<konohamaru>「どうぐによっては　“つかう”をしてみると|すごいことがおこるものも　あるんだ！」=
<konohamaru>「こんなかんじなんだな　コレ！|・・・わかったか？」=
<narrator><instant>　まだ　よくわからない・・・|　りかいできた<0B>=
<konohamaru>「そーか・・・　じゃ！|もういちど　せつめいするんだな　コレ！」=
<konohamaru>「わかったんだな　コレ！|ンじゃあ・・・」=
<narrator>「これは　れきだいの　火影（ほかげ）さまを|えがいた　<blue>火影いわ<black>　じゃ」=
<narrator>「いちばん　みぎにみえる|<blue>四代目（よんだいめ）　火影さま<black>は」=
<narrator>「１２ねんまえ　里を　九尾（きゅうび）の|バケ狐（ぎつね）から　すくった　えいゆう　なんじゃ」=
<narrator>「そして　その　ひだりうえに　みえる|<blue>三代目　火影さま<black>もまた・・・」=
<narrator>「里をすくった　えいゆうとして|人びとの　こころに　生きつづけるのじゃ」=
<narrator>「これは　れきだいの　火影（ほかげ）さまを|えがいた　<blue>火影いわ<black>　じゃ」=
<narrator>「いちばん　みぎにみえる|<blue>四代目（よんだいめ）　火影さま<black>は」=
<narrator>「１２ねんまえ　里を　九尾（きゅうび）の|バケ狐（ぎつね）から　すくった　えいゆう　なんじゃ」=
<narrator>「その　ひだりうえに　みえる|<blue>三代目　火影さま<black>もまた・・・」=
<narrator>「里をすくった　えいゆうとして|人びとの　こころに　生きつづけておる・・・」=
<narrator>「そして　いま！　<blue>五代目火影さま<black>に　しゅうにんされた|<blue>綱手さま<black>のおかおが　ついかされようとしている」=
<konohamaru>「忍者学校がやすみでも　オレはオレで|修業するんだな　コレ！」=
<konohamaru>「ナルトのにいちゃん！|任務（にんむ）がんばるんだな　コレ！」=
