<jiraiya>「たまには　のんびり　ひとりで|おんせんってのもええのォ・・・<w21>　しかし」=
<jiraiya>「あたりには　だれもおらんのォ・・・<w21>|ときたら　しゅざいじゃ　しゅざい！」=
<jiraiya>「ヌホホホホ　ええのええのォ|やっぱり　しゅざいは　やめられんのォ」=
<narrator>いっぽう　おんなゆでは<w16>・<w16>・<w16>・=
<kurenai>「わたしは　そろそろあがるわね」=
<hinata>「ハ・・・　<w16>ハィ　わかりました」=
<sakura>「ねェ・・・　さっきから|へんなおとしない？」=
<ino>「そお？　なにも　きこえなかったけど～」=
<tenten>「なんか　あやしいわね」=
<sakura>「ヒナタちゃん　わるいんだけど|白眼で　まわりみてくれる？」=
<hinata>「う・・・<w5>　うん<w16>|白眼（びゃくがん）！！」=
<hinata>「へいにはりついている　チャクラの|ながれのカタマリが　みえる<w5>・<w5>・<w5>・」=
<ino>「でたわね～！　のぞきよ　のぞき！|このおけ　なげてやるんだから！」=
<tenten>「・・・あまいわね」=
<sakura>「え？」=
<tenten>「こういうやつは　あまやかすと|つけあがるのよ！　みてなさいっ！」=
<tenten><instant>「暗器連弾！！|（あんきれんだん）」=
<tenten><instant>「つづけて　双昇龍！！|　　　　（そうしょうりゅう）」=
<ino>「す・・・<w21>　すごいわね～」=
<sakura>「さすが　リーさんや　日向ネジの|れんしゅうあいてなだけ　あるわ」=
<tenten>「のぞきまも　たいじしたことだし|そろそろ　あがりましょ！」=
<iruka>「さっきの　すごいおとは　なんだったんだ？<w21>|・<w5>・<w5>・<w5>って<w16>　なんだ　コレは！？」=
<jiraiya>「ワ・・・<w21>　ワシは　しゅざいをしてた|だけなのにの<w5>・<w5>・<w5>・<w5>　あの子ら<w5>・<w5>・<w5>・」=
<jiraiya>「ガ・・・<w21>　ガキには　きょうみ|ないってのにのォ<w5>・<w5>・<w5>・」=
<iruka>「また　おんせんをこわされて|なきたいのは　こっちですよ」=
