<tsunade>「火影のしごとをさぼって　ひとっぷろったあ|こりゃ　ごくらくだねぇ」=
「ここで　あついのでも　きゅーっといけりゃ|いうことないんだが・・・　ん？」=
<tsunade>「ったく　このままじゃ　さぼってんのが|バレちまうじゃないか！」=
「・・・しょうがない　そこのいわかげに|かくれるか」=
<naruto>「スゲーー！！　ひろいってばよ|オレってば　およいじゃおっかな　シシシ！」=
<sasuke>「フン・・・　はしゃぎすぎなんだよ|このウスラトンカチ」=
<naruto>「ムキー！！　きょうというきょうは|ぜってェ　ゆるさねーからな！　サスケェ！」=
<kakashi>「おまえら　おちつきなさいって！」=
<shikamaru>「ったく　めんどくせーやつだな」=
<choji>「そうだよ！　あんまりうごくと|おなかがへっちゃうよ」=
<asuma>「チョウジ　おまえは|くいけ　ばかりだな・・・」=
<lee>「ガイ先生！　あがったら　ひきつづき|修業に　つきあってください！」=
<guy>「おお！　リーよ！　あたりまえだろ！！」=
<neji>「フン<w5>・<w5>・<w5>・<w21>　くだらん」=
<kiba>「赤丸！　およぎが|うまくなったじゃねぇか！」=
<akamaru>「ワン！！」=
<kankuro>「なんで　オレたちまで|・・・なぁ　我愛羅」=
<gaara>「・<w5>・<w5>・<w5>・<w5>・<w5>・」=
<narrator>そのころ　いわかげでは<w16>・<w16>・<w16>・=
<tsunade>（ったく　おとこのくせに|はなしがながいねェ・・・）=
<tsunade>（これじゃ　いつまでたっても|でられないじゃないか・・・）=
<tsunade>（・<w5>・<w5>・<w21>しょうがない）=
<tsunade><instant>「つうてんきゃく！！」=
<naruto>「ンな！？」=
<tsunade>「あー・・・　これで　でられる　まったく|ゆざめしちゃったじゃないか・・・」=
<iruka>「ゆかげんは　どうですか？|<w32>・・・って　なんだこれは！？」=
「おんせんが　めちゃめちゃじゃないか？|ナルト！　いったい　なにがあったんだ！？」=
<naruto>「つ<w5>・<w5>・<w5>・<w21>　な<w5>・<w5>・<w5>・」=
<iruka>「ツナがたべたいとか　いまはいいんだよ！|なにがあったんだ！　ナルト！！」=
<naruto>（ちがうってばよ<w5>・<w5>・<w5>・<w21>　イルカ先生ェ<w5>・<w5>・<w5>・）=
