<shikamaru>「ここは　くもがよくみえンな|あーあ<w5>・<w5>・<w5>・<w5>　くもはいいよなぁ」=
<naruto>「おい　シカマル！　そんな　くもばっかみて|たのしーのか？」=
<shikamaru>「あ！？|のほほ～んとして　いいじゃねーか」=
<naruto>「だからさ！|こンなに　いいてんきだってのに」=
「からだうごかして　なんかしよーとは|おもわねーのかよ！？」=
<shikamaru>「おもわねー<w5>・<w5>・<w5>・」=
<naruto>「だって　くもなんかずっとみてたら|ねむくなるってばよ！？」=
<shikamaru>「いいじゃねーか・・・<w16>　ねむくなったらねる|くものながれるままに　じゆうで」=
<naruto>「あー！　もう！　わかんないってばよ！！」=
<shikamaru>「ったく　めんどくせーやつだな　おまえは|オレはオレで　おまえはおまえだ」=
「どっちが　どうのこうのなんて|くだらねー　はなしなんだよ」=
<naruto>「それもそうか！　オレにくものことなんて|いっしょうわかんねーもんな！　シシシ！」=
<shikamaru>「あ<w16>　あのなァ<w5>・<w5>・<w5>・<w21>　まいっか|おい　ナルト！　そろそろ　あがっぞ！」=
<naruto>「おうっ！」=
