<sakura>「綱手さま・・・<w16>　どうして　わたしを|“でし”として　みとめてくれたんですか？」=
<tsunade>「ん？<w16>　ああ　そのことか<w5>・<w5>・<w5>・|いいだろう　おしえてやる　・・・<w5>まず」=
「いりょう忍者というのは　せんとうとは|べつに　ひつようなのうりょくがある」=
「・・・まずは　ちみつな|<blue>“チャクラコントロール”<black>　・・・つぎに」=
「たくさんの　せんもんちしきをおさめ|それをひろく　おうようする<blue>“ずのう”<black>」=
「そして　<blue>“こんき”<black>・・・」=
「この３てんにおいては　カカシからの|ほうこくで　すでにかくにんずみだ！　ただし」=
「いちりゅうの　いりょう忍者にそだつものには|なにより　たいせつなものがいる」=
「サクラ・・・<w16>　おまえには？」=
<sakura>（わたしの　たいせつなもの<w5>・<w5>・<w5>・|サスケくん<w5>・<w5>・<w5>・<w21>　ナルト<w5>・<w5>・<w5>・）=
<tsunade>「フフッ<w5>・<w5>・<w5>・<w21>　だからさ！」=
<sakura>「・・・ハイ」=
