<sasuke>「・<w5>・<w5>・<w5>・<w5>・<w5>・」=
<naruto>「・<w5>・<w5>・<w5>・<w5>・<w5>・」=
<sasuke>「・<w5>・<w5>・<w5>・<w5>・<w5>・」=
<naruto>「・<w5>・<w5>・<w5>・<w5>・<w5>・<w21>なっ<w5>　なんか|しゃべれってばよ！」=
<sasuke>「フン・・・<w16>　しゃべりたかったら　おまえが|しゃべればいーだろ　このウスラトンカチ」=
<naruto>「なんだとコラ！　いっつもスカしたかおして|むかつくんだよ　サスケェ！！」=
<sasuke>「おまえが　かってに　つっかかってくる|だけだろ・・・<w16>　ボケが！」=
<naruto>「ムキー！　きょうというきょうは|ぜってーゆるさねェからな！」=
「しょうぶだ　サスケ！！」=
<sasuke>「フン・・・<w16>　いいだろう|１ぷんとたたないうちに　おわらせてやる」=
<naruto>「ヘッ！　やれるもんなら　やってみろ|・・・いくぞ！」=
<iruka>「コラーーーー！！！！|おまえたち　なにやってるんだ！」=
<naruto>「だって！　だって・・・」=
<iruka>「だってじゃない！！|おんせんは　あそびばじゃないんだぞ！」=
「わかったなら　もうあがりなさい！」=
<naruto>「わ・・・<w5>　わかったってばよ・・・」=
<iruka>「ったくあいつら　忍者学校のころから|かわってないな・・・」=
