<guy>「カカシ！　しょうぶだ！」=
<kakashi>「おんせんまできて　しょうぶって・・・|やめなさいって・・・」=
<guy>「いいや！　いまここで　どちらが|つよいか　ハッキリさせようではないか！」=
<kakashi>「ハァ～<w5>・<w5>・<w5>・<w16>　なにいっても|ダメみたいね」=
<guy>「よし！　こんかいは　カカシがしゅもくを|きめるばんだ！　なににする？」=
<kakashi>「・・・じゃあ　どっちが　おんせんに|ながいこと　つかってられるか」=
<guy>「ムム！　がまんくらべだな！|よーし！　もしまけたら」=
「木ノ葉隠れの里を　うさぎとびで|５００しゅうしてやる！　やくそくだ！」=
<kakashi>「またでたよ・・・|おとくいの　じぶんルール・・・」=
<guy>「では　はじめるぞ！|１、<w5>２、<w5>３、<w5>４、<w5>５<w5>・<w5>・<w5>・<w5>・<w5>・<w5>・」=
<guy>「・・・・・・１０１、<w5>１０２、<w5>１０３<w5>|１０４、<w5>１０５<w5>・<w5>・<w5>・」=
<guy>「・・・・・・１０００１、<w5>１０００２<w5>|１０００３<w5>・<w5>・<w5>・<w21>　フフッ<w16>　カカシィ・・・」=
「そろそろ　がまんできなくなってるんじゃ|ないのか！？<w21>　・・・ん！？」=
「みっ　みがわりにんぎょう！？|カカシいつのまに　かわりみの術を！？」=
<kakashi>「いやぁ～　バレちゃったか！」=
