<tsunade>「まさか　こんなところで|でんせつの三忍が　そろうとはな」=
<orochimaru>「クク・・・　わたしだって|ゆにくらいつかるわよ　綱手！」=
<jiraiya>「ウハハハハ　ええのええのォ|パラダイスじゃのォ　グフフフフ」=
<orochimaru>「あいかわらず　バカは|なおっていないようね　自来也！」=
<jiraiya>「しゅざいを　じゃまするっつーんなら|おまえだろうと　ただじゃおかんのォ」=
<orochimaru>「わたしが　いっているのは|そうゆういみじゃないのよ」=
「かべのむこうには　だれが|いるのかしらねェ・・・　自来也！」=
<jiraiya>「！？」=
<tsunade>「おそいっ！」=
<tsunade>「バカなところと　エロいところは|なおってないみたいだねェ　自来也！」=
<jiraiya>「・・・ったく　うるせーのォ|だれも　オメェなんか　みとらんのォ！」=
「なんせ　５０すぎのババァだからの|・・・綱手！」=
<tsunade>「ンだと　コラー！|このインテリエロすけが！！」=
<orochimaru>「ふたりとも　かわっていないようね」=
