<sakura>「テマリさん！　砂隠れって　どんな|ファッションが　はやってるんですか？」=
<temari>「なんだ？|そんなことに　きょうみがあるのか？」=
<ino>「もっちろん！　おんなの子なら|おしゃれに　きょうみあるのが　ふつうよー」=
<temari>「・・・砂隠れは　砂にかこまれた里だ」=
「ひざしがきついので　ハダのろしゅつは|ひかえるのが　ふつうだ」=
「むしろ　木ノ葉のほうが　じゆうな|ふくそうを　しているようにおもうが・・・」=
<sakura>「・・・そうなんですか」=
<ino>「サスケくんに　もっとすかれるような|ふくそうを　しらべようとおもったのにー」=
「これじゃ　ふりだしに|もどっちゃったじゃなーい！」=
<sakura>「フン！　いのには　まけないから！」=
<hinata>「わ・・・<w21>　わたしも　ナルトくんに|きらわれないように　しなきゃ<w5>・<w5>・<w5>・」=
<ino>「ヒナタちゃん　いたの！？」=
<hinata>「えっ！？<w21>　あ・・・　うん<w5>・<w5>・<w5>・<w5>|さ　さいしょから<w5>・<w5>・<w5>・」=
