<sakura>「きっもちいー！　任務のあいまに|おんせんなんて　さいこうね！」=
<hinata>「で・・・<w16>　でも　おんなの子たちだけって|わるいような　きが<w5>・<w5>・<w5>・」=
<ino>「いいのよー　おんなのこは　つねに|キレイにしとかなきゃ　ダメなんだから」=
「ま！　サクラがどんだけがんばっても|わたしが　木ノ葉ナンバーワンくノ一だけど」=
「そして　サスケくんに　えらばれるのも|わ<w5>・た<w5>・し<w5><red>♪<black>」=
<sakura>「サスケくんは　わたしみたいな|プリティーな子が　このみなんだから」=
<ino>「だからサクラは　お子ちゃまなのよー|おとなのいろかが　わからないとはね～」=
<hinata>「ふ<w5>・<w5>・<w5>・<w21>　ふたりとも|おちついて<w5>・<w5>・<w5>・」=
<tenten>「ったく　さっきから|あいだ　こいだって　ウルサイわね」=
<ino>「ちょっと！　なによー！|くちだしするきー！」=
<tenten>「いい？　わたしたちは忍者なのよ」=
「つまり　ナンバーワンになるようそは|“かわいさ”ではなく　“つよさ”よ」=
<ino>「でも～　それだと　きんにくムキムキ|になって　ちょっといやじゃな～い？」=
<sakura>「それは　いえてるかも！　だいたいの|おとこの子は　やせてる子がすきだもんね」=
<hinata>「わっ・・・<w21>　わたしも　ナルトくんに|きらわれたく　ない・・・<w21>　から<w5>・<w5>・<w5>・」=
「ムキムキは　いやかな<w5>・<w5>・<w5>・<w5>　なんて」=
<ino>「ほーら！　３たい１でけってーい！|ナンバーワンくノ一は　かわいさがきめてよー」=
<ino>「・・・となるとー　やっぱりわたしが|ナンバーワンみたいね～　デコリーん！」=
<sakura>「なんですってー！　このいのぶた！」=
<tenten>（かわいさか<w5>・<w5>・<w5>・<w5>|なーんか　しっくりこないわね）=
