<choji>「ねェ！　ねェ！　このあと|みんなで　ごはんたべにいこーよー」=
<shikamaru>「お！　いいんじゃねーの？|みんなどうする？」=
<kiba>「オレはいくぜ！　・・・つーか|みんな　いくだろ！　どこにする？」=
<choji>「やきにく<w16>・しゃぶしゃぶ<w16>・ステーキ<w16>・すきやき<w16>|ぎゅうどん<w21>・・・ぐふふふふ」=
<naruto>「・・・つーか！<w16>　にくばっかだってばよ|ほかになんかねーの？　ほかに！」=
<kiba>「オレは　さんせいだぜ！|赤丸もにくは　だいすきだからな！」=
<shikamaru>「ナルト<w5>・<w5>・<w5>・<w5>　にくにはんたいなのは|おまえだけだぜ　どーすんだ？」=
<naruto>「やっぱ　にくでいい！」=
<kiba>「きまりだな！<w21>　・・・で　もんだいは|にくを　どうやってたべるかだな！」=
<choji><instant>「やきにくーーーー！！」=
<naruto>「そうだよな・・・　やっぱ|にくといやァ　やきにくだってばよ！」=
<kiba>「あのにくがやけた　いいにおい<w21>|・・・んー！　サイコーだぜ！」=
<shikamaru>「んじゃあ　やきにくに　けってい！」=
<sasuke>「フン・・・<w21>|オレのいけんは　きかねーんだな<w5>・<w5>・<w5>・」=
<naruto>「あっ！」=
