<sakura>「綱手さま！|ちょっと　きいてもいいですか？」=
<tsunade>「なんだい？　サクラ」=
<sakura>「綱手さまって　チカラがつよいのに|どうして　ムキムキじゃ　ないんですか？」=
<tsunade>「あれは　“かいりき”っていっても|忍術みたいな　ものだからさ」=
「チャクラを　いっきに　たいないでねりあげ|しゅんじにこぶしに　しゅうちゅうさせる」=
「それには　そうとう　ちみつな|チャクラコントロールが　ひつようなのさ」=
<tenten>「なるほど・・・　カラダではなくて|チャクラコントロールを　きたえるんですね」=
<sakura>「だから　ムキムキにならないんですね」=
<ino>「やっぱり　木ノ葉のナンバーワンくノ一は|“かわいさ”と“つよさ”がいるわねー」=
<sakura>「・・・となると　やっぱり　りょうほうを|かねそろえているのは」=
<tenten>「綱手さまよね！！」=
<tsunade>「なんだい？　その　木ノ葉の|ナンバーワンくノ一　・・・ってのは」=
<sakura>「綱手さまのようになるために|もっと　がんばらなくちゃ！」=
<ino>「サクラには　まけないわよー！」=
<tenten>「てかげんしないから！」=
<hinata>「わ・・・<w21>　わたしも　がんばらなくちゃ」=
<tsunade>「はなしがみえないが<w5>・<w5>・<w5>・<w5>|ま！　がんばれ！」=
