<narrator>「なんだ　きさまらは・・・　どこの国のもんだ？|つうこうしょうは？」=
<symbol14><small_sasuke3>「えらく　かんしが　きびしいですね・・・|大蛇丸の<blue>“木ノ葉くずし”<black>によって」=
<symbol14><small_sasuke3>「里のかいめつは　まぬがれたものの|ひがいは　じんだい・・・」=
<symbol14><small_sasuke3>「つまり　がいてきから　みをまもるのに|ひっし・・・　という　ところですか」=
<symbol13><small_sasuke3>「えいがを　きわめた　あの里が<w16>|・<w5>・<w5>・<w21>あわれだな」=
<symbol14><small_sasuke3>「ガラにもない・・・　こきょうには　やはり|みれんがありますか？<w21>　アナタでも・・・」=
<symbol13><small_sasuke3>「いいや<w5>・<w5>・<w5>・<w21>　まるで　ないよ」=
<symbol14><small_sasuke3>「・・・それにしても　里が|さわがしい　きがしますが」=
<symbol13><small_sasuke3>「五代目火影が　しゅうにんしたそうだ|・・・だからだろう」=
<symbol14><small_sasuke3>「なるほど・・・」=
<symbol13><small_sasuke3>「・・・・・・」=
<symbol14><small_sasuke3>「・・・ということは|いばしょは　もう・・・」=
<symbol13><small_sasuke3>「・・・ああ」=
<symbol14><small_sasuke3>「じゃあ　らくしょうだ」=
<symbol13><small_sasuke3>「いくぞ」=
<shikamaru>「・・・タイムリミットだ|とりあえず　６にんは　そろったな・・・」=
<naruto>「よーしィ！|みんな　オレに　ついてくるってばよ！！」=
<shikamaru>「おい<w16>　あのなぁ・・・ナルト」=
<shikamaru>「いちおう　オレが小隊長（しょうたいちょう）|だからよ　めんどくせーけどな・・・」=
<naruto>「ホントに　おまえにまかせて　だいじょうぶ|なのか？<w21>　なんか　たよりないなぁ<w5>・<w5>・<w5>・」=
<kiba>「てめェが　ボスづらして　どーすんだよ！|ナルト！<w21>　・・・つっても」=
<kiba>「やるきのねェ　シカマルに　あれこれめいれい|されんのも　スッキリしねーもんが　あるが」=
<choji>「でも　シカマルは　もう中忍だぞ！　ちゃんと|めいれいに　したがわなきゃ　ダメだろ」=
<choji>「里のうえのひとが　リーダーとしてやれるって|みとめたってこと　なんだから」=
<shikamaru>「とりあえず　きゅうしゅつさくせんとして|こっちが　おいかける　たちばになる」=
<shikamaru>「つまり　てきに　せんてを　とられやすい|っつーことだ」=
<shikamaru>「オレをむしして　かってなこうどうしてっと|ぜんいん　死ぬぜ」=
<shikamaru>「なにか　いけんはあるか？」=
<shikamaru>「ねーなら　いちばん　たいせつなことを|いっとく」=
<shikamaru>「サスケは　オレにとっちゃあ|ふかいダチって　わけでもねーし」=
<shikamaru>「べつに　すきなやつでもねェ」=
<shikamaru>「<blue>けど　サスケはおなじ　木ノ葉の忍だ<black>」=
<shikamaru>「<blue>“なかま”<black>だ！」=
<shikamaru>「<blue>・・・だから　いのちがけでたすける|これが　木ノ葉りゅうだ！<black>」=
<shikamaru>「それに　いくらオレでも　めんどくさがったり|できねーだろーよ・・・」=
<shikamaru>「おまえらのいのち　あずかってんだからよ」=
<kiba>「へっ！<w21>　すこしは　中忍らしく　なってる|じゃねーの・・・　おまえも！」=
<shikamaru>「よし！　そんじゃ　いくか」=
<sakura><instant>「まって！」=
<naruto>「サクラちゃん！」=
<shikamaru>「はなしは　火影さまから　きいてる・・・<w21>|わりーが　任務には　つれてけねーぜ」=
<shikamaru>「おまえでも<w5>・<w5>・<w5>・<w21>　サスケを|せっとくできなかったんだろ」=
<shikamaru>「あとは　ちからずくで　オレらが|せっとくするしか　ねーからな」=
<shikamaru>「サクラ<w5>・<w5>・<w5>・<w21>　おまえのでばんは|おわってる」=
<naruto>「ってことは　サクラちゃん|サスケのヤツと！？」=
<sakura>「わたしには　ダメだった！　わたしじゃあ|サスケくんを　とめることが　できなかった」=
<sakura>「もうきっと　サスケくんを　とめることが<w16>|・<w5>・<w5>・<w21>すくうことが　できるのは　ナルト！」=
<sakura>「アンタだけ　かもしれない」=
<sakura>「シカマルのいうとおり<w5>・<w5>・<w5>・<w21>|わたしの　でばんは　おわってる」=
<sakura>「そんな　わたしが　いっても|あしでまといに　なるだけ<w5>・<w5>・<w5>・<w21>　でも」=
<sakura>「サスケくんを　うしなうかもしれないのに|だまって　里でなんか　まってられない」=
<sakura>「だって　わたしに　サスケくん　ナルトで|スリーマンセルだから<w5>・<w5>・<w5>・」=
<sakura>「くるしみも　かなしみも　よろこびも|いっしょに　わかちあいたい！<w21>　・・・だから」=
<sakura>「おねがい・・・<w21>|わたしも　つれてって！！」=
<naruto>「サクラちゃん<w5>・<w5>・<w5>・」=
<naruto>「シカマル・・・　オレからも|たのむってばよ」=
「サクラちゃんもいっしょに　任務に|つれてってくれってばよ・・・」=
<shikamaru>「・<w5>・<w5>・<w5>・<w5>・<w5>・<w21>わかったよ|サクラのどうこうを　みとめる」=
<shikamaru>「たいせつななかまを　おもうきもちは|いっしょみてーだからな」=
<sakura>「ナルト<w5>・<w5>・<w5>・<w21>　シカマル<w5>・<w5>・<w5>・<w21>|ありがとう！！」=
<naruto>「だから　サクラちゃん！|いっしょに　がんばるってばよ！！」=
<sakura>「うん<w5>・<w5>・<w5>・<w21>　ナルト　がんばろー<w5>・<w5>・<w5>・」=
<kiba>「おいおい　ナルト！　そんなこといって|だいじょうぶかぁ　おめェ！？」=
<naruto>「<blue>じぶんのことばは　まげねェ・・・|それが　オレの忍道（にんどう）だ！<black>」=
<naruto>「よーし！　さっさと　いくってばよ！」=
<shikamaru>「・・・すこしばかり　じかんをロスしちまった|めざすは　<blue>火の国こっきょう<black>　・・・いそぐぞ」=
<naruto>「おう！」=
<jiraiya>「ここが　おまえのいえか|では　なかにはいると　するかのォ<w5>・<w5>・<w5>・<w5>」=
<naruto>「・・・つーか<w5>　なんでエロ仙人は　いちいち|にもつとんのに　ついてくるんだってばよ！」=
<jiraiya>「ししょう　たるもの　でしのいえのことも|わかっとらんとのォ<w5>・<w5>・<w5>・」=
<naruto>「いつから　エロ仙人は　オレの|“ししょう”に　なったんだよ！」=
<jiraiya>「おまえ　わしから　<blue>口寄せ<black>と<blue>螺旋丸<black>の|２つも術を　おしえてもらっといて<w5>・<w5>・<w5>・」=
<jiraiya>「そういうかんけいを　“ししょう”と|“でし”・・・　っつーんだのォ」=
<naruto>「ぐっ・・・！」=
<jiraiya>「おっ！？」=
<naruto>「な・・・<w16>　なんだ？」=
<narrator><sound37>「うっふーん<red>♪♪♪♪<black>」=
<jiraiya>「おおおおおおお！！」=
<naruto>「おおおおおおお！！」=
<jiraiya>「ナルトォーーーー！！」=
<naruto>「んーーーー！」=
<jiraiya>「おまえ　はやく　いえにいって|にもつ　まとめてこい！<w21>　な！」=
<naruto>「えーー！　なんで！！<w21>　こっからは|おとなのせかいとか　いうんじゃねーだろな」=
<jiraiya>「ナルト！<w5>　おまえも　いちにんまえの忍者なら|ひとりで　にもつをまとめるくらいできるのォ」=
<jiraiya>「んじゃ！　そーゆうことで！|ゆーっくり　じゅんびしてていいぞ！」=
