<lee>「ハァ　<w16>ハァ<w16>　ハァ<w21>・・・　まだまだ！！」=
<naruto>「おーい　ゲジマユ！！」=
<lee>「ナルトくん！」=
<naruto>「ゲジマユ！　いまから　オレたちに|ついてきてくれ！」=
<shikamaru>「サスケが　里をぬけた<w5>・<w5>・<w5>・<w21>　下忍で|チームをくみ　サスケを　つれもどす」=
<lee>「なるほど<w5>・<w5>・<w5>・<w21>　おこまりのようですね|わかりました　チカラになりましょう」=
<naruto>「ゲジマユ　さんきゅー！」=
<lee>「それから　もうひとり　すいせんしたいひとが|いるのですが・・・」=
<naruto>「オッケー！　そいつもつれてこいってばよ！」=
<shikamaru>「オイ　ナルト！　おまえ　かってにきめんなよ|いちおう　オレが　リーダーなんだから」=
<lee>「あんしんしてください！！|カレは　ボクよりつよいですから・・・」=
<shikamaru>（なるほど<w5>・<w5>・<w5>・<w21>　<blue>“アイツ”<black>か）=
<shikamaru>「・・・わかった　そいつも　つれてきてくれ|ひとでは　おおいにこしたことは　ねーんでな」=
<shikamaru>「すぐに　じゅんびをして　そいつといっしょに|<blue>正面入口<black>に　しゅうごうしてくれ！」=
<lee>「わかりました！　では　のちほど」=
<naruto>「じゃあ　つぎは　サクラちゃん・・・」=
<shikamaru>「ストップ！　もうじかんがねェ・・・|しゅうごうばしょへいって　しゅっぱつだ」=
<kakashi>「オレも　いまや　上忍で　ぶかをもつみだ|だが　むかしのまま　いつもこうかいばかりだ」=
<kakashi>「この眼（め）があっても　ちっとも|さきなんて　みえやしない<w16>・<w16>・<w16>・」=
<kakashi>「<w16>・<w16>・<w16>・<w16>・<w16>・<w16>・」=
<kakashi>「おまえが　いきてたら　いまのオレに|なんていうんだろうな<w16>・<w16>・<w16>・」=
<kakashi>「なぁ<w16>・<w16>・<w16>・<w21>　オビトよ」=
<guy>「リーよ<w5>・<w5>・<w5>・<w16>　すこしきゅうけいを<w5>・<w5>・<w5>・<w21>」=
<lee>「どうしたんです　ガイ先生！？|せいしゅんは　まってなんか　くれませんよ」=
<lee>「それに　ネジも修業をはじめたと　ききました|ボクも　まけてはいられません！！」=
<lee>「つぎは　ミットうち１０００かいです！|いきますよ！　ガイ先生！！」=
<guy>「リ<w5>・<w5>・<w5>・<w21>　リー！？」=
<tenten>「リー！　もう　そのくらいに|してあげたら？」=
<lee>「テンテン！　あまえは　きんもつです！|さぁ　いきますよ！！」=
<guy>（そろそろ　せいしゅんも　ムリな|としかな<w5>・<w5>・<w5>・）=
<tenten>「フフフ・・・」=
