<jiraiya>「デヘヘヘヘ・・・」=
<naruto>「また　のぞきなんか　してるってばよ！」=
<symbol36><small_sakura><instant>（オンナのてき！　しゃーんなろー！！）=
<naruto>「おい　エロ仙人！|エロ仙人ってばさぁ！！」=
<jiraiya>「うるっさいのォ・・・」=
<jiraiya>「なんだ　ナルト　おまえか・・・」=
<naruto>（な・・・<w21>　なんだってばよ！？|なんか　しんねーけど　スゲェ術だってばよ！）=
（おしえてもらうなら　この術だってばよ|これなら　サスケに　ぜってェ　まけねぇ！）=
<jiraiya>「・・・ところで　おまえら|こんなところで　なにしてるんだ？」=
<shikamaru>「オレたち　五代目火影となるべき|綱手というひとを　さがしてるんスよ」=
<naruto>「つーか！　ツナデって　どーゆーひと|なんだってばよ！」=
<naruto>「んで　そのひとが　五代目火影って|どーゆーことなンだよ！！」=
<jiraiya>「まあ　そうあせるな・・・　綱手について|ちょっくら　おしえてやるかのォ」=
<jiraiya>「綱手は　オレとおなじ三忍の|やまいばらいの　ナメクジつかい・・・」=
<jiraiya>「せなかに　“賭（かけ）”をせおった|いりょうスペシャリストだのォ」=
<naruto>「かけをせおった？？　どゆうこと？」=
<jiraiya>「やつは　かけごとが　死ぬほどすきで|かおは　いろんな国に　しれわたっとる」=
<sasuke>「そんな　やつなら|すぐに　みつかるだろ」=
<jiraiya>「・・・が　いくら　ゆうめいでも|おそらく　すぐには　みつからんのォ」=
<jiraiya>「あやつは　ふけるのがいやで　とくべつな術で|じぶんを　２０さいのころのすがたにかえとる」=
<jiraiya>「わしが　さいきんしいれた|<blue>綱手のしゃしん<black>を　おまえらに　やろう」=
<narrator><130C>綱手のしゃしんを　てにいれた=
<sakura>「ヘェーー　きれいなひと・・・<w16>|ホントは　いくつなんですか？」=
<jiraiya>「わしと　おんなじ　５０さいだ」=
<symbol36><small_sakura>（げっ！<w16>　オバさんじゃない！！）=
<jiraiya>「さいきんじゃ　いろんなねんだいに|へんげして　かねかしから　にげてるらしい」=
<naruto>「ひっどい　はなしだなぁ・・・　それ」=
<jiraiya>「綱手は　ガキのころから　かけごとがすきでの|けど　うんもじつりょくも　さいあくでのォ」=
<jiraiya>「みなに　カモられっぱなしで　<blue>でんせつのカモ<black>|・・・っつう　あだながついた」=
<jiraiya>「んで　いつも　かねかりたまま|にげだしてたのォ・・・　あー　なつかしい」=
<kiba>「なつかしがってる　ばあいじゃねーだろ」=
<naruto>「んー・・・　エロ仙人のはなし　きいてっと|あんまスゲェ忍者のきが　しねーんだけど」=
<naruto>「なんで　そんなひとが　三忍のひとりで|んで　五代目火影に　なれんだよ！！」=
<jiraiya>「おまえら　下忍ごときには|かんけいのない　はなしだのォ」=
<jiraiya>「もう　ようがないなら|わしゃ　もういくぞ」=
<shikamaru>「ちょっと　いいッスか」=
<shikamaru>「オレたちゃ　さっき　いようなてきに|そうぐうしたんっスよ」=
<shikamaru>「自来也さん・・・　アンタか　五代目火影の|綱手を　さがされるのを　きらうやつか」=
<shikamaru>「それとも　なにか　べつのもくてきが|あるのか・・・」=
<shikamaru>「・・・なにか　こころあたりは|ないっスか？」=
<jiraiya>（暁（あかつき）のやつら　とも|かんがえられん　ことはない<w16>・<w16>・<w16>・）=
<jiraiya>（これは　ナルトに　さっきの術を|おしえておいたほうが　いいかのォ）=
<jiraiya>「いや・・・　わしには　わからん・・・|それから　ナルト！　ちょっと　こっちらこい」=
<jiraiya>「さっきわしが　おまえにつかった術|・・・どんな術に　みえた？」=
<naruto>「んーー　はやすぎて　ハッキリわかんねーけど|かいてんされて　ふっとばされたよーな」=
<jiraiya>「そうだ！　かいてんだ！！|この術は　おまえに　もってこいの術だ」=
<jiraiya>「印（いん）は　いっさいひつようない|チャクラさえあれば　いいんだからのォ」=
<sakura>「印を　なっかなか　おぼえらんない|ナルトにとったら　ホント　もってこいね」=
<sasuke>「ドベには　ピッタリだな」=
<naruto>「ムカッ！！」=
<jiraiya>「まぁ　そう　おこるな・・・」=
<jiraiya>「この術は　あの四代目火影が|のこした　忍術（にんじゅつ）だ！」=
<jiraiya>「四代目が　この術を　かんせいさせるのに|まる３ねん・・・この術の　えとくなんいどは」=
<jiraiya>「６だんかいで　うえから２つめの　Ａランク|チョーこうとう忍術　だからのォ」=
<jiraiya>「ま！　あとは　じぶんで|くふうして　やってみろ」=
<naruto>（えとくなんいど　Ａランク・・・|四代目火影が　のこした忍術・・・）=
<naruto>「オレってば　ぜってェ|この術　えとくしてやるってばよ！！」=
<naruto>「さっそく　やってみるってばよ！」=
<naruto>「ハァアアアアアアア！！！！！」=
<naruto>「あーー　もーー|うまくいかねぇってばよ！！」=
<naruto>「エロ仙人！　せめて　コツかなんか|おしえてくれってば！」=
<naruto>「・・・って　なんだ　コレ！|エロ仙人　どこいったんだってばよ！！」=
<choji>「このカエル　たべられるかなぁ・・・」=
<kiba>「そうゆうもんだいじゃ　ねーだろ！|赤丸！　やつは　どこいった！？」=
<akamaru>「クン！　クゥ～ン！」=
<kiba>「このへんには　もういねーみたいだ|・・・どうする？」=
<shikamaru>「んー・・・　<blue>短冊街（たんざくがい）<black>に|いんのかもしんねーな」=
<sasuke>「たしかに・・・　あそこは|かけごとが　さかんだからな」=
<shikamaru>「おそらく　自来也も　<blue>短冊街<black>に|むかってんだろー・・・」=
<sakura>「<blue>火の国かいどう<black>を　<blue>木ノ葉きんざん<black>とは|<blue>ちがうほうこう<black>に　ぬけると　あったわね」=
