<naruto>「なんだ　ここ<w5>・<w5>・<w5>・<w21>　なーんもなくて|ガランとしてるってばよ」=
<shikamaru>（やーなかんじがすんな<w5>・<w5>・<w5>・<w21>　こんなとこ|はやく　とおりすぎるに　こしたこたぁねぇ）=
<shikamaru>「おい　ナルト！　はやいとこ|さきに　すすむぞ」=
<shikamaru>「！？」=
<naruto>「だれだ　てめーは！？」=
<kimimaro>「もと音の“五人衆（ごにんしゅう）”・・・|地（ち）の　君麻呂（キミマロ）」=
<sakura>「えっ！？　五人衆！！　だってあいつら|四人衆って　いってたじゃない・・・」=
<shikamaru>（チィ・・・<w21>　大蛇丸のほかに|まだ　やっかいなやつが　いやがったのか）=
<akamaru>「クゥ～ン・・・」=
<kiba>（こんな　赤丸をみるのは|はじめてだぜ・・・）=
<kiba>「こいつは　いままでのやつらとは|ケタちがいに　つよいぜ・・・」=
<kimimaro>「ほかの４にんが　あまりにも　よわいので|ボクが　きた<w5>・<w5>・<w5>・」=
<kimimaro>「ここからさきへは　いかせない」=
<naruto>「そーゆーわけには　いかねーんだよ！|オレは　サスケをつれもどすんだからな」=
<kimimaro>「・<w5>・<w5>・<w21>あれは　たいせつな|ゆめの器（うつわ）<w5>・<w5>・<w5>・」=
<naruto>「ハァ！？<w16>　てめー！　なにわけわかんねーこと|いってんだ！！　サスケをかえせ！！」=
<kimimaro>「すべては　大蛇丸さまのため<w5>・<w5>・<w5>・<w21>|そのために　うちはサスケはひつようふかけつ」=
<symbol33><small_naruto>「大蛇丸は　なにがしてーんだ！？|なんで　サスケを　ねらうんだってばよ！？」=
<kimimaro>「・<w5>・<w5>・<w21>いいだろう　死ぬまえに|おしえておいてやる」=
<kimimaro>「大蛇丸さまは　“不死（ふし）の術”・・・|つまり　死ぬことのない術を　てにいれている」=
<kimimaro>「すべての術を　てにいれ　よのすべてを|てにするには　ながいじかんが　ひつようだ」=
<symbol33><small_naruto>「・・・？<w21>　それが　どう　サスケと|かんけいあんだよ！？」=
<kimimaro>「死ぬことはない・・・　といっても　カラダは|いつかは　としをとって　つかえなくなる」=
<kimimaro>「そうなるまえに　つよくあたらしいカラダに|じしんを　いどうさせねばならない」=
<sakura>「大蛇丸のせいしんを　あたらしい“器”にいれ|それをくりかえし　大蛇丸は　いきつづける」=
<symbol33><small_naruto>「その“器”が　サスケだってーのか」=
<kimimaro>「ああ<w5>・<w5>・<w5>・<w21>　そうだ」=
<symbol33><small_naruto>「そんなこと　オレが　させるか・・・」=
<kimimaro>「ひとは　なにか　いみがあって　うまれてくる<w21>|・・・なにかたいせつな　しめいをかかえて」=
<kimimaro>「それをみつけることが　かみに　あたえられた|にんげんの　ただひとつの　じゆうである」=
<kimimaro>「あたらしい“器”は　ボクが　かならず|ひきいれる・・・　このいのちに　かえても」=
<kimimaro>「それが　大蛇丸さまへの　おんがえし|やくたたずだったボクの　せめてものつぐない」=
<symbol33><small_naruto>「つまり　サスケが　大蛇丸の“器”になり|おまえが　そのてだすけをする・・・」=
<symbol33><small_naruto>「それが　かみがあたえた|しめいだっつーのかよ！　おめーは！！」=
<symbol33><small_naruto>「オレは　ぜってーみとめねぇ！　おまえを|ぶったおして・・・　サスケをとりもどす！」=
<kimimaro>「フフ<w5>・<w5>・<w5>・<w5>　おもしろい　<w21>・・・さて|どんなふうに　たおしてやろうか・・・？」=
<shikamaru>「おまえ　このへんそくてきな術<w5>・<w5>・<w5>・<w21>|血継限界（けっけいげんかい）だろ」=
<kimimaro>「“かぐや”いちぞく<w5>・<w5>・<w5>・<w21>|いまや　ボクだけの　のうりょくだ」=
<gaara>「いちぞくさいごの　ひとりか<w5>・<w5>・<w5>・<w21>　なら|きょう　ここで　いまからほろびる」=
<kimimaro>「ボクは　ほろびはしない<w5>・<w5>・<w5>・<w21>　大蛇丸さまの|やぼうを　おてつだいした　そんざいとして」=
<kimimaro>「ボクは　大蛇丸さまの　こころのなかに|えいえんに　いきつづける」=
<gaara>「大蛇丸のせんのうか<w5>・<w5>・<w5>・<w21>|むなしいやつだ」=
<kimimaro>「せんのうではない・・・|あのかたは　ボクのりかいしゃだ」=
<shikamaru>「！！」=
<kimimaro>「おまえらに　なにがわかる！！」=
<lee>「・<w5>・<w5>・<w5>え？」=
<shikamaru>「こいつ<w5>・<w5>・<w5>・<w21>　もう」=
<gaara>「かんぜんに　やられてたな<w21>|・<w5>・<w5>・<w5>しかも　うしろを　とられるとは」=
<lee>「そんなこと　ありません！　ボクたちは|“うん”が　よかったんです」=
<lee>「ボクの先生が　よくいってました|“うんも　じつりょくのうち”だって」=
<gaara>「あの　おせっかいやきか<w5>・<w5>・<w5>・」=
<lee>「おせっかいやきでは　ありません|先生にそんな　いいかたは　やめてください」=
<gaara>「おまえもそうか<w5>・<w5>・<w5>・<w21>　じぶんが|しんじているひとが　わるくいわれたりすると」=
<gaara>「じぶんのあんぜんを　かんがえず　たたかう」=
<gaara>「そのしんじているひとが|たいせつであれば　たいせつであるほど」=
<gaara>「その　たいせつなひとのために　たたかう」=
<gaara>「さっきのやつも　うずまきナルト<w5>・<w5>・<w5>・<w21>|おまえと　おなじだったな」=
<naruto>「！？」=
<gaara>「ただ　じぶんにとって　たいせつなひとが|“ただしく”あるとは　かぎらない」=
<lee>「わるいひとを　じぶんの　たいせつなひとと|おもうなんて　ありえません」=
<gaara>「いや<w5>・<w5>・<w5>・<w21>　たとえ　それが　“わるい”と|わかっていても　ひとは　こどくにはかてない」=
<naruto>「・<w5>・<w5>・<w5>・<w5>・<w5>・」=
<sakura>「サスケくんは　ぜったいにもどってくる|わたしも　ナルトも　それをしんじてる」=
<sakura>「ねえ<w5>・<w5>・<w5>・<w21>　ちがう？」=
<naruto>「・<w5>・<w5>・<w21>ちがわないってばよ」=
<naruto>「オレは　サスケをつれもどす|そのためには　大蛇丸をたおす」=
<naruto>「いくってばよ！！」=
