<choji>「モグモグモグ<w5>・<w5>・<w5>・<w5>　んーー！！<w21>|ここのおだんごは　おいしいなァ」=
<naruto>「チョウジ！　ホント　おまえは|くってばっかだな！」=
<choji>「モグモグモグ<w5>・<w5>・<w5>・<w5>|ナルトもたべる？　おいしいよ！」=
<naruto>「やっぱ　なっとくいかねぇってば！|ゆうしゅうなやつっていやぁ　シノとかだろ！」=
<shikamaru>「チョウジとは　ながねんチームをくんで|やってきた」=
「オレとのれんけいは　いちばんとりやすい」=
<naruto>「そりゃあ　わかるけどよォ・・・|なんで！　なんで！！」=
<shikamaru>「あーもう　うるせーな<w5>・<w5>・<w5>・<w5>|おい　チョウジ！」=
<shikamaru>「サスケが里をぬけた・・・　オレたちは|サスケをつれもどす任務を　しなきゃなんねー」=
<choji>「んーー<w5>・<w5>・<w5>・<w5>　わかった　サスケを|つれもどすんだね　モグモグモグ・・・」=
<shikamaru>「んじゃ　たのんだぜ　チョウジ|すぐしたくして　正面入口でまっててくれ」=
<naruto>「つーか　だいじょうぶなのか？　ホントに|つぎこそは　シノをさそうってばよ！」=
<shikamaru>「ハイハイ・・・」=
<shikamaru>（ったく　クソめんどくせーやつだな）=
<shikamaru>「シノのいばしょといやぁ　<blue>ヒナタか|キバ<black>にきくのが　いちばんだな」=
<naruto>「よし！　ヒナタか　キバを|さがすってばよ！」=
<choji>「モグモグモグ<w5>・<w5>・<w5>・」=
<ino>「チョージ！　そんな　あせってたべなくても|おだんごは　にげたりしないわよー」=
<choji>「モグモグモグ<w5>・<w5>・<w5>・<w21>　んーー！！|やっぱ　木ノ葉茶のおだんごは　さいこーだよ」=
<asuma>「フー<w5>・<w5>・<w5>・<w5>　こんだけ　しょくよくがあれば|もうしんぱいねーな」=
<choji>「これくいおわったら　さっそく|修業つきあってよね！　アスマ先生！！」=
<ino>「ちょっと！　アンタ・・・　バカ！？<w16>|いくらなんでも　やみあがりなんだから」=
<asuma>（フッ<w16>・<w16>・<w16>・<w16>　こいつも　やるきになったか）=
