<kurenai>「カカシの　ようだいは？」=
<guy>「いぜん　いしきふめいだ<w5>・<w5>・<w5>・<w5>|綱手さまは　なんと？」=
<kurenai>「おおがかりな　しゅじゅつを　してらして|それがおわりしだい　ここへきてくださると」=
<asuma>「そうか<w5>・<w5>・<w5>・<w5>　綱手さまが|きてくれるとなれば　あんしんだな」=
<kurenai>「それにしても　イタチの幻術はおそろしいわ|あのカカシを　ここまでにするなんて・・・」=
<kurenai>「でも　イタチを　おわなくてよかったの？|ガイ！」=
<kurenai>「かれらのねらいは|ナルトくん　なんでしょ？」=
<guy>「<w5>・<w5>・<w5>・<w5>まぁ　ナルトにかんしては　三忍の|自来也さまが　ついているそうだから」=
<guy>「あいつらも　うかつに　てを|だせないだろう<w5>・<w5>・<w5>・<w5>　む？<w21>　だれかくる！」=
<sasuke>「カカシ・・・」=
<sasuke>「どうして　カカシが　ねてる？」=
<sasuke>「それに　上忍ばかり　あつまって|なにしてる<w5>・<w5>・<w5>・<w21>　いったい　なにがあった？」=
<guy>「・・・ん<w21>　いや　べつに　なにも」=
<narrator>「おい！　あのイタチが　かえってきたって|はなしは　ほんとうか！？」=
「しかも　ナルトを　おってるって・・・」=
<narrator>「あっ！」=
<kurenai>「バカ・・・」=
<sasuke>（アイツが　この里に　かえってきただと！？|しかも　ナルトをおっている！？）=
<sasuke>（どういうことだ！？　とにかく　アイツに|つかまれば　ナルトは　おわりだ・・・）=
<sasuke>（そんなこと　させるか！|ナルトを　みつけだして<w5>・<w5>・<w5>・<w16>　とめる！）=
<guy>「なんで　こーなるのッ！！」=
